condition,metric,horizon,kind,group,cohort,mean,std
original,attitude_deg,0_500ms,interval,ALL,ALL,2.720764101536181,0.029621182555089727
original,attitude_deg,0_500ms,interval,ALL,Sep17,3.008982860778756,0.05005688823073316
original,attitude_deg,0_500ms,interval,ALL,Sep7,2.464569648876115,0.028569291833747307
original,attitude_deg,0_500ms,interval,high,ALL,3.3941823006661225,0.023418285204881546
original,attitude_deg,0_500ms,interval,high,Sep17,3.879111889809432,0.08569936069763624
original,attitude_deg,0_500ms,interval,high,Sep7,2.963133776983181,0.03656548750496721
original,attitude_deg,0_500ms,interval,low,ALL,2.273767283277609,0.032480958799034274
original,attitude_deg,0_500ms,interval,low,Sep17,2.275567998927834,0.04809634879931394
original,attitude_deg,0_500ms,interval,low,Sep7,2.272166647144076,0.034865490855387274
original,attitude_deg,0_500ms,interval,middle,ALL,2.6398320425402595,0.02193847074912274
original,attitude_deg,0_500ms,interval,middle,Sep17,2.7771144604935034,0.03502135314249098
original,attitude_deg,0_500ms,interval,middle,Sep7,2.5178032265818207,0.027208281436436405
original,attitude_deg,100ms,endpoint,ALL,ALL,1.4073877652708784,0.02064625836209928
original,attitude_deg,100ms,endpoint,ALL,Sep17,1.4698279819084552,0.012525797846849228
original,attitude_deg,100ms,endpoint,ALL,Sep7,1.3518853504819213,0.028822407939506432
original,attitude_deg,100ms,endpoint,high,ALL,1.601493871522064,0.03453306283460554
original,attitude_deg,100ms,endpoint,high,Sep17,1.7948372345284724,0.035206005462141435
original,attitude_deg,100ms,endpoint,high,Sep7,1.4296331044052561,0.03470890490986687
original,attitude_deg,100ms,endpoint,low,ALL,1.2895437747983263,0.035021510027749794
original,attitude_deg,100ms,endpoint,low,Sep17,1.292662440820073,0.04301772608121563
original,attitude_deg,100ms,endpoint,low,Sep7,1.2867716272234404,0.03070058486990692
original,attitude_deg,100ms,endpoint,middle,ALL,1.3792899227587974,0.01917983533301153
original,attitude_deg,100ms,endpoint,middle,Sep17,1.3783747145603804,0.00942692121784206
original,attitude_deg,100ms,endpoint,middle,Sep7,1.38010344115739,0.028447619375090195
original,attitude_deg,1s,endpoint,ALL,ALL,6.692491015924361,0.1321126322577559
original,attitude_deg,1s,endpoint,ALL,Sep17,7.565419632078857,0.3508166860743171
original,attitude_deg,1s,endpoint,ALL,Sep7,5.9165544682314755,0.06500476713780902
original,attitude_deg,1s,endpoint,high,ALL,7.757304177573739,0.03790541585166862
original,attitude_deg,1s,endpoint,high,Sep17,8.58517229514974,0.12200952337447828
original,attitude_deg,1s,endpoint,high,Sep7,7.021421406395071,0.0474542154662674
original,attitude_deg,1s,endpoint,low,ALL,5.8444201185858295,0.1594525115733099
original,attitude_deg,1s,endpoint,low,Sep17,6.190522400985855,0.44987639267353297
