metric,horizon,group,cohort,condition,original,value,scoring_change,scoring_reduction_pct
attitude_deg,0_500ms,ALL,ALL,original,2.720764101536181,2.720764101536181,0.0,0.0
attitude_deg,0_500ms,ALL,ALL,synchronized,2.720764101536181,2.8323905972667194,0.11162649573053818,-4.102762737405728
attitude_deg,0_500ms,ALL,Sep17,original,3.008982860778756,3.008982860778756,0.0,0.0
attitude_deg,0_500ms,ALL,Sep17,synchronized,3.008982860778756,3.1359180873261745,0.12693522654741862,-4.2185426910197314
attitude_deg,0_500ms,ALL,Sep7,original,2.464569648876115,2.464569648876115,0.0,0.0
attitude_deg,0_500ms,ALL,Sep7,synchronized,2.464569648876115,2.562588383880537,0.09801873500442193,-3.977113612882481
attitude_deg,0_500ms,high,ALL,original,3.3941823006661225,3.3941823006661225,0.0,0.0
attitude_deg,0_500ms,high,ALL,synchronized,3.3941823006661225,3.536632563886064,0.1424502632199416,-4.1968948807488955
attitude_deg,0_500ms,high,Sep17,original,3.879111889809432,3.879111889809432,0.0,0.0
attitude_deg,0_500ms,high,Sep17,synchronized,3.879111889809432,4.061937835918376,0.18282594610894387,-4.713087719620418
attitude_deg,0_500ms,high,Sep7,original,2.963133776983181,2.963133776983181,0.0,0.0
attitude_deg,0_500ms,high,Sep7,synchronized,2.963133776983181,3.069694544301786,0.10656076731860509,-3.5962185759664385
attitude_deg,0_500ms,low,ALL,original,2.273767283277609,2.273767283277609,0.0,0.0
attitude_deg,0_500ms,low,ALL,synchronized,2.273767283277609,2.3421592562328457,0.06839197295523691,-3.0078703945748875
attitude_deg,0_500ms,low,Sep17,original,2.275567998927834,2.275567998927834,0.0,0.0
attitude_deg,0_500ms,low,Sep17,synchronized,2.275567998927834,2.32481229370199,0.04924429477415604,-2.1640440890959174
attitude_deg,0_500ms,low,Sep7,original,2.272166647144076,2.272166647144076,0.0,0.0
attitude_deg,0_500ms,low,Sep7,synchronized,2.272166647144076,2.357578778482496,0.08541213133841996,-3.759061046238659
attitude_deg,0_500ms,middle,ALL,original,2.6398320425402595,2.6398320425402595,0.0,0.0
attitude_deg,0_500ms,middle,ALL,synchronized,2.6398320425402595,2.754223444790989,0.11439140225072952,-4.3332833455818225
attitude_deg,0_500ms,middle,Sep17,original,2.7771144604935034,2.7771144604935034,0.0,0.0
attitude_deg,0_500ms,middle,Sep17,synchronized,2.7771144604935034,2.8950732623212105,0.11795880182770713,-4.247531151695686
attitude_deg,0_500ms,middle,Sep7,original,2.5178032265818207,2.5178032265818207,0.0,0.0
attitude_deg,0_500ms,middle,Sep7,synchronized,2.5178032265818207,2.629023606986348,0.11122038040452731,-4.417357926557292
attitude_deg,100ms,ALL,ALL,original,1.4073877652708784,1.4073877652708784,0.0,0.0
attitude_deg,100ms,ALL,ALL,synchronized,1.4073877652708784,1.4798557140341575,0.07246794876327911,-5.149110327055549
attitude_deg,100ms,ALL,Sep17,original,1.4698279819084552,1.4698279819084552,0.0,0.0
attitude_deg,100ms,ALL,Sep17,synchronized,1.4698279819084552,1.5877005996504858,0.11787261774203062,-8.01948385749075
attitude_deg,100ms,ALL,Sep7,original,1.3518853504819213,1.3518853504819213,0.0,0.0
attitude_deg,100ms,ALL,Sep7,synchronized,1.3518853504819213,1.38399359348631,0.03210824300438864,-2.3750714506184023
attitude_deg,100ms,high,ALL,original,1.601493871522064,1.601493871522064,0.0,0.0
attitude_deg,100ms,high,ALL,synchronized,1.601493871522064,1.7582956012168431,0.15680172969477923,-9.790966577084335
attitude_deg,100ms,high,Sep17,original,1.7948372345284724,1.7948372345284724,0.0,0.0
attitude_deg,100ms,high,Sep17,synchronized,1.7948372345284724,2.045942656276296,0.2511054217478237,-13.990428598044568
attitude_deg,100ms,high,Sep7,original,1.429633104405256,1.429633104405256,0.0,0.0
attitude_deg,100ms,high,Sep7,synchronized,1.429633104405256,1.502609330052885,0.07297622564762918,-5.104542236939046
attitude_deg,100ms,low,ALL,original,1.2895437747983265,1.2895437747983265,0.0,0.0
attitude_deg,100ms,low,ALL,synchronized,1.2895437747983265,1.2683066325411347,-0.021237142257191755,1.6468725352509308
attitude_deg,100ms,low,Sep17,original,1.292662440820073,1.292662440820073,0.0,0.0
attitude_deg,100ms,low,Sep17,synchronized,1.292662440820073,1.251516855407253,-0.041145585412819985,3.183010824288897
attitude_deg,100ms,low,Sep7,original,1.2867716272234404,1.2867716272234404,0.0,0.0
attitude_deg,100ms,low,Sep7,synchronized,1.2867716272234404,1.2832308788823623,-0.0035407483410780927,0.27516524814261095
attitude_deg,100ms,middle,ALL,original,1.3792899227587974,1.3792899227587974,0.0,0.0
attitude_deg,100ms,middle,ALL,synchronized,1.3792899227587974,1.458799829186592,0.07950990642779465,-5.764553565994472
attitude_deg,100ms,middle,Sep17,original,1.3783747145603804,1.3783747145603804,0.0,0.0
attitude_deg,100ms,middle,Sep17,synchronized,1.3783747145603804,1.474219167138595,0.0958444525782145,-6.953439552087487
attitude_deg,100ms,middle,Sep7,original,1.38010344115739,1.38010344115739,0.0,0.0
attitude_deg,100ms,middle,Sep7,synchronized,1.38010344115739,1.4450937510070336,0.0649903098496436,-4.709089761789237
attitude_deg,1s,ALL,ALL,original,6.692491015924361,6.692491015924361,0.0,0.0
attitude_deg,1s,ALL,ALL,synchronized,6.692491015924361,6.71700964853051,0.024518632606149282,-0.3663603364996492
attitude_deg,1s,ALL,Sep17,original,7.565419632078857,7.565419632078857,0.0,0.0
attitude_deg,1s,ALL,Sep17,synchronized,7.565419632078857,7.584239562389336,0.018819930310479016,-0.24876254359611244
attitude_deg,1s,ALL,Sep7,original,5.916554468231476,5.916554468231476,0.0,0.0
attitude_deg,1s,ALL,Sep7,synchronized,5.916554468231476,5.946138613989331,0.029584145757854508,-0.5000232131167641
attitude_deg,1s,high,ALL,original,7.757304177573739,7.757304177573739,0.0,0.0
attitude_deg,1s,high,ALL,synchronized,7.757304177573739,7.768502868407565,0.011198690833825964,-0.14436317794783948
attitude_deg,1s,high,Sep17,original,8.58517229514974,8.58517229514974,0.0,0.0
attitude_deg,1s,high,Sep17,synchronized,8.58517229514974,8.622617794622702,0.037445499472962496,-0.43616479886044485
attitude_deg,1s,high,Sep7,original,7.021421406395071,7.021421406395071,0.0,0.0
attitude_deg,1s,high,Sep7,synchronized,7.021421406395071,7.009289600660778,-0.012131805734292733,0.17278276052827643
attitude_deg,1s,low,ALL,original,5.8444201185858295,5.8444201185858295,0.0,0.0
attitude_deg,1s,low,ALL,synchronized,5.8444201185858295,5.857737936961603,0.013317818375773172,-0.22787236553069143
attitude_deg,1s,low,Sep17,original,6.190522400985855,6.190522400985855,0.0,0.0
attitude_deg,1s,low,Sep17,synchronized,6.190522400985855,6.189950395813946,-0.0005720051719091401,0.009240014571598142
attitude_deg,1s,low,Sep7,original,5.536773645341363,5.536773645341363,0.0,0.0
attitude_deg,1s,low,Sep7,synchronized,5.536773645341363,5.5624379735373,0.025664328195937003,-0.46352496670206034
attitude_deg,1s,middle,ALL,original,6.712615885944532,6.712615885944532,0.0,0.0
attitude_deg,1s,middle,ALL,synchronized,6.712615885944532,6.754434936968326,0.04181905102379346,-0.6229918668720176
attitude_deg,1s,middle,Sep17,original,7.3906750086493505,7.3906750086493505,0.0,0.0
