metric,horizon,kind,group,flight,cohort,seed,original,synchronized,synchronized_lowpass,synchronized_minus_original,synchronized_lowpass_minus_original
attitude_deg,0_500ms,interval,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,17,2.7438986755726282,2.874140157409,,0.13024148183637196,
attitude_deg,0_500ms,interval,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,23,2.8185890756471155,2.9248013649112488,,0.10621228926413329,
attitude_deg,0_500ms,interval,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,42,2.804998978060759,2.9396746858267453,,0.13467570776598636,
attitude_deg,0_500ms,interval,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,17,3.304498441065915,3.4446808251372794,,0.1401823840713643,
attitude_deg,0_500ms,interval,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,23,3.328858922610469,3.4394391649572413,,0.11058024234677255,
attitude_deg,0_500ms,interval,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,42,3.3847480912632775,3.524309110860765,,0.13956101959748768,
attitude_deg,0_500ms,interval,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,17,3.145585324408866,3.2894928384078006,,0.14390751399893453,
attitude_deg,0_500ms,interval,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,23,3.210218325339554,3.3330659990451936,,0.12284767370563943,
attitude_deg,0_500ms,interval,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,42,3.291680087107364,3.4370884648219855,,0.14540837771462156,
attitude_deg,0_500ms,interval,ALL,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,17,2.6181778398862745,2.732424494919194,,0.11424665503291953,
attitude_deg,0_500ms,interval,ALL,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,23,2.6925866363714963,2.781853505247228,,0.08926686887573165,
attitude_deg,0_500ms,interval,ALL,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,42,2.7967515691672835,2.9176458345888743,,0.12089426542159076,
attitude_deg,0_500ms,interval,ALL,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,17,2.8752691738560956,2.9836334917873324,,0.1083643179312368,
attitude_deg,0_500ms,interval,ALL,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,23,2.892862087210829,2.9873016690808596,,0.09443958187003076,
attitude_deg,0_500ms,interval,ALL,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,42,3.008926209097938,3.119703405971744,,0.11077719687380627,
attitude_deg,0_500ms,interval,ALL,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,17,2.9098450014820125,3.0478512077349844,,0.13800620625297189,
attitude_deg,0_500ms,interval,ALL,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,23,2.9278947344862503,3.051699183165612,,0.12380444867936191,
attitude_deg,0_500ms,interval,ALL,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,42,3.0696909982072196,3.1953583984045126,,0.12566740019729306,
attitude_deg,0_500ms,interval,high,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,17,3.4699300395567905,3.541296509347105,,0.07136646979031447,
attitude_deg,0_500ms,interval,high,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,23,3.6498574435081945,3.718031432826641,,0.06817398931844654,
attitude_deg,0_500ms,interval,high,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,42,3.8361240826148135,3.870579300444536,,0.034455217829722606,
attitude_deg,0_500ms,interval,high,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,17,2.9302944528682993,3.036190636580073,,0.10589618371177378,
attitude_deg,0_500ms,interval,high,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,23,2.862233160955805,2.967793646561236,,0.10556048560543108,
attitude_deg,0_500ms,interval,high,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,42,2.9543557248132535,3.072436723256011,,0.11808099844275732,
attitude_deg,0_500ms,interval,high,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,17,3.2989609883095237,3.4235353067661007,,0.12457431845657707,
attitude_deg,0_500ms,interval,high,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,23,3.5984546151472676,3.7097854314520737,,0.11133081630480612,
attitude_deg,0_500ms,interval,high,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,42,3.404042196680861,3.5066005989931748,,0.10255840231231383,
attitude_deg,0_500ms,interval,high,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,17,3.27506476916283,3.3707733971876737,,0.09570862802484381,
attitude_deg,0_500ms,interval,high,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,23,3.3595792650453875,3.4475889392929697,,0.08800967424758221,
attitude_deg,0_500ms,interval,high,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,42,3.2362789517530905,3.3606829763915567,,0.12440402463846612,
attitude_deg,0_500ms,interval,high,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,17,3.4256907294914694,3.5422270236745144,,0.11653629418304501,
attitude_deg,0_500ms,interval,high,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,23,3.2245272622280217,3.2915656704030747,,0.06703840817505302,
attitude_deg,0_500ms,interval,high,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,42,2.9382977246915516,3.0505364885586466,,0.11223876386709497,
attitude_deg,0_500ms,interval,high,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,17,2.3135545705134444,2.493380912473179,,0.17982634195973457,
attitude_deg,0_500ms,interval,high,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,23,2.2201382514605856,2.37869839763964,,0.15856014617905423,
attitude_deg,0_500ms,interval,high,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,42,2.084994408663118,2.2980359423320316,,0.21304153366891354,
attitude_deg,0_500ms,interval,high,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,17,2.712039374755439,2.778944424234169,,0.06690504947873022,
attitude_deg,0_500ms,interval,high,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,23,2.5268714828485916,2.6127098808656064,,0.08583839801701476,
attitude_deg,0_500ms,interval,high,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,42,2.5630298462349685,2.622431209288268,,0.05940136305329924,
attitude_deg,0_500ms,interval,high,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,17,2.9106328846798273,3.061121724777447,,0.15048884009761965,
attitude_deg,0_500ms,interval,high,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,23,2.6793820382535425,2.821802377178997,,0.14242033892545436,
attitude_deg,0_500ms,interval,high,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,42,2.5760826847529894,2.7126088049950323,,0.13652612024204291,
attitude_deg,0_500ms,interval,high,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,17,2.5641643484990526,2.6281788847242598,,0.06401453622520714,
attitude_deg,0_500ms,interval,high,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,23,2.6916481348257846,2.7566056098662397,,0.06495747504045513,
attitude_deg,0_500ms,interval,high,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,42,2.698382546231386,2.807610446037958,,0.1092278998065721,
attitude_deg,0_500ms,interval,high,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,17,3.9828396383725293,4.219552332727011,,0.23671269435448128,
attitude_deg,0_500ms,interval,high,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,23,3.876390783536362,4.0761865932712125,,0.19979580973485067,
attitude_deg,0_500ms,interval,high,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,42,4.020047675629219,4.243968794605053,,0.22392111897583344,
attitude_deg,0_500ms,interval,high,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,17,3.693659541689265,3.892610411584839,,0.1989508698955742,
attitude_deg,0_500ms,interval,high,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,23,3.7492708722303627,3.9356937591896908,,0.18642288695932807,
attitude_deg,0_500ms,interval,high,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,42,3.7880678983932787,4.010172906781218,,0.22210500838793923,
attitude_deg,0_500ms,interval,high,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,17,3.859416495117625,4.046019024957082,,0.1866025298394569,
attitude_deg,0_500ms,interval,high,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,23,3.8048532198943787,3.9487665243171186,,0.14391330442273986,
attitude_deg,0_500ms,interval,high,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,42,3.9298455822419656,4.114329803460507,,0.18448422121854113,
attitude_deg,0_500ms,interval,high,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,17,3.9019759837291144,4.069849828929795,,0.16787384520068027,
attitude_deg,0_500ms,interval,high,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,23,3.947852167719887,4.091380128156176,,0.14352796043628935,
attitude_deg,0_500ms,interval,high,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,42,4.038262832684752,4.198260583253681,,0.1599977505689294,
attitude_deg,0_500ms,interval,high,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,17,4.585756287810374,4.826754000304036,,0.24099771249366242,
attitude_deg,0_500ms,interval,high,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,23,4.752007016866184,4.967949341842347,,0.2159423249761634,
