model,seed,cohort,flight_id,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_windows
B0_ConstantVelocity,,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.1,0.05011629223683663,0.8086663670287096,4.106765300159635,1.2789359365905526,0.8086663670287096,1.2789359365905526,0.23252890829008788,0.2093986390712274,0.7456700409215522,0.8773389900416959,0.9083216312100637,0.2022504406206815,130
B0_ConstantVelocity,,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.2,0.11951585740754746,0.7935777803986928,9.830437941431335,1.1947828827674738,0.7935777803986928,1.1947828827674738,0.3668440320333301,0.35147033353816576,0.6096390361079377,0.7912345144376798,0.8620233693791165,0.24159840802662352,130
B0_ConstantVelocity,,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.5,0.4223437844297421,1.3997063436536785,23.80365778165591,1.0527768452859405,1.3997063436536785,1.0527768452859405,0.8249227011525201,0.8188155540453029,0.7798855518863415,0.7153755600298292,0.6954207131531136,0.3361055277734064,130
B0_ConstantVelocity,,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,1.0,1.34726498584917,2.408769325293769,48.75373079436381,1.139929925382761,2.408769325293769,1.139929925382761,1.539609882502072,1.5272065602784226,1.0485281085506026,0.7148153916087862,0.8293687265211491,0.31721712780209754,130
B0_ConstantVelocity,,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.1,0.04652726470853255,0.7721140708261401,4.079989141704888,1.2791110697397796,0.7721140708261401,1.2791110697397796,0.1728807527556353,0.19842436446993603,0.7258788847177334,0.8650475224468621,0.9222803865307088,0.19291656554105346,145
B0_ConstantVelocity,,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.2,0.11884676879571954,0.7971254920652535,9.19772684630288,1.222449637949226,0.7971254920652535,1.222449637949226,0.3611541770902255,0.3671265156642008,0.6084363828427899,0.7745015898449645,0.9076710993152407,0.26582622165181274,145
B0_ConstantVelocity,,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.5,0.39930786024735515,1.2656028528431522,23.575352716198946,1.112516132046902,1.2656028528431522,1.112516132046902,0.728026090175989,0.8280468707675315,0.6213428787391766,0.7622252444531765,0.7215439494810398,0.3688890751299062,145
B0_ConstantVelocity,,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,1.0,1.2787341397036012,2.3585151488503078,48.28276805609424,1.1417682575851409,2.3585151488503078,1.1417682575851409,1.38298757035969,1.6838445640022406,0.9025555782704437,0.6994099977703102,0.8308229027530339,0.35241128430991847,145
B0_ConstantVelocity,,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.1,0.043944472028450254,0.7831561171233621,3.73361836234518,1.0689733617921684,0.7831561171233621,1.0689733617921684,0.22990831832381595,0.21130203586391216,0.7182110543517288,0.6665882561416911,0.8155045627656795,0.18252795156793725,144
B0_ConstantVelocity,,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.2,0.10925817742056375,0.7922104618598513,8.348703824195676,1.1178256395225643,0.7922104618598513,1.1178256395225643,0.3435502752698508,0.3817144067167055,0.6032120157516112,0.6247012252415227,0.8953120530625818,0.2402058850166557,144
B0_ConstantVelocity,,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.5,0.38496645651830885,1.246694366322439,21.972207984096922,1.1349858225320777,1.246694366322439,1.1349858225320777,0.7304072828962269,0.8057070717027325,0.6095803135932679,0.7084314759574368,0.8322933021909659,0.30595019259618406,144
B0_ConstantVelocity,,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,1.0,1.2349069279096934,2.2125857066578605,44.51409980277621,1.089429045655269,2.2125857066578605,1.089429045655269,1.3809526601260629,1.4964634739041525,0.8655069792139921,0.6356055276497454,0.8425863279958559,0.27001766352018347,144
B0_ConstantVelocity,,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.1,0.047027848791054414,0.8299054046590179,4.109050466697486,1.2061963816649857,0.8299054046590179,1.2061963816649857,0.20279285590694315,0.21829381839232112,0.7745746233430671,0.7877575925914172,0.895332298378701,0.18090815884362607,153
