seed,cohort,horizon_s,metric,mlp_error,gru_error,absolute_gain,relative_gain_pct,gru_better
17.0,Sep7,0.2,velocity_rmse_m_s,0.4098529967567404,0.1662465711642388,0.24360642559250162,59.43751235692174,True
17.0,Sep7,0.2,attitude_error_deg,2.719898558802166,2.0103843577243063,0.7095142010778597,26.0860537898269,True
17.0,Sep7,0.2,body_rate_rmse_rad_s,0.7475550643030859,0.5891628268339152,0.15839223746917075,21.18803617721902,True
17.0,Sep7,0.5,position_rmse_m,0.2872665967864072,0.2494006868689943,0.0378659099174129,13.181452469939458,True
17.0,Sep7,0.5,velocity_rmse_m_s,0.5074736105073216,0.342469655743545,0.16500395476377666,32.51478527106505,True
17.0,Sep7,0.5,attitude_error_deg,4.574940367888108,3.59586985452981,0.9790705133582982,21.40072732380244,True
17.0,Sep7,0.5,body_rate_rmse_rad_s,0.7537052730427742,0.6312629331152156,0.1224423399275586,16.245387196675452,True
17.0,Sep7,1.0,position_rmse_m,0.6380560461550685,0.5718228821159352,0.06623316403913326,10.380461785176227,True
17.0,Sep7,1.0,velocity_rmse_m_s,0.7864637511773972,0.6088813935646745,0.17758235761272267,22.57985283452265,True
17.0,Sep7,1.0,attitude_error_deg,7.322207330681365,5.915279808353674,1.406927522327691,19.21452724279483,True
17.0,Sep7,1.0,body_rate_rmse_rad_s,0.7533758802053732,0.6261384333078338,0.12723744689753935,16.888972721406205,True
23.0,ALL,0.1,position_rmse_m,0.0494420677895182,0.0354871105348792,0.013954957254639001,28.22486574397982,True
23.0,ALL,0.1,velocity_rmse_m_s,0.5323321416957201,0.149476171094933,0.3828559706007871,71.92050613010453,True
23.0,ALL,0.1,attitude_error_deg,2.036685987777095,1.4246294529035894,0.6120565348735056,30.05159060094109,True
23.0,ALL,0.1,body_rate_rmse_rad_s,0.7159529575222852,0.5437161480655596,0.1722368094567256,24.05700090307462,True
23.0,ALL,0.2,position_rmse_m,0.0980437359866803,0.0708754976021501,0.027168238384530197,27.710325510465175,True
23.0,ALL,0.2,velocity_rmse_m_s,0.4295768409396301,0.1987649563706586,0.2308118845689715,53.73005771542705,True
23.0,ALL,0.2,attitude_error_deg,3.167911023548136,2.2065952760482856,0.9613157474998504,30.345415018100912,True
23.0,ALL,0.2,body_rate_rmse_rad_s,0.7612860494876509,0.5695336495342366,0.1917523999534143,25.18795662713964,True
23.0,ALL,0.5,position_rmse_m,0.2398521939954946,0.1944725239667208,0.0453796700287738,18.91984779160545,True
23.0,ALL,0.5,velocity_rmse_m_s,0.551944618515513,0.3651877075519981,0.18675691096351493,33.836168466649504,True
23.0,ALL,0.5,attitude_error_deg,5.486141689397817,4.075688471845725,1.4104532175520923,25.70938370545274,True
23.0,ALL,0.5,body_rate_rmse_rad_s,0.7534715234727166,0.5976309396014523,0.15584058387126432,20.68300911400102,True
23.0,ALL,1.0,position_rmse_m,0.5660632708497074,0.4813027010164039,0.08476056983330355,14.973691846508778,True
23.0,ALL,1.0,velocity_rmse_m_s,0.8645446714554408,0.6528093336943108,0.21173533776112996,24.49096556279486,True
23.0,ALL,1.0,attitude_error_deg,8.483467815555581,6.542445487935679,1.9410223276199021,22.88005765827008,True
23.0,ALL,1.0,body_rate_rmse_rad_s,0.7693798123539817,0.6331251400447657,0.13625467230921595,17.70967604314096,True
23.0,Sep17,0.1,position_rmse_m,0.0367969254943617,0.0190897979756526,0.0177071275187091,48.12121469610911,True
23.0,Sep17,0.1,velocity_rmse_m_s,0.5487224333400019,0.15859305949784,0.39012937384216195,71.09776275547827,True
23.0,Sep17,0.1,attitude_error_deg,2.2472132814309638,1.4761573607193077,0.7710559207116561,34.31164843510843,True
23.0,Sep17,0.1,body_rate_rmse_rad_s,0.7279967521438788,0.5247899582661589,0.2032067938777199,27.913145667105777,True
23.0,Sep17,0.2,position_rmse_m,0.0745788788483571,0.0413015041986294,0.033277374649727694,44.620373976647365,True
23.0,Sep17,0.2,velocity_rmse_m_s,0.4479566107795776,0.2213399085234148,0.2266167022561628,50.588984915700294,True
23.0,Sep17,0.2,attitude_error_deg,3.644609454580616,2.3854713925753384,1.2591380620052774,34.54795576032895,True
23.0,Sep17,0.2,body_rate_rmse_rad_s,0.7720075276253127,0.5374336609896214,0.23457386663569124,30.38491960787456,True
23.0,Sep17,0.5,position_rmse_m,0.1888039327813871,0.1339239896370967,0.0548799431442904,29.067161015038263,True
23.0,Sep17,0.5,velocity_rmse_m_s,0.5818989740912064,0.3891804912154968,0.19271848287570958,33.11889029821576,True
23.0,Sep17,0.5,attitude_error_deg,6.519724755276186,4.4925398588152055,2.02718489646098,31.09310549989783,True
23.0,Sep17,0.5,body_rate_rmse_rad_s,0.7523374179770684,0.5648123314414162,0.18752508653565225,24.925662615569667,True
23.0,Sep17,1.0,position_rmse_m,0.4907472552433517,0.3842396949936463,0.10650756024970542,21.7031392660343,True
23.0,Sep17,1.0,velocity_rmse_m_s,0.9558244983254852,0.6945381047741769,0.26128639355130834,27.336231076840733,True
23.0,Sep17,1.0,attitude_error_deg,9.998403784994654,7.172736071181631,2.825667713813023,28.26118823140262,True
23.0,Sep17,1.0,body_rate_rmse_rad_s,0.7825312258616528,0.635914735532969,0.14661649032868385,18.736183999206293,True
23.0,Sep7,0.1,position_rmse_m,0.0606821942741017,0.0500624994764139,0.010619694797687804,17.500512176139516,True
23.0,Sep7,0.1,velocity_rmse_m_s,0.5177629935674696,0.141372270292349,0.3763907232751206,72.69556301846305,True
23.0,Sep7,0.1,attitude_error_deg,1.849550615640324,1.3788268681785063,0.4707237474618178,25.450709133410268,True
23.0,Sep7,0.1,body_rate_rmse_rad_s,0.7052473623030907,0.5605394278872491,0.14470793441584162,20.51874876118306,True
23.0,Sep7,0.2,position_rmse_m,0.1189013867763009,0.0971634917386129,0.021737895037688,18.282288900957322,True
23.0,Sep7,0.2,velocity_rmse_m_s,0.4132392677485657,0.1786983322348753,0.23454093551369037,56.756691296916195,True
23.0,Sep7,0.2,attitude_error_deg,2.7441790848525978,2.0475942835797944,0.6965848012728033,25.384086815537405,True
23.0,Sep7,0.2,body_rate_rmse_rad_s,0.7517558466986183,0.5980669726850055,0.15368887401361275,20.443987857034546,True
23.0,Sep7,0.5,position_rmse_m,0.2852284261858124,0.2482934433708311,0.03693498281498131,12.949264317337,True
23.0,Sep7,0.5,velocity_rmse_m_s,0.5253185246704521,0.3438607887399991,0.18145773593045306,34.54242091391825,True
23.0,Sep7,0.5,attitude_error_deg,4.567401186394822,3.7051539056506297,0.8622472807441919,18.878290860733166,True
23.0,Sep7,0.5,body_rate_rmse_rad_s,0.7544796172466262,0.6268030357437067,0.1276765815029195,16.922469286693037,True
23.0,Sep7,1.0,position_rmse_m,0.6330108402775791,0.5675809285921884,0.0654299116853907,10.336301927578251,True
23.0,Sep7,1.0,velocity_rmse_m_s,0.7834070475709568,0.6157170927344298,0.16768995483652704,21.405213976114837,True
23.0,Sep7,1.0,attitude_error_deg,7.13685806494307,5.982187191717056,1.1546708732260136,16.17898048019012,True
23.0,Sep7,1.0,body_rate_rmse_rad_s,0.7576896670138297,0.6306454996108073,0.12704416740302238,16.767308956940482,True
42.0,ALL,0.1,position_rmse_m,0.0494148772649732,0.0351697173340374,0.014245159930935801,28.827674415844825,True
42.0,ALL,0.1,velocity_rmse_m_s,0.5301281205196071,0.1449521623696807,0.38517595814992645,72.65714517698001,True
42.0,ALL,0.1,attitude_error_deg,2.027044976314706,1.4130256429973742,0.6140193333173318,30.2913522142788,True
42.0,ALL,0.1,body_rate_rmse_rad_s,0.7173233351485253,0.5483794331513228,0.16894390199720255,23.55198746771871,True
42.0,ALL,0.2,position_rmse_m,0.0981765809659842,0.0698802260714745,0.028296354894509698,28.821898884738815,True
42.0,ALL,0.2,velocity_rmse_m_s,0.4321505684217346,0.1961947797228825,0.23595578869885211,54.6003652293206,True
42.0,ALL,0.2,attitude_error_deg,3.157414487662951,2.2289348033561684,0.9284796843067826,29.406328752042402,True
42.0,ALL,0.2,body_rate_rmse_rad_s,0.7481410934823255,0.5650685449125675,0.18307254856975796,24.47032386867317,True
42.0,ALL,0.5,position_rmse_m,0.239360387226201,0.1908963429723979,0.0484640442538031,20.24731193637462,True
42.0,ALL,0.5,velocity_rmse_m_s,0.5325621366083717,0.3554653789954309,0.1770967576129408,33.25372673708717,True
42.0,ALL,0.5,attitude_error_deg,5.440599993258234,4.125763726825424,1.3148362664328097,24.167118848327394,True
42.0,ALL,0.5,body_rate_rmse_rad_s,0.7534164368333448,0.5933875807324946,0.16002885610085016,21.24042538459357,True
42.0,ALL,1.0,position_rmse_m,0.5612122094143311,0.4697262323362134,0.09148597707811773,16.301494433556694,True
42.0,ALL,1.0,velocity_rmse_m_s,0.8463727956702431,0.650696611449709,0.19567618422053412,23.1193848882605,True
42.0,ALL,1.0,attitude_error_deg,8.411351565831103,6.791357065137423,1.6199945006936796,19.259621810060583,True
42.0,ALL,1.0,body_rate_rmse_rad_s,0.7732082975339848,0.6121323463723045,0.16107595116168028,20.832155018952122,True
42.0,Sep17,0.1,position_rmse_m,0.0366409472509721,0.0185192758039819,0.018121671446990197,49.45743166208516,True
42.0,Sep17,0.1,velocity_rmse_m_s,0.5452017745303007,0.1521007175366403,0.3931010569936604,72.1019401179174,True
42.0,Sep17,0.1,attitude_error_deg,2.217063805120995,1.4779260556898175,0.7391377494311777,33.33858717660314,True
42.0,Sep17,0.1,body_rate_rmse_rad_s,0.7274179353275294,0.5302459665563374,0.19717196877119203,27.10573374609093,True
42.0,Sep17,0.2,position_rmse_m,0.0748319704416233,0.0396870254977688,0.035144944943854506,46.96514703066814,True
42.0,Sep17,0.2,velocity_rmse_m_s,0.4534732435242845,0.2206793233100938,0.23279392021419068,51.33575652776613,True
42.0,Sep17,0.2,attitude_error_deg,3.651447806392614,2.4276119983785844,1.2238358080140297,33.51645355224446,True
42.0,Sep17,0.2,body_rate_rmse_rad_s,0.7599296921111482,0.5374540629190476,0.22247562919210062,29.275817421220207,True
42.0,Sep17,0.5,position_rmse_m,0.1910272001095852,0.1268940372396516,0.06413316286993362,33.572791117255974,True
42.0,Sep17,0.5,velocity_rmse_m_s,0.5697895932980164,0.3706077418279852,0.19918185147003115,34.957088338019766,True
42.0,Sep17,0.5,attitude_error_deg,6.515785825453889,4.689643898170552,1.826141927283337,28.02642653092619,True
42.0,Sep17,0.5,body_rate_rmse_rad_s,0.7480830090273975,0.5558534135091175,0.19222959551828,25.696292149209857,True
42.0,Sep17,1.0,position_rmse_m,0.4958647356225568,0.3626683426390193,0.13319639298353747,26.86143688284463,True
42.0,Sep17,1.0,velocity_rmse_m_s,0.9373622282608204,0.6955118791321241,0.2418503491286963,25.801162222786044,True
42.0,Sep17,1.0,attitude_error_deg,9.948813307965846,7.847912808215363,2.100900499750483,21.117096428659764,True
42.0,Sep17,1.0,body_rate_rmse_rad_s,0.7861616428283007,0.6074177776532983,0.1787438651750024,22.73627399728537,True
42.0,Sep7,0.1,position_rmse_m,0.0607694817218631,0.0499701098051978,0.010799371916665294,17.77104495656739,True
42.0,Sep7,0.1,velocity_rmse_m_s,0.5167293169545459,0.1385978911101612,0.37813142584438475,73.17785413705239,True
42.0,Sep7,0.1,attitude_error_deg,1.858139350709116,1.355336387270758,0.502802963438358,27.059486321436268,True
42.0,Sep7,0.1,body_rate_rmse_rad_s,0.7083503572116329,0.5644980701246431,0.14385228708698972,20.308070098708395,True
42.0,Sep7,0.2,position_rmse_m,0.1189273458765273,0.0967186265814352,0.022208719295092105,18.674190642537027,True
42.0,Sep7,0.2,velocity_rmse_m_s,0.4131970794416901,0.1744307409786947,0.2387663384629954,57.785098284241336,True
42.0,Sep7,0.2,attitude_error_deg,2.718273759903251,2.052332852225132,0.6659409076781189,24.49866961530104,True
42.0,Sep7,0.2,body_rate_rmse_rad_s,0.7376623391455942,0.5896147511290296,0.1480475880165646,20.06983143372107,True
42.0,Sep7,0.5,position_rmse_m,0.2823232202187483,0.2477872814015057,0.034535938817242595,12.232765973157868,True
42.0,Sep7,0.5,velocity_rmse_m_s,0.4994710639953543,0.3420055009220494,0.1574655630733049,31.526463578032125,True
42.0,Sep7,0.5,attitude_error_deg,4.484879253528763,3.624536907851976,0.8603423456767869,19.183177451206923,True
42.0,Sep7,0.5,body_rate_rmse_rad_s,0.7581572615497423,0.6267512849310521,0.13140597661869013,17.33228490749853,True
42.0,Sep7,1.0,position_rmse_m,0.6192988527847972,0.5648888009559414,0.05441005182885583,8.785750463478253,True
42.0,Sep7,1.0,velocity_rmse_m_s,0.7654933000341744,0.610860817954229,0.1546324820799454,20.200370411216145,True
42.0,Sep7,1.0,attitude_error_deg,7.044718906155774,5.852196404623697,1.1925225015320766,16.92789332573701,True
42.0,Sep7,1.0,body_rate_rmse_rad_s,0.7616942128279262,0.6163230741225322,0.14537113870539398,19.085236077306874,True
