seed,cohort,horizon_s,metric,mlp_error,gru_error,absolute_gain,relative_gain_pct,gru_better
17.0,ALL,0.1,position_rmse_m,0.0494265075254823,0.0353624518325029,0.014064055692979395,28.454479988756116,True
17.0,ALL,0.1,velocity_rmse_m_s,0.5299782493177935,0.1403585536276246,0.38961969569016885,73.51616716189787,True
17.0,ALL,0.1,attitude_error_deg,2.0460491856315084,1.3845081999116715,0.6615409857198369,32.33260423872234,True
17.0,ALL,0.1,body_rate_rmse_rad_s,0.7219538010116056,0.5438908711237967,0.1780629298878088,24.664033853455177,True
17.0,ALL,0.2,position_rmse_m,0.0983824404173527,0.0703719005347363,0.028010539882616398,28.47107650897009,True
17.0,ALL,0.2,velocity_rmse_m_s,0.4248536944753984,0.191337249956398,0.2335164445190004,54.963967021009964,True
17.0,ALL,0.2,attitude_error_deg,3.185866233921591,2.153924950052745,1.031941283868846,32.391230770495795,True
17.0,ALL,0.2,body_rate_rmse_rad_s,0.7563661806025007,0.5642465257049663,0.19211965489753446,25.400349701581998,True
17.0,ALL,0.5,position_rmse_m,0.2427860657415863,0.1918175617491459,0.05096850399244038,20.993175138267457,True
17.0,ALL,0.5,velocity_rmse_m_s,0.5420459436945458,0.3512097180469291,0.19083622564761676,35.206651367389796,True
17.0,ALL,0.5,attitude_error_deg,5.530870832739522,4.033739771723627,1.497131061015895,27.06863179942215,True
17.0,ALL,0.5,body_rate_rmse_rad_s,0.7509235861975274,0.5987111840019169,0.1522124021956105,20.270025471749086,True
17.0,ALL,1.0,position_rmse_m,0.5752096847255267,0.4710118358619498,0.10419784886357691,18.11475912706461,True
17.0,ALL,1.0,velocity_rmse_m_s,0.874542843469641,0.6397393092867328,0.2348035341829081,26.848717125321617,True
17.0,ALL,1.0,attitude_error_deg,8.703677463896511,6.743670494699981,1.96000696919653,22.519296898659007,True
17.0,ALL,1.0,body_rate_rmse_rad_s,0.7636555826534349,0.6179617016979126,0.14569388095552227,19.078480438692953,True
17.0,Sep17,0.1,position_rmse_m,0.0369411035191078,0.0187321960561479,0.018208907462959903,49.291725823895156,True
17.0,Sep17,0.1,velocity_rmse_m_s,0.5472132383050141,0.149156333146514,0.3980569051585001,72.742557616383,True
17.0,Sep17,0.1,attitude_error_deg,2.271320393152987,1.4554005293162402,0.8159198638367466,35.9227111373798,True
17.0,Sep17,0.1,body_rate_rmse_rad_s,0.7397711425445722,0.5271383388882338,0.2126328036563384,28.7430519288642,True
17.0,Sep17,0.2,position_rmse_m,0.0749435711094239,0.0401391331388904,0.0348044379705335,46.44085870916947,True
17.0,Sep17,0.2,velocity_rmse_m_s,0.4417294794088886,0.219564263597577,0.22216521581131163,50.29440555079266,True
17.0,Sep17,0.2,attitude_error_deg,3.710079868430944,2.315408116422238,1.3946717520087057,37.59142124879743,True
17.0,Sep17,0.2,body_rate_rmse_rad_s,0.7662786864393423,0.5362156869348987,0.23006299950444353,30.023411009051348,True
17.0,Sep17,0.5,position_rmse_m,0.1927454683161629,0.1270365459893165,0.06570892232684641,34.09103357961351,True
17.0,Sep17,0.5,velocity_rmse_m_s,0.5809398185301731,0.3610422881382361,0.219897530391937,37.85203275414936,True
17.0,Sep17,0.5,attitude_error_deg,6.606292605697362,4.526343428566673,2.0799491771306897,31.48436348909086,True
17.0,Sep17,0.5,body_rate_rmse_rad_s,0.7477941884966248,0.5620904662494558,0.18570372224716902,24.833533758868896,True
17.0,Sep17,1.0,position_rmse_m,0.5045075281172922,0.3575994088262163,0.14690811929107583,29.119113413293093,True
17.0,Sep17,1.0,velocity_rmse_m_s,0.9736318222984152,0.6744544644740484,0.2991773578243667,30.7279765279354,True
17.0,Sep17,1.0,attitude_error_deg,10.25783136376355,7.675610016839577,2.5822213469239736,25.173170189225736,True
17.0,Sep17,1.0,body_rate_rmse_rad_s,0.7752202479075042,0.6087628786367513,0.16645736927075294,21.472268006422592,True
17.0,Sep7,0.1,position_rmse_m,0.0605246444200374,0.0501449014114852,0.010379743008552204,17.14961419106804,True
17.0,Sep7,0.1,velocity_rmse_m_s,0.5146582591069306,0.1325383051663896,0.38211995394054105,74.24731793940724,True
17.0,Sep7,0.1,attitude_error_deg,1.8458081122790837,1.3214927959964995,0.5243153162825842,28.405732578301098,True
17.0,Sep7,0.1,body_rate_rmse_rad_s,0.706116164093413,0.5587820108887416,0.14733415320467147,20.86542706380822,True
17.0,Sep7,0.2,position_rmse_m,0.1192169909132893,0.097245471553266,0.021971519360023298,18.429855670492433,True
