model,cohort,horizon_s,metric,mean,std,min,max,n_seeds,deterministic,n_flights,n_origins
B0_ConstantVelocity,ALL,0.1,position_rmse_m,0.0587227832951786,,0.0587227832951786,0.0587227832951786,0,True,17,2582
B0_ConstantVelocity,ALL,0.1,velocity_rmse_m_s,0.819598739791995,,0.819598739791995,0.819598739791995,0,True,17,2582
B0_ConstantVelocity,ALL,0.1,attitude_error_deg,4.155411089250727,,4.155411089250727,4.155411089250727,0,True,17,2582
B0_ConstantVelocity,ALL,0.1,body_rate_rmse_rad_s,1.212082975284379,,1.212082975284379,1.212082975284379,0,True,17,2582
B0_ConstantVelocity,ALL,0.2,position_rmse_m,0.1377905881446387,,0.1377905881446387,0.1377905881446387,0,True,17,2582
B0_ConstantVelocity,ALL,0.2,velocity_rmse_m_s,0.7479734503416503,,0.7479734503416503,0.7479734503416503,0,True,17,2582
B0_ConstantVelocity,ALL,0.2,attitude_error_deg,9.313316961745173,,9.313316961745173,9.313316961745173,0,True,17,2582
B0_ConstantVelocity,ALL,0.2,body_rate_rmse_rad_s,1.200467509799214,,1.200467509799214,1.200467509799214,0,True,17,2582
B0_ConstantVelocity,ALL,0.5,position_rmse_m,0.4181816092546648,,0.4181816092546648,0.4181816092546648,0,True,17,2582
B0_ConstantVelocity,ALL,0.5,velocity_rmse_m_s,1.1707067979353143,,1.1707067979353143,1.1707067979353143,0,True,17,2582
B0_ConstantVelocity,ALL,0.5,attitude_error_deg,23.245481059554063,,23.245481059554063,23.245481059554063,0,True,17,2582
B0_ConstantVelocity,ALL,0.5,body_rate_rmse_rad_s,1.0659885312498951,,1.0659885312498951,1.0659885312498951,0,True,17,2582
B0_ConstantVelocity,ALL,1.0,position_rmse_m,1.2249344364497343,,1.2249344364497343,1.2249344364497343,0,True,17,2582
B0_ConstantVelocity,ALL,1.0,velocity_rmse_m_s,2.073277034490692,,2.073277034490692,2.073277034490692,0,True,17,2582
B0_ConstantVelocity,ALL,1.0,attitude_error_deg,46.77786576098352,,46.77786576098352,46.77786576098352,0,True,17,2582
B0_ConstantVelocity,ALL,1.0,body_rate_rmse_rad_s,1.1261874322008494,,1.1261874322008494,1.1261874322008494,0,True,17,2582
B0_ConstantVelocity,Sep17,0.1,position_rmse_m,0.0472740678078216,,0.0472740678078216,0.0472740678078216,0,True,8,1101
B0_ConstantVelocity,Sep17,0.1,velocity_rmse_m_s,0.8067076148364726,,0.8067076148364726,0.8067076148364726,0,True,8,1101
B0_ConstantVelocity,Sep17,0.1,attitude_error_deg,4.05467774485247,,4.05467774485247,4.05467774485247,0,True,8,1101
B0_ConstantVelocity,Sep17,0.1,body_rate_rmse_rad_s,1.2504248829273474,,1.2504248829273474,1.2504248829273474,0,True,8,1101
B0_ConstantVelocity,Sep17,0.2,position_rmse_m,0.1187116924172003,,0.1187116924172003,0.1187116924172003,0,True,8,1101
B0_ConstantVelocity,Sep17,0.2,velocity_rmse_m_s,0.7733349040575177,,0.7733349040575177,0.7733349040575177,0,True,8,1101
B0_ConstantVelocity,Sep17,0.2,attitude_error_deg,9.340594593903749,,9.340594593903749,9.340594593903749,0,True,8,1101
B0_ConstantVelocity,Sep17,0.2,body_rate_rmse_rad_s,1.1662035963548818,,1.1662035963548818,1.1662035963548818,0,True,8,1101
B0_ConstantVelocity,Sep17,0.5,position_rmse_m,0.3985087296604876,,0.3985087296604876,0.3985087296604876,0,True,8,1101
B0_ConstantVelocity,Sep17,0.5,velocity_rmse_m_s,1.2779718554009682,,1.2779718554009682,1.2779718554009682,0,True,8,1101
B0_ConstantVelocity,Sep17,0.5,attitude_error_deg,23.418254663962948,,23.418254663962948,23.418254663962948,0,True,8,1101
B0_ConstantVelocity,Sep17,0.5,body_rate_rmse_rad_s,1.0920719259656493,,1.0920719259656493,1.0920719259656493,0,True,8,1101
B0_ConstantVelocity,Sep17,1.0,position_rmse_m,1.2448788206422368,,1.2448788206422368,1.2448788206422368,0,True,8,1101
B0_ConstantVelocity,Sep17,1.0,velocity_rmse_m_s,2.217575926792956,,2.217575926792956,2.217575926792956,0,True,8,1101
B0_ConstantVelocity,Sep17,1.0,attitude_error_deg,47.33592032582724,,47.33592032582724,47.33592032582724,0,True,8,1101
B0_ConstantVelocity,Sep17,1.0,body_rate_rmse_rad_s,1.1321268505552031,,1.1321268505552031,1.1321268505552031,0,True,8,1101
B0_ConstantVelocity,Sep7,0.1,position_rmse_m,0.0688994192839403,,0.0688994192839403,0.0688994192839403,0,True,9,1481
B0_ConstantVelocity,Sep7,0.1,velocity_rmse_m_s,0.8310575175302374,,0.8310575175302374,0.8310575175302374,0,True,9,1481
B0_ConstantVelocity,Sep7,0.1,attitude_error_deg,4.244951839826953,,4.244951839826953,4.244951839826953,0,True,9,1481
B0_ConstantVelocity,Sep7,0.1,body_rate_rmse_rad_s,1.17800127960174,,1.17800127960174,1.17800127960174,0,True,9,1481
B0_ConstantVelocity,Sep7,0.2,position_rmse_m,0.1547496065690284,,0.1547496065690284,0.1547496065690284,0,True,9,1481
