model,seed,cohort,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_flights,n_windows
B0_ConstantVelocity,,ALL,0.1,0.05872278329517861,0.819598739791995,4.155411089250727,1.212082975284379,0.819598739791995,1.212082975284379,0.20364480073654367,0.20910753571647667,0.7649701237559894,0.9018375315355107,0.7833090705840412,0.1658571761606205,17,2582
B0_ConstantVelocity,,ALL,0.2,0.13779058814463874,0.7479734503416503,9.313316961745171,1.200467509799214,0.7479734503416503,1.200467509799214,0.3124660667788353,0.3303192926717602,0.5920927198993228,0.8517537101341736,0.8137518852359737,0.20243644322778853,17,2582
B0_ConstantVelocity,,ALL,0.5,0.4181816092546648,1.1707067979353143,23.245481059554063,1.0659885312498953,1.1707067979353143,1.0659885312498953,0.6924850227443647,0.7470722515211364,0.5710890838028315,0.7836942482833558,0.6596289115285432,0.27519309393535335,17,2582
B0_ConstantVelocity,,ALL,1.0,1.2249344364497345,2.0732770344906917,46.777865760983524,1.1261874322008494,2.0732770344906917,1.1261874322008494,1.2992633477578923,1.4065534535067723,0.7845013992167695,0.813710333316382,0.7237593366774518,0.25873364219216305,17,2582
B0_ConstantVelocity,,Sep17,0.1,0.047274067807821674,0.8067076148364726,4.05467774485247,1.2504248829273474,0.8067076148364726,1.2504248829273474,0.2054295627294711,0.20350198482722606,0.7526621918133947,0.8707575942622384,0.874872160663638,0.184475506199902,8,1101
B0_ConstantVelocity,,Sep17,0.2,0.11871169241720032,0.7733349040575177,9.340594593903747,1.1662035963548818,0.7733349040575177,1.1662035963548818,0.3361881028070563,0.3569036687007195,0.596707190947491,0.7664260947664127,0.8425831066714616,0.2386105504366224,8,1101
B0_ConstantVelocity,,Sep17,0.5,0.3985087296604876,1.2779718554009682,23.418254663962948,1.0920719259656493,1.2779718554009682,1.0920719259656493,0.7288504906158709,0.7999547530215947,0.6770603131955546,0.741584577478083,0.7261403959634098,0.334953067349061,8,1101
B0_ConstantVelocity,,Sep17,1.0,1.2448788206422368,2.217575926792956,47.33592032582724,1.1321268505552033,2.217575926792956,1.1321268505552033,1.3475845184209994,1.5107731392721704,0.8993216139315501,0.7459594012578581,0.7950275605935335,0.2957704672807367,8,1101
B0_ConstantVelocity,,Sep7,0.1,0.06889941928394033,0.8310575175302374,4.244951839826953,1.17800127960174,0.8310575175302374,1.17800127960174,0.20205834563171926,0.21409024761803275,0.7759105077049625,0.929464142445086,0.7019196571799552,0.149307549459037,9,1481
B0_ConstantVelocity,,Sep7,0.2,0.1547496065690284,0.7254299359275459,9.289070177604213,1.2309243217497314,0.7254299359275459,1.2309243217497314,0.2913798125315277,0.30668873620157405,0.5879909678565066,0.9276004793499611,0.7881241328488734,0.17028168126438062,9,1481
B0_ConstantVelocity,,Sep7,0.5,0.4356686133383778,1.0753600801880663,23.091904522301718,1.042803291502559,1.0753600801880663,1.042803291502559,0.6601601624141369,0.700065583520729,0.47689243545374427,0.8211250667769315,0.6005075920308839,0.22207311756761328,9,1481
B0_ConstantVelocity,,Sep7,1.0,1.2072060949452885,1.9450113524442354,46.28181725890022,1.1209079492192016,1.9450113524442354,1.1209079492192016,1.2563111960573528,1.3139137328264183,0.6824389861369647,0.8739333840350699,0.6604098043076013,0.22581201989120872,9,1481
