cohort,horizon_s,metric,mlp_mean,gru_mean,absolute_gain,relative_gain_pct,seeds_gru_better,seeds_mlp_better,seeds_tied,flights_gru_better,flights_mlp_better,flights_tied,n_flights
ALL,0.1,attitude_error_deg,2.036593383241103,1.4073877652708784,0.6292056179702248,30.895004528046037,3,0,0,17,0,0,17
ALL,0.1,body_rate_rmse_rad_s,0.718410031227472,0.545328817446893,0.17308121378057906,24.09226016580716,3,0,0,17,0,0,17
ALL,0.1,position_rmse_m,0.0494278175266579,0.03533975990047317,0.01408805762618473,28.502285415670272,3,0,0,17,0,0,17
ALL,0.1,velocity_rmse_m_s,0.5308128371777069,0.1449289623640794,0.3858838748136275,72.69678647286375,3,0,0,17,0,0,17
ALL,0.2,attitude_error_deg,3.1703972483775593,2.196485009819066,0.9739122385584933,30.71893400919679,3,0,0,17,0,0,17
ALL,0.2,body_rate_rmse_rad_s,0.7552644411908257,0.5662829067172569,0.1889815344735688,25.021902815337306,3,0,0,17,0,0,17
ALL,0.2,position_rmse_m,0.09820091912333906,0.0703758747361203,0.027825044387218764,28.334810545175117,3,0,0,17,0,0,17
ALL,0.2,velocity_rmse_m_s,0.42886036794558774,0.19543232868331303,0.2334280392622747,54.42984633448135,3,0,0,17,0,0,17
ALL,0.5,attitude_error_deg,5.485870838465192,4.078397323464925,1.4074735150002669,25.65633709659199,3,0,0,17,0,0,17
ALL,0.5,body_rate_rmse_rad_s,0.7526038488345296,0.5965765681119547,0.15602728072257488,20.731661280260028,3,0,0,17,0,0,17
ALL,0.5,position_rmse_m,0.24066621565442728,0.19239547622942155,0.04827073942500573,20.05713153121488,3,0,0,17,0,0,17
ALL,0.5,velocity_rmse_m_s,0.5421842329394768,0.3572876015314527,0.1848966314080241,34.10217785301474,3,0,0,17,0,0,17
ALL,1.0,attitude_error_deg,8.532832281761065,6.692491015924361,1.8403412658367042,21.56776560310971,3,0,0,17,0,0,17
ALL,1.0,body_rate_rmse_rad_s,0.7687478975138005,0.6210730627049943,0.14767483480880617,19.209787146917712,3,0,0,17,0,0,17
ALL,1.0,position_rmse_m,0.5674950549965218,0.474013589738189,0.09348146525833273,16.472648428435328,3,0,0,16,1,0,17
ALL,1.0,velocity_rmse_m_s,0.861820103531775,0.6477484181435842,0.21407168538819077,24.83948616549046,3,0,0,17,0,0,17
Sep17,0.1,attitude_error_deg,2.2451991599016488,1.4698279819084552,0.7753711779931935,34.53462801167086,3,0,0,8,0,0,8
Sep17,0.1,body_rate_rmse_rad_s,0.731728610005327,0.5273914212369101,0.2043371887684169,27.92526983015319,3,0,0,8,0,0,8
Sep17,0.1,position_rmse_m,0.0367929920881472,0.018780423278594135,0.018012568809553067,48.95652075916866,3,0,0,8,0,0,8
Sep17,0.1,velocity_rmse_m_s,0.5470458153917722,0.15328337006033144,0.3937624453314408,71.97979296294295,3,0,0,8,0,0,8
Sep17,0.2,attitude_error_deg,3.668712376468058,2.376163835792054,1.292548540676004,35.23166735464736,3,0,0,8,0,0,8
Sep17,0.2,body_rate_rmse_rad_s,0.7660719687252677,0.5370344702811892,0.2290374984440785,29.89764771385559,3,0,0,8,0,0,8
Sep17,0.2,position_rmse_m,0.07478480679980143,0.04037588761176287,0.03440891918803856,46.01057442075243,3,0,0,8,0,0,8
Sep17,0.2,velocity_rmse_m_s,0.44771977790425027,0.22052783181036187,0.2271919460938884,50.74422826647517,3,0,0,8,0,0,8
Sep17,0.5,attitude_error_deg,6.547267728809146,4.56950906185081,1.9777586669583362,30.207389538323678,3,0,0,8,0,0,8
Sep17,0.5,body_rate_rmse_rad_s,0.749404871833697,0.5609187370666632,0.1884861347670338,25.151442411340692,3,0,0,8,0,0,8
Sep17,0.5,position_rmse_m,0.19085886706904506,0.1292848576220216,0.06157400944702346,32.26153984490983,3,0,0,8,0,0,8
Sep17,0.5,velocity_rmse_m_s,0.5775427953064652,0.3736101737272393,0.20393262157922593,35.31039140935207,3,0,0,8,0,0,8
Sep17,1.0,attitude_error_deg,10.068349485574684,7.565419632078857,2.502929853495827,24.859385911085745,3,0,0,8,0,0,8
