policy,destination,steps,offset,requested,assessable,beneficial,harmful
ensemble,ensemble,5,-0.2,51,22,22,0
ensemble,ensemble,5,0.0,51,22,21,0
ensemble,ensemble,5,0.2,51,22,22,0
ensemble,ensemble,10,-0.2,51,22,22,0
ensemble,ensemble,10,0.0,51,22,22,0
ensemble,ensemble,10,0.2,51,22,22,0
ensemble,observational_ridge,5,-0.2,51,22,2,20
ensemble,observational_ridge,5,0.0,51,22,4,17
ensemble,observational_ridge,5,0.2,51,22,6,16
ensemble,observational_ridge,10,-0.2,51,22,1,21
ensemble,observational_ridge,10,0.0,51,22,5,17
ensemble,observational_ridge,10,0.2,51,22,6,16
ensemble,seed17,5,-0.2,51,22,22,0
ensemble,seed17,5,0.0,51,22,21,0
ensemble,seed17,5,0.2,51,22,22,0
ensemble,seed17,10,-0.2,51,22,19,3
ensemble,seed17,10,0.0,51,22,20,2
ensemble,seed17,10,0.2,51,22,19,3
ensemble,seed23,5,-0.2,51,22,21,1
ensemble,seed23,5,0.0,51,22,21,0
ensemble,seed23,5,0.2,51,22,22,0
ensemble,seed23,10,-0.2,51,22,21,1
ensemble,seed23,10,0.0,51,22,21,1
ensemble,seed23,10,0.2,51,22,20,2
ensemble,seed42,5,-0.2,51,22,21,1
ensemble,seed42,5,0.0,51,22,20,1
ensemble,seed42,5,0.2,51,22,22,0
ensemble,seed42,10,-0.2,51,22,19,3
ensemble,seed42,10,0.0,51,22,20,2
ensemble,seed42,10,0.2,51,22,20,2
nominal_seed17,ensemble,5,-0.2,51,22,22,0
nominal_seed17,ensemble,5,0.0,51,22,21,1
nominal_seed17,ensemble,5,0.2,51,22,22,0
nominal_seed17,ensemble,10,-0.2,51,22,19,3
nominal_seed17,ensemble,10,0.0,51,22,20,2
nominal_seed17,ensemble,10,0.2,51,22,19,3
nominal_seed17,observational_ridge,5,-0.2,51,22,2,20
nominal_seed17,observational_ridge,5,0.0,51,22,4,18
nominal_seed17,observational_ridge,5,0.2,51,22,6,16
nominal_seed17,observational_ridge,10,-0.2,51,22,3,19
nominal_seed17,observational_ridge,10,0.0,51,22,7,15
nominal_seed17,observational_ridge,10,0.2,51,22,7,15
nominal_seed17,seed17,5,-0.2,51,22,22,0
nominal_seed17,seed17,5,0.0,51,22,22,0
nominal_seed17,seed17,5,0.2,51,22,22,0
nominal_seed17,seed17,10,-0.2,51,22,22,0
nominal_seed17,seed17,10,0.0,51,22,22,0
nominal_seed17,seed17,10,0.2,51,22,22,0
nominal_seed17,seed23,5,-0.2,51,22,21,1
nominal_seed17,seed23,5,0.0,51,22,22,0
nominal_seed17,seed23,5,0.2,51,22,22,0
nominal_seed17,seed23,10,-0.2,51,22,18,4
nominal_seed17,seed23,10,0.0,51,22,19,3
nominal_seed17,seed23,10,0.2,51,22,19,3
nominal_seed17,seed42,5,-0.2,51,22,21,1
nominal_seed17,seed42,5,0.0,51,22,20,2
nominal_seed17,seed42,5,0.2,51,22,22,0
nominal_seed17,seed42,10,-0.2,51,22,19,3
nominal_seed17,seed42,10,0.0,51,22,20,2
nominal_seed17,seed42,10,0.2,51,22,19,3
worst_of_three_seeds,ensemble,5,-0.2,51,22,22,0
worst_of_three_seeds,ensemble,5,0.0,51,22,21,0
worst_of_three_seeds,ensemble,5,0.2,51,22,22,0
worst_of_three_seeds,ensemble,10,-0.2,51,22,22,0
worst_of_three_seeds,ensemble,10,0.0,51,22,21,0
worst_of_three_seeds,ensemble,10,0.2,51,22,21,0
worst_of_three_seeds,observational_ridge,5,-0.2,51,22,2,20
worst_of_three_seeds,observational_ridge,5,0.0,51,22,4,17
worst_of_three_seeds,observational_ridge,5,0.2,51,22,6,16
worst_of_three_seeds,observational_ridge,10,-0.2,51,22,1,21
worst_of_three_seeds,observational_ridge,10,0.0,51,22,4,17
worst_of_three_seeds,observational_ridge,10,0.2,51,22,5,16
worst_of_three_seeds,seed17,5,-0.2,51,22,22,0
worst_of_three_seeds,seed17,5,0.0,51,22,21,0
worst_of_three_seeds,seed17,5,0.2,51,22,22,0
worst_of_three_seeds,seed17,10,-0.2,51,22,19,3
worst_of_three_seeds,seed17,10,0.0,51,22,19,2
worst_of_three_seeds,seed17,10,0.2,51,22,18,3
worst_of_three_seeds,seed23,5,-0.2,51,22,21,1
worst_of_three_seeds,seed23,5,0.0,51,22,21,0
worst_of_three_seeds,seed23,5,0.2,51,22,22,0
worst_of_three_seeds,seed23,10,-0.2,51,22,21,1
worst_of_three_seeds,seed23,10,0.0,51,22,20,1
worst_of_three_seeds,seed23,10,0.2,51,22,19,2
worst_of_three_seeds,seed42,5,-0.2,51,22,21,1
worst_of_three_seeds,seed42,5,0.0,51,22,20,1
worst_of_three_seeds,seed42,5,0.2,51,22,22,0
worst_of_three_seeds,seed42,10,-0.2,51,22,19,3
worst_of_three_seeds,seed42,10,0.0,51,22,20,1
worst_of_three_seeds,seed42,10,0.2,51,22,20,1
