policy,steps,offset,origin,window_id,admitted,action_index,common,common_delta
nominal_seed17,5,-0.2,0,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:25,False,0,0.03367989063262866,-0.35150982141494824
nominal_seed17,5,-0.2,1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:4175,True,2,-0.10822109301702709,0.0114538503704813
nominal_seed17,5,-0.2,2,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:8375,True,1,0.19689259846822948,-0.0114538503704813
nominal_seed17,5,-0.2,3,validation:2026.9.7/log_22_2026-9-7-06-01-40.ulg:0:25,False,0,0.007807910442352295,0.0
nominal_seed17,5,-0.2,4,validation:2026.9.7/log_22_2026-9-7-06-01-40.ulg:2:3975,True,2,-0.004980491298601342,0.0114538503704813
nominal_seed17,5,-0.2,5,validation:2026.9.7/log_22_2026-9-7-06-01-40.ulg:2:8525,False,0,0.06337498873472214,0.0
nominal_seed17,5,-0.2,6,validation:2026.9.7/log_23_2026-9-7-06-09-22.ulg:0:25,False,0,0.06365995407104419,-0.35150982141494824
nominal_seed17,5,-0.2,7,validation:2026.9.7/log_23_2026-9-7-06-09-22.ulg:1:1725,False,0,-9.498745203018188e-05,0.0
nominal_seed17,5,-0.2,8,validation:2026.9.7/log_23_2026-9-7-06-09-22.ulg:3:1275,False,0,0.16098358167801052,0.0
nominal_seed17,5,-0.2,9,validation:2026.9.7/log_24_2026-9-7-06-16-04.ulg:0:25,False,0,-0.14199410080909802,-0.35150982141494824
nominal_seed17,5,-0.2,10,validation:2026.9.7/log_24_2026-9-7-06-16-04.ulg:1:2575,False,0,-0.07484530657529831,0.0
nominal_seed17,5,-0.2,11,validation:2026.9.7/log_24_2026-9-7-06-16-04.ulg:3:2525,True,2,0.07686540315730839,0.0114538503704813
nominal_seed17,5,-0.2,12,validation:2026.9.7/log_26_2026-9-7-06-30-26.ulg:1:25,False,0,-0.14786894321441724,-0.19286246299743726
nominal_seed17,5,-0.2,13,validation:2026.9.7/log_26_2026-9-7-06-30-26.ulg:1:3725,True,2,0.017313821416929054,0.0114538503704813
nominal_seed17,5,-0.2,14,validation:2026.9.7/log_26_2026-9-7-06-30-26.ulg:1:7475,True,2,0.0915169512747076,0.0114538503704813
nominal_seed17,5,-0.2,15,validation:2026.9.7/log_27_2026-9-7-06-37-24.ulg:0:25,True,2,0.06530636287166146,0.011453850370481286
nominal_seed17,5,-0.2,16,validation:2026.9.7/log_27_2026-9-7-06-37-24.ulg:2:3025,True,2,-0.08752670307771894,0.011453850370481286
nominal_seed17,5,-0.2,17,validation:2026.9.7/log_27_2026-9-7-06-37-24.ulg:2:6875,True,2,0.27347271161957054,0.0114538503704813
nominal_seed17,5,-0.2,18,validation:2026.9.7/log_28_2026-9-7-06-44-02.ulg:0:25,False,0,-0.07739524245262219,-0.35150982141494824
nominal_seed17,5,-0.2,19,validation:2026.9.7/log_28_2026-9-7-06-44-02.ulg:5:2025,True,2,-0.018119649785921288,0.0114538503704813
nominal_seed17,5,-0.2,20,validation:2026.9.7/log_28_2026-9-7-06-44-02.ulg:6:1875,True,2,0.17653838108631192,0.0114538503704813
nominal_seed17,5,-0.2,21,validation:2026.9.7/log_29_2026-9-7-06-51-04.ulg:0:25,False,0,0.2687164284288883,0.0
nominal_seed17,5,-0.2,22,validation:2026.9.7/log_29_2026-9-7-06-51-04.ulg:4:225,True,2,-0.09731980023102493,0.0114538503704813
nominal_seed17,5,-0.2,23,validation:2026.9.7/log_29_2026-9-7-06-51-04.ulg:4:5225,True,1,0.10756912251131268,-0.0114538503704813
nominal_seed17,5,-0.2,24,validation:2026.9.7/log_30_2026-9-7-06-58-22.ulg:0:25,False,0,0.05978790670633316,0.0
