split,target,signal,truth_std,pred_std,rmse,r2
train,D0_raw,linear,11.256621012130072,2.7841145992279053,10.779516981805761,0.08297217593873873
train,D0_raw,angular,39.484188820477925,15.460772514343262,33.8042359046101,0.26701378458112335
train,D1_lp4,linear,6.044697795175387,2.7841145992279053,5.660866306930752,0.12296563622293222
train,D1_lp4,angular,8.510287143902763,15.460772514343262,11.606087337652301,-0.8598727920231355
train,D1_lp6,linear,9.95214256655288,2.7841145992279053,9.429371796550896,0.10229768989249777
train,D1_lp6,angular,16.109509233366524,15.460772514343262,11.531362187854034,0.4876147656646104
train,D1_lp8,linear,10.391337448164249,2.7841145992279053,9.877502682951446,0.09645161083053466
train,D1_lp8,angular,19.362824850426207,15.460772514343262,13.392746400549482,0.5215882290384894
train,D1_lp12,linear,10.619464692580074,2.7841145992279053,10.129157798702602,0.09020944647613427
train,D1_lp12,angular,25.486814226428162,15.460772514343262,19.205989789445912,0.43213868929622967
train,increment2,linear,10.695173662385486,2.7841145992279053,9.812228104175848,0.15829561496959776
train,increment2,angular,29.42257339214833,15.460772514343262,22.30660140714241,0.42521489622690833
train,increment5,linear,8.357011236172072,2.7841145992279053,6.680172275795628,0.36104046816368895
train,increment5,angular,15.043819380190955,15.460772514343262,12.91974362178238,0.2624498252935612
train,increment10,linear,3.8231599595676147,2.7841145992279053,3.3543510623539596,0.23021031289242522
train,increment10,angular,6.480426709847844,15.460772514343262,15.27333821530987,-4.554701570870116
validation,D0_raw,linear,10.845642979828206,2.7535691261291504,10.408172668063719,0.07904508789506914
validation,D0_raw,angular,30.20428237978889,12.075227737426758,25.894954270177138,0.26498999098927356
validation,D1_lp4,linear,6.6249134472396305,2.7535691261291504,6.291460754485651,0.09813285407914851
validation,D1_lp4,angular,6.7920153440157325,12.075227737426758,9.712974408555153,-1.0450652642306406
validation,D1_lp6,linear,9.859903827739831,2.7535691261291504,9.388741671260853,0.09328787861491405
validation,D1_lp6,angular,11.245855690087732,12.075227737426758,9.527149378513721,0.28230332051937124
validation,D1_lp8,linear,10.149756490656388,2.7535691261291504,9.692155190107206,0.08813725418082563
validation,D1_lp8,angular,15.34920441460625,12.075227737426758,11.53714065847311,0.43503097842689864
validation,D1_lp12,linear,10.314573468919649,2.7535691261291504,9.875125744104247,0.08339394558618218
validation,D1_lp12,angular,20.461360696321247,12.075227737426758,15.994034357596732,0.388991816871855
validation,increment2,linear,10.403148701514228,2.7535691261291504,9.557475128759132,0.15597222111000208
validation,increment2,angular,22.72733975943262,12.075227737426758,17.569974905351366,0.40235254623979355
validation,increment5,linear,8.362679496315165,2.7535691261291504,6.68236795905289,0.3614868190271743
validation,increment5,angular,11.381139284260085,12.075227737426758,11.161559227453186,0.03821442411199638
validation,increment10,linear,3.9987992054915775,2.7535691261291504,3.655007530520178,0.1645559739803374
validation,increment10,angular,5.5790701451575035,12.075227737426758,11.99586723770975,-3.6231678110561596
