split,log_id,segment_id,target,steps,count,rmse,r2,truth_increment_rms,signal
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D1_lp12,5,1727,0.5427463603193211,0.800444408370353,1.2149722502453948,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D1_lp12,10,1722,0.0509454125216275,0.9947488143888684,0.7037316172673717,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D1_lp12,10,1722,0.6189606752050302,0.7190890862365109,1.167846262267649,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D1_lp12,25,1707,0.0347559464956459,0.9990196021649652,1.1123286204264142,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D1_lp12,25,1707,0.4372315021024932,0.7760910427787797,0.924213108168586,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center2,2,1730,0.1311978295227525,0.9258147368946824,0.4817314537874925,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center2,2,1730,0.6474383527703232,0.636970624567947,1.0745533629527484,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center2,5,1727,0.2272370540901372,0.9394192393689093,0.923368422111948,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center2,5,1727,0.5865117940381769,0.7669637080263706,1.2149722502453948,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center2,10,1722,0.1464026539864947,0.9566344256933708,0.7037316172673717,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center2,10,1722,0.6888951601779405,0.652024422311533,1.167846262267649,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center2,25,1707,0.070288362736469,0.995990308518004,1.1123286204264142,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center2,25,1707,0.6212763760764377,0.5479169154310302,0.924213108168586,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center5,2,1730,0.1510574070689024,0.9016558814857722,0.4817314537874925,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center5,2,1730,1.018950876580754,0.1008101041234654,1.0745533629527484,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center5,5,1727,0.2267192920108582,0.9396949926904812,0.923368422111948,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center5,5,1727,0.8014960374002517,0.5648160988831334,1.2149722502453948,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center5,10,1722,0.1623345435469912,0.946682584255318,0.7037316172673717,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center5,10,1722,0.9814173062172824,0.2937638868969696,1.167846262267649,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center5,25,1707,0.0704759698663042,0.995968875364792,1.1123286204264142,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center5,25,1707,0.6309336221656132,0.5337531396505943,0.924213108168586,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center10,2,1730,0.3874411741214626,0.3530423018034229,0.4817314537874925,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center10,2,1730,1.0467392027175226,0.0510968176477746,1.0745533629527484,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center10,5,1727,0.7103396648852388,0.4080179297814094,0.923368422111948,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center10,5,1727,1.0584561627371665,0.2410453717893051,1.2149722502453948,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center10,10,1722,0.4300720586014866,0.6257777045108002,0.7037316172673717,velocity
