variable,split,channel,step,output,bin,bin_edges,near_zero_fraction,positive_fraction,negative_fraction,count,mean,std,min,p1,median,p99,max
motor,train,motor,1,ay_b,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,motor,1,ay_b,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,motor,1,ay_b,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,motor,1,az_b,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,motor,1,az_b,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,motor,1,az_b,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,motor,1,frequency_dot,0,"[0.6546761393547058, 0.7413855989774009]",0.0,1.0,0.0,198,3.2383834262086886,0.6838183132962816,1.3856886625289917,1.4994560480117798,3.302335500717163,4.929338793754578,4.952951908111572
motor,train,motor,1,frequency_dot,1,"[0.6546761393547058, 0.7413855989774009]",0.0,1.0,0.0,202,3.3028196485915986,0.500478645433054,1.6720293760299685,1.6961986124515533,3.3350882530212402,4.872927374839783,4.9371867179870605
motor,train,motor,1,frequency_dot,2,"[0.6546761393547058, 0.7413855989774009]",0.0,1.0,0.0,200,3.0735942256450652,0.5873959294904726,1.3376771211624146,1.4084875512123107,3.1187509298324585,4.618426260948181,4.673779010772705
motor,train,motor,1,p_dot,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,motor,1,p_dot,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,motor,1,p_dot,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,motor,1,q_dot,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,motor,1,q_dot,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,motor,1,q_dot,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,motor,1,r_dot,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,motor,1,r_dot,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,motor,1,r_dot,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
