split,scope,log_id,representation,target,k,signal,n_queries,distance_median,conditional_variance_ratio,knn_rmse,knn_r2
train,same_log,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,instant,D0_raw,5,linear,200,0.4772874712944031,0.718373159030237,9.893648247259334,0.20410771410395911
train,same_log,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,instant,D0_raw,5,angular,200,0.4772874712944031,0.6011121919521033,31.610777753249597,0.07896958013891697
train,same_log,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,instant,D0_raw,5,linear,200,0.5090733766555786,0.8209398610521823,9.64428848238584,0.2555043722178926
train,same_log,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,instant,D0_raw,5,angular,200,0.5090733766555786,0.6092940595179757,31.344698884090324,0.15016583345098666
train,same_log,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,instant,D0_raw,5,linear,200,0.49928373098373413,0.7647355945794597,9.821412506611276,0.15878529712503076
train,same_log,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,instant,D0_raw,5,angular,200,0.49928373098373413,0.6101318244596403,34.667684454185235,-0.031024142479034955
train,same_log,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,instant,D0_raw,5,linear,200,0.6103137135505676,0.6415601382642969,9.023906858701881,0.45016232845604653
train,same_log,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,instant,D0_raw,5,angular,200,0.6103137135505676,1.1510175013912307,45.66050705492142,0.3997801923697284
train,same_log,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,instant,D0_raw,5,linear,200,0.4692085385322571,0.7466967764274288,9.61416579718931,0.30272603450439783
train,same_log,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,instant,D0_raw,5,angular,200,0.4692085385322571,0.6210223566213001,31.135923150638593,0.22471914718108243
train,same_log,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,instant,D0_raw,5,linear,200,0.4558609426021576,0.5216054983846229,8.255818081116612,0.4349995292887858
train,same_log,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,instant,D0_raw,5,angular,200,0.4558609426021576,0.6270864045497184,32.55040149456433,0.23422709511440232
train,same_log,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,instant,D0_raw,20,linear,200,0.5544350147247314,0.8274878918997026,9.656931455871515,0.2417373545752859
train,same_log,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,instant,D0_raw,20,angular,200,0.5544350147247314,0.6262873021942932,30.037912082533605,0.16834520612217685
train,same_log,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,instant,D0_raw,20,linear,200,0.594302773475647,0.8733714525207332,9.478864317771537,0.2808253348141361
train,same_log,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,instant,D0_raw,20,angular,200,0.594302773475647,0.6198813998624747,31.12395410820847,0.16209358430353582
train,same_log,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,instant,D0_raw,20,linear,200,0.5733362436294556,0.8078199314954968,9.189229995483249,0.26359421153945073
train,same_log,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,instant,D0_raw,20,angular,200,0.5733362436294556,0.6263982527898763,32.25971842154632,0.10722851683790091
train,same_log,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,instant,D0_raw,20,linear,200,0.7116142511367798,0.7602032578729466,9.029102490604707,0.4495289937820307
train,same_log,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,instant,D0_raw,20,angular,200,0.7116142511367798,1.3303453323086532,42.2675078887685,0.4856696548769597
train,same_log,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,instant,D0_raw,20,linear,200,0.5439753532409668,0.8608685786677478,9.376471621186411,0.3367776968398428
train,same_log,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,instant,D0_raw,20,angular,200,0.5439753532409668,0.6506960396342214,29.114215775937456,0.32213102444864283
