model,seed,epochs,optimizer_steps,wall_time_s,gpu_peak_bytes,checkpoint_sha256,final_batch_loss
B0,415,30,870,4.8078315714374185,102979584,49a06607b44ace9ed71474b7cad0b87de67b54fabffddd6c36535968e85ce26a,0.23515824973583221
B1,415,30,870,3.2809847807511687,102979584,330bea96840afc844b246d66e91ba70242d42cecad1bcaddedb7fe10309982d1,0.11625302582979202
B2,415,30,870,3.0708209052681923,102979584,7657d2c7e313d34c78b7551b28aafa0be5104c82b40574300ff9dc213e9f8777,0.22432225942611694
B3,415,30,870,2.4016754012554884,102979584,0be0dad5523ebc261f383c58683fa3cafaae89bc3cdb5932673b22441ca0b080,0.1109071597456932
B0,416,30,870,2.7874554144218564,102979584,5497210720814298d3e979e90a98c937a4754dd5fb8ec6dcd2289a82fad909e6,0.22454631328582764
B1,416,30,870,2.0516237067058682,102979584,300b416145197f2c18c264ecdfae48d9fea47c9f4f572ade809d19471a0754b7,0.10589215159416199
B2,416,30,870,2.664056465961039,102979584,69f34872edb90044647640be6d331def9c5252d7eb52c02feafd3259e816575c,0.22240671515464783
B3,416,30,870,2.2391235204413533,102979584,96cad6b4777db9db4be899f5336ad8aa3ce97da79e28c15afba9be54482c318f,0.09861081093549728
B0,417,30,870,2.8974903421476483,102979584,703c9b01542c3eecda309645faa275e784fde1e06c96a1292bb8533c149fe88b,0.22055839002132416
B1,417,30,870,2.6181555576622486,102979584,6018ca667dc9df9b85779d5ef9c67ca42035a0aa01e13ee1fb00ea9395f5afa3,0.1064094677567482
B2,417,30,870,2.7082959758117795,102979584,f97ce9c7281970ec0ed690ab14f20db73cc6ff89e41f894bc36562aa68b1f44a,0.21315297484397888
B3,417,30,870,2.5126256830990314,102979584,a2da28af4f71c65861614914857c7cec9669499477fea1ac8279f6b369c42477,0.10259205102920532
