split,log_id,representation,order,signal,fit_r2,heldout_r2,harmonic_variance_fraction,n_cycles
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_cycle,2,az_n,0.9545748901058053,0.8901378350650543,1.4543155155953054,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_cycle,2,p_dot,0.0950762924961811,0.05146681160192246,0.18363223655092292,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_cycle,2,q_dot,0.518159283987113,0.42520656068872187,0.7206733267891638,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_cycle,2,r_dot,0.1404704593446391,0.014946998672771494,0.32896442975156603,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_cycle,3,p,0.31586823381318696,0.22957592121281412,0.5077784624877898,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_cycle,3,q,0.5819696395547418,0.36718063656978783,0.6225049167341541,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_cycle,3,r,0.014325525291603913,0.0032989704453795232,0.022790319185541783,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_cycle,3,ax_n,0.00953577279940987,0.003686343890099808,0.015060017903472306,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_cycle,3,ay_n,0.0009016439268056953,-0.014779702796844818,0.002569112742428902,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_cycle,3,az_n,0.9579361395547984,0.8963751029998952,1.459436451915885,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_cycle,3,p_dot,0.330135310761831,0.10742468712992048,0.637629885305674,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_cycle,3,q_dot,0.7493617983262935,0.5732151747632932,1.0422375452061765,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_cycle,3,r_dot,0.24160367354338363,-0.020985801309777008,0.5658059001436305,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,t0_relative,3,p,0.00031870126703803514,-0.0006753620418076256,0.0005514380133110473,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,t0_relative,3,q,0.00039687829117751594,-0.009741169315750087,0.0004251678622803765,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,t0_relative,3,r,3.870392809524059e-05,-0.0017064609909476225,6.33870491312899e-05,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,t0_relative,3,ax_n,0.00025247442629650063,-0.00459206251077382,0.00044123763138938823,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,t0_relative,3,ay_n,0.00010841707572573078,-0.009915761276399815,0.00032438384220557977,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,t0_relative,3,az_n,0.00043482763417723724,0.00024850648853846913,0.0006687011527194577,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,t0_relative,3,p_dot,0.0001260360860206866,-0.000692507944059173,0.0002676848236614772,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,t0_relative,3,q_dot,0.0004769947023459675,-0.0003530711576702483,0.0007232558244846633,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,t0_relative,3,r_dot,0.00011391072715416506,-0.0001039784184453385,0.0002853898553463386,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_native,3,p,0.3244584971300849,0.166480177153137,0.5563392974408028,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_native,3,q,0.6046031801198026,0.3041140450154932,0.6477108533764774,597
