split,scope,representation,k,target,signal,radius,n_queries,conditional_variance_ratio
train,other_log,actuator,5,D0_raw,linear,0.25,2,0.5054823599577714
train,other_log,actuator,5,D0_raw,angular,0.25,2,0.9460859134175365
train,other_log,actuator,5,D0_raw,linear,0.5,765,0.7630885450461761
train,other_log,actuator,5,D0_raw,angular,0.5,765,0.6769072019925134
train,other_log,actuator,5,D0_raw,linear,1.0,1177,0.7952795603199119
train,other_log,actuator,5,D0_raw,angular,1.0,1177,0.7125332179213187
train,other_log,actuator,5,D1_lp6,linear,0.25,2,0.5030934337869433
train,other_log,actuator,5,D1_lp6,angular,0.25,2,0.3843486444229833
train,other_log,actuator,5,D1_lp6,linear,0.5,765,0.7626249793810885
train,other_log,actuator,5,D1_lp6,angular,0.5,765,0.5723445914166327
train,other_log,actuator,5,D1_lp6,linear,1.0,1177,0.7927672440125155
train,other_log,actuator,5,D1_lp6,angular,1.0,1177,0.6025040376042663
train,other_log,actuator,5,increment2,linear,0.25,2,0.5107013436160978
train,other_log,actuator,5,increment2,angular,0.25,2,0.3672504033456206
train,other_log,actuator,5,increment2,linear,0.5,765,0.7612178193166823
train,other_log,actuator,5,increment2,angular,0.5,765,0.5028920061454214
train,other_log,actuator,5,increment2,linear,1.0,1177,0.7996708957038446
train,other_log,actuator,5,increment2,angular,1.0,1177,0.5509490401455306
train,other_log,actuator,20,D0_raw,linear,0.25,0,
train,other_log,actuator,20,D0_raw,angular,0.25,0,
train,other_log,actuator,20,D0_raw,linear,0.5,493,0.8264628273724991
train,other_log,actuator,20,D0_raw,angular,0.5,493,0.6587663402677087
train,other_log,actuator,20,D0_raw,linear,1.0,1170,0.8476894725590359
train,other_log,actuator,20,D0_raw,angular,1.0,1170,0.722308478368508
train,other_log,actuator,20,D1_lp6,linear,0.25,0,
train,other_log,actuator,20,D1_lp6,angular,0.25,0,
train,other_log,actuator,20,D1_lp6,linear,0.5,493,0.8348111822720045
train,other_log,actuator,20,D1_lp6,angular,0.5,493,0.5821038184841684
train,other_log,actuator,20,D1_lp6,linear,1.0,1170,0.8515877097379022
train,other_log,actuator,20,D1_lp6,angular,1.0,1170,0.6263781455310339
train,other_log,actuator,20,increment2,linear,0.25,0,
