split,log_id,topic,present
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,airspeed_validated,True
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,airspeed_quality_input,True
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,airspeed_selector_quality_status,True
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,wind,True
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_wind,True
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,airspeed_wind,True
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,sensor_gps,True
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_gps_position,True
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_local_position,True
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,actuator_servos,True
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,actuator_outputs,True
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,actuator_motors,True
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,actuator_servos_trim,False
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,servo_feedback,False
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,esc_status,False
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,esc_report,False
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,rpm,True
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,encoder_count,True
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,wing_phase,True
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,battery_status,True
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_angular_velocity,True
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_acceleration,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,airspeed,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,airspeed_validated,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,airspeed_quality_input,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,airspeed_selector_quality_status,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,wind,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,estimator_wind,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,airspeed_wind,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,sensor_gps,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,vehicle_gps_position,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,vehicle_local_position,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,actuator_servos,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,actuator_outputs,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,actuator_motors,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,actuator_servos_trim,False
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,servo_feedback,False
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,esc_status,False
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,esc_report,False
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,rpm,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,encoder_count,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,wing_phase,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,battery_status,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,vehicle_angular_velocity,True
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,vehicle_acceleration,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,airspeed,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,airspeed_validated,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,airspeed_quality_input,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,airspeed_selector_quality_status,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,wind,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,estimator_wind,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,airspeed_wind,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,sensor_gps,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,vehicle_gps_position,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,vehicle_local_position,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,actuator_servos,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,actuator_outputs,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,actuator_motors,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,actuator_servos_trim,False
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,servo_feedback,False
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,esc_status,False
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,esc_report,False
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,rpm,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,encoder_count,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,wing_phase,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,battery_status,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,vehicle_angular_velocity,True
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,vehicle_acceleration,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,airspeed,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,airspeed_validated,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,airspeed_quality_input,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,airspeed_selector_quality_status,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,wind,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,estimator_wind,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,airspeed_wind,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,sensor_gps,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,vehicle_gps_position,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,vehicle_local_position,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,actuator_servos,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,actuator_outputs,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,actuator_motors,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,actuator_servos_trim,False
