split,scope,log_id,representation,target,signal,k,conditional_variance_ratio,knn_rmse,distance_median
train,same_log,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,plus_pack_voltage_current,D0_raw,linear,20,0.7241002278928896,8.81120060347641,0.6491128206253052
train,same_log,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,plus_pack_voltage_current,D0_raw,angular,20,0.6106483038732421,30.055382877672542,0.6491128206253052
train,same_log,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,plus_pack_voltage_current,D0_raw,linear,20,0.7593844083095277,8.098363795161102,0.6975975632667542
train,same_log,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,plus_pack_voltage_current,D0_raw,angular,20,0.5822270217481743,30.09918529879852,0.6975975632667542
train,same_log,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,plus_pack_voltage_current,D0_raw,linear,20,0.7712826555000328,8.278426441745964,0.6829947233200073
train,same_log,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,plus_pack_voltage_current,D0_raw,angular,20,0.5789272522466761,32.63902615057686,0.6829947233200073
train,same_log,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,plus_pack_voltage_current,D0_raw,linear,20,0.39189189257324664,6.842069012983707,0.7820636034011841
train,same_log,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,plus_pack_voltage_current,D0_raw,angular,20,0.9970064034226535,34.23579433855051,0.7820636034011841
train,same_log,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,plus_pack_voltage_current,D0_raw,linear,20,0.571866487461534,7.422241157089118,0.6719651222229004
train,same_log,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,plus_pack_voltage_current,D0_raw,angular,20,0.5679490192057707,27.298141238401147,0.6719651222229004
train,same_log,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,plus_pack_voltage_current,D0_raw,linear,20,0.4237632202116381,6.269764333648124,0.6433718204498291
train,same_log,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,plus_pack_voltage_current,D0_raw,angular,20,0.5855896779156259,27.272249741548087,0.6433718204498291
train,same_log,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,plus_pack_voltage_current,D1_lp6,linear,20,0.7531656398820152,7.619654993452167,0.6491128206253052
train,same_log,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,plus_pack_voltage_current,D1_lp6,angular,20,0.28073792565765415,7.442293266401902,0.6491128206253052
train,same_log,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,plus_pack_voltage_current,D1_lp6,linear,20,0.7780161627977558,7.137546024982293,0.6975975632667542
train,same_log,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,plus_pack_voltage_current,D1_lp6,angular,20,0.3380698501441126,8.141012780595604,0.6975975632667542
train,same_log,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,plus_pack_voltage_current,D1_lp6,linear,20,0.7990519423223563,7.144346105297966,0.6829947233200073
train,same_log,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,plus_pack_voltage_current,D1_lp6,angular,20,0.28231317422762364,7.7124639383584155,0.6829947233200073
train,same_log,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,plus_pack_voltage_current,D1_lp6,linear,20,0.31965606393529766,5.285785271764105,0.7820636034011841
train,same_log,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,plus_pack_voltage_current,D1_lp6,angular,20,0.5798416552661907,9.687797269931124,0.7820636034011841
train,same_log,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,plus_pack_voltage_current,D1_lp6,linear,20,0.5039512890258714,5.843727479839882,0.6719651222229004
train,same_log,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,plus_pack_voltage_current,D1_lp6,angular,20,0.2802390788895808,7.683946437036373,0.6719651222229004
