split,log_id,topic,instance,count
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,manual_control_switches,0,184
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,mission_result,0,4
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,navigator_mission_item,0,3
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,navigator_status,0,363
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,parameter_update,0,2
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,position_setpoint_triplet,0,7
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,px4io_status,0,179
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,radio_status,0,172
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,rate_ctrl_status,0,910
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,rpm,0,18228
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,rtl_status,0,91
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,rtl_time_estimate,0,90
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,sensor_accel,0,18228
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,sensor_accel,1,182
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,sensor_baro,0,182
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,sensor_combined,0,182
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,sensor_gnss_relative,0,908
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,sensor_gps,0,182
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,sensor_gyro,0,18228
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,sensor_gyro,1,182
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,sensor_mag,0,182
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,sensor_mag,1,182
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,sensors_status_imu,0,912
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,spoilers_setpoint,0,182
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,system_power,0,364
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,tecs_status,0,1831
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,telemetry_status,0,182
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_acceleration,0,182
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_air_data,0,3166
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_angular_velocity,0,18228
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_attitude,0,9114
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_attitude_setpoint,0,9085
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_command,0,18
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_command_ack,0,19
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_control_mode,0,388
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_global_position,0,912
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_gps_position,0,912
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_imu,0,365
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_imu,1,365
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_imu_status,0,182
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_imu_status,1,182
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_land_detected,0,184
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_local_position,0,9114
