scope,model,evaluation_target,signal,rmse,r2,pred_std,truth_std
fit,B0,D0_raw,angular,21.032287904512927,0.7183091053196768,34.60786484334725,40.76067007200082
fit,B0,D0_raw,linear,3.4286986446160936,0.9155824720643668,11.282989947078574,11.8237122783464
fit,B0,D1_lp12,angular,21.77614886032787,0.15899983124748454,34.60786484334725,25.35659215404002
fit,B0,D1_lp12,linear,3.0018444001340168,0.9266506209562615,11.282989947078574,11.09589953334897
fit,B0,increment10,angular,34.156311159095736,-28.770688977764987,34.60786484334725,6.255147368023859
fit,B0,increment10,linear,12.530337409968334,-11.579940494976798,11.282989947078574,3.6070591545604804
fit,B0,increment2,angular,22.13840809874815,0.4380784664202222,34.60786484334725,30.26237509283251
fit,B0,increment2,linear,4.3431592855701,0.8496809665337128,11.282989947078574,11.200584299250549
fit,B0,increment5,angular,32.344407915343446,-3.6204319770231925,34.60786484334725,15.125451012511329
fit,B0,increment5,linear,10.255601730294346,-0.433588357121445,11.282989947078574,8.58395202644089
fit,B1,D0_raw,angular,28.778193519087367,0.4888986277010415,27.749602381861465,40.76067007200082
fit,B1,D0_raw,linear,4.709797426970365,0.8414481923553684,10.90658566622868,11.8237122783464
fit,B1,D1_lp12,angular,18.546440100598083,0.42467619177336524,27.749602381861465,25.35659215404002
fit,B1,D1_lp12,linear,3.9905753857434383,0.8706560658977957,10.90658566622868,11.09589953334897
fit,B1,increment10,angular,26.537973463210726,-16.916518264031353,27.749602381861465,6.255147368023859
fit,B1,increment10,linear,11.730358766590541,-9.998488254879291,10.90658566622868,3.6070591545604804
fit,B1,increment2,angular,11.805762626214749,0.8323412074057516,27.749602381861465,30.26237509283251
fit,B1,increment2,linear,2.6648336955290586,0.9430910148449654,10.90658566622868,11.200584299250549
fit,B1,increment5,angular,23.730071917957595,-1.459318319985986,27.749602381861465,15.125451012511329
fit,B1,increment5,linear,7.897673643444725,0.15055975619114864,10.90658566622868,8.58395202644089
fit,B2,D0_raw,angular,20.627291058233077,0.7293695858694824,34.99733690634369,40.76067007200082
fit,B2,D0_raw,linear,3.381755774648792,0.9179112249221978,11.365408346103811,11.8237122783464
