split,log_id,segment_id,steps,count,mean,std,min,p1,median,p99,max
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,1,1781,0.01999800056148232,0.0038774219426577104,0.009855000000015934,0.009857000000010885,0.01971600000001672,0.02957400000002508,0.029577000000017506
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,2,1780,0.04000185617977528,0.0039030802542938305,0.029569999999921492,0.029573000000027605,0.039431000000035965,0.0492900000000418,0.049293000000034226
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,5,1777,0.1000098216094542,0.004040576043923107,0.08871799999997165,0.08872000000008029,0.09857899999997244,0.10843800000009196,0.10844100000008439
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,10,1772,0.20000546896162533,0.004468267954745495,0.19714999999996508,0.1971529999999575,0.19715899999994235,0.20701899999994566,0.20702000000005683
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,25,1757,0.4999790802504269,0.004431744904687556,0.4928830000000062,0.49288456000000225,0.5027469999999994,0.5027600000000803,0.5027619999999615
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,1,4067,0.020000657732972705,0.0038936993637261183,0.009855999999899723,0.009857000000010885,0.019715000000019245,0.029573000000027605,0.02957400000002508
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,2,4066,0.040001455976389586,0.004002298869731517,0.02957000000003518,0.029571000000032654,0.039429000000041015,0.04928800000004685,0.04928899999993064
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,5,4063,0.09999984346541964,0.004134836841311957,0.08871299999998428,0.08871500000009291,0.09857399999998506,0.10843399999998837,0.10843599999998332
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,10,4058,0.19999834376540168,0.0044696811647483604,0.19713899999999285,0.19714199999998527,0.1971489999999676,0.20700999999996839,0.20701199999996334
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,25,4043,0.5000003628493693,0.004407775599497184,0.49285299999996823,0.4928549999999632,0.5027179999999589,0.5027390000000196,0.5027400000000171
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,1,459,0.0199933050108932,0.0038666958724653286,0.009856999999897198,0.009857000000010885,0.01971400000002177,0.02957200000003013,0.02957200000003013
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,2,458,0.03998782969432295,0.0039761596113377816,0.029569999999921492,0.02957099999998377,0.03942800000004354,0.0492860000000519,0.0492860000000519
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,5,455,0.09997879560439542,0.004125814222402294,0.08871299999998428,0.08871299999998428,0.09857099999999264,0.10842800000000352,0.108429000000001
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,10,450,0.19998887777777757,0.004467623112095325,0.19713999999999032,0.19713999999999032,0.19714199999998527,0.20699899999999616,0.20699899999999616
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,25,435,0.5000137356321838,0.004394098099919711,0.49285199999997076,0.49285199999997076,0.5027099999999791,0.5027119999999741,0.5027129999999715
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,5,1,2122,0.020001891611687105,0.0038764109545240287,0.009854999999902248,0.009857000000010885,0.01971400000002177,0.029571000000032654,0.02957200000003013
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,5,2,2121,0.04000405469118342,0.003939235466697027,0.029569999999921492,0.029570200000011936,0.03942800000004354,0.049285000000054424,0.049287000000049375
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,5,5,2118,0.10000287063267231,0.004070598408756399,0.08871099999998933,0.0887119999999868,0.09856999999999516,0.10842700000000605,0.108429000000001
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,5,10,2113,0.20000785849503072,0.004477484199692505,0.19713500000000295,0.1971369999999979,0.19713999999999032,0.20699799999999868,0.20699899999999616
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,5,25,2098,0.4999981039084842,0.004399006842554237,0.492841999999996,0.4928429999999935,0.5027029999999968,0.5027090000000953,0.5027109999999766
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,1,1697,0.020002241602828513,0.0038534443753459433,0.009979000000001292,0.009979999999998768,0.01996099999999501,0.029942000000005464,0.029944000000000415
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,2,1696,0.04000453183962263,0.004140437033168903,0.029938999999998828,0.029940999999993778,0.03992200000000423,0.049903000000000475,0.049905000000009636
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,5,1693,0.10000579799173065,0.0041824975407086466,0.0898210000000006,0.08982399999999302,0.09980500000000347,0.10978699999999719,0.10978800000000888
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,10,1688,0.20001869609004738,0.002382358912923067,0.18962700000000154,0.19960599999998863,0.19961100000000442,0.20959299999999814,0.20959399999999562
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,25,1673,0.500046936640765,0.003838898171496518,0.4890399999999886,0.4890440000000029,0.4990279999999956,0.5090129999999959,0.5090140000000076
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,3,1,4000,0.020000177250000004,0.0038132012486668428,0.009977000000006342,0.009979999999984557,0.019959999999997535,0.02994100000000799,0.02994499999999789
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,3,2,3999,0.0400003743435859,0.0041267453609923725,0.029938000000001352,0.029939999999982092,0.03992000000002349,0.049902000000003,0.049904999999995425
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,3,5,3996,0.10000108533533533,0.004166331107145712,0.08981800000000817,0.0898199999999747,0.09980100000001357,0.10978399999999056,0.10978799999999467
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,3,10,3991,0.20000267100977198,0.0024247739294890806,0.18961899999999332,0.18962789999999927,0.19960199999999872,0.2095860000000016,0.20958900000000824
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,3,25,3976,0.5000104451710261,0.0038567591130571075,0.48901599999999235,0.4890220000000056,0.499007000000006,0.5089970000000079,0.5090029999999928
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,4,1,922,0.020003095444685447,0.0039163383695955435,0.009976999999992131,0.009979999999984557,0.019959999999997535,0.029940000000010514,0.029942000000005464
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,4,2,921,0.04000628555917478,0.004261520245055811,0.029938000000015563,0.029938999999984617,0.03991999999999507,0.04990000000000805,0.049902000000003
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,4,5,918,0.10001642374727662,0.004314392101188012,0.0898170000000107,0.08981899999997722,0.0997989999999902,0.10977983000000108,0.10978099999999813
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,4,10,913,0.20003522891566264,0.002563662166810507,0.18961799999999585,0.18961899999999673,0.19959800000000882,0.2095780000000218,0.2095809999999858
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,4,25,898,0.5001063318485522,0.004008379513213376,0.4890129999999999,0.489014000000025,0.49899500000000785,0.5089760000000183,0.5089790000000107
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,5,1,1966,0.020000212105798585,0.0037928439524298925,0.009977999999989606,0.009979000000015503,0.019959999999997535,0.029940000000010514,0.029942000000005464
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,5,2,1965,0.04000046564885498,0.004101341842789777,0.029936999999989666,0.029938999999984617,0.039918999999997595,0.04989999999997963,0.049901000000005524
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,5,5,1962,0.10000147400611618,0.004137216298540151,0.08981699999998227,0.08981799999997975,0.09979799999999273,0.10977900000000318,0.10978000000000065
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,5,10,1957,0.20000398671435865,0.0023738633569421355,0.18961500000000342,0.19959199999999555,0.19959600000001387,0.2095769999999959,0.20957799999999338
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,5,25,1942,0.5000127044284242,0.003807018750195217,0.48900699999998665,0.4890094099999973,0.4989900000000205,0.5089729999999975,0.5089739999999949
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,1,1,1576,0.01999875824873097,0.0037287076049014583,0.009979000000001292,0.009979999999998768,0.01996099999999501,0.029941999999991253,0.02994300000000294
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,1,2,1575,0.039997564444444446,0.004069866749755781,0.029939999999996303,0.029940999999993778,0.03992199999999002,0.049902000000003,0.04990399999999795
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,1,5,1572,0.09999427099236641,0.004116446982365318,0.08982199999999807,0.08982299999999555,0.09980399999999179,0.10978500000000224,0.10978599999999972
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,1,10,1567,0.19998975749840459,0.002414356473898673,0.18962599999998986,0.1896289999999965,0.1996079999999978,0.20958899999999403,0.20959200000000067
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,1,25,1552,0.499983630798969,0.0038378898982093044,0.4890350000000012,0.48903700000000344,0.49901999999998736,0.5090020000000095,0.509003000000007
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,2,1,4001,0.020000144463884033,0.0037865182818061587,0.009976999999992131,0.009979999999984557,0.019959999999997535,0.02994100000000799,0.02994300000000294
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,2,2,4000,0.040000309000000005,0.004077670513114172,0.029936999999989666,0.029939999999982092,0.03992000000002349,0.049901000000005524,0.04990400000002637
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,2,5,3997,0.10000092194145609,0.004123724466913633,0.08981799999997975,0.08982000000000312,0.09980100000001357,0.10978300000000729,0.10978400000001898
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,2,10,3992,0.20000234443887777,0.002403822683839172,0.18961899999999332,0.199595730000012,0.19960199999999872,0.20958500000000413,0.20958800000001077
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,2,25,3977,0.500009629368871,0.003810560539707764,0.4890180000000157,0.4890230000000031,0.4990060000000085,0.5089930000000038,0.5089960000000104
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,3,1,947,0.02000204435058078,0.0038914337585373867,0.009977999999989606,0.009979460000001267,0.019959999999997535,0.029940000000010514,0.02994100000000799
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,3,2,946,0.04000417758985201,0.004254653703853264,0.02993799999998714,0.029938999999997405,0.03991999999999507,0.04990000000000805,0.049901000000005524
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,3,5,943,0.10001111558854722,0.004306347120122115,0.08981799999997975,0.08981899999997722,0.09979900000001862,0.10978000000000065,0.10978099999999813
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,3,10,938,0.20002448720682306,0.002444891299694662,0.18961699999999837,0.19959536999999755,0.1995990000000063,0.20957900000001928,0.2095820000000117
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,3,25,923,0.5000785124593716,0.003875208743073198,0.48901499999999487,0.4890169999999898,0.4989970000000028,0.5089780000000133,0.5089790000000107
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,4,1,1967,0.020000347229283164,0.003791894208945657,0.009978999999987082,0.009979659999995078,0.019959999999997535,0.029940000000010514,0.029942000000005464
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,4,2,1966,0.04000073448626652,0.004100300343153956,0.029936999999989666,0.029938999999984617,0.03991999999999507,0.04990000000000805,0.049902000000003
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,4,5,1963,0.10000214569536423,0.004123872114737644,0.0898159999999848,0.08981800000000817,0.0997989999999902,0.10977900000000318,0.10978099999999813
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,4,10,1958,0.20000532941777324,0.0024575171726757402,0.18961699999999837,0.18961857000000662,0.1995979999999804,0.20957799999999338,0.20958000000001675
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,4,25,1943,0.5000211930005146,0.0038649128769462013,0.489011999999974,0.4890129999999999,0.4989940000000104,0.5089759999999899,0.5089779999999848
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,1,1934,0.01999880248190279,0.0038715801885582106,0.009974999999940337,0.009980999999925189,0.01996299999996154,0.02994499999999789,0.02995099999998274
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,2,1933,0.040002806518365235,0.004228287721182348,0.029938000000015563,0.02994300000000294,0.03992500000003929,0.04990799999995943,0.049912999999946805
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,5,1930,0.1000047305699482,0.004264428031787508,0.08982600000001639,0.08983100000000377,0.09981300000004012,0.10979700000003845,0.1098020000000588
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,10,1925,0.200015638961039,0.0025341188647769117,0.1896399999999403,0.1896480000000338,0.19962699999996403,0.20961100000008173,0.20961399999998775
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,25,1910,0.5000232062827223,0.003858939860028444,0.48907500000007076,0.4890820899999392,0.4990669999999682,0.5090599999999768,0.5090610000000879
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,3,1,3123,0.020000134165866153,0.0038386889256879922,0.009976999999935288,0.009980999999925189,0.019961999999964064,0.02994300000000294,0.029946000000109052
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,3,2,3122,0.0400002927610506,0.004165601102671552,0.02993899999989935,0.029942000000005464,0.03992399999992813,0.04990500000008069,0.049908000000073116
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,3,5,3119,0.1000009163193331,0.004209660420101469,0.08982299999991028,0.08982700000001387,0.09980899999993653,0.10979199999997036,0.10979300000008152
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,3,10,3114,0.20000244829800898,0.002435189320044841,0.18963399999995545,0.18964012999993998,0.19961799999998675,0.20960100000002058,0.209604000000013
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,3,25,3099,0.5000107686350436,0.0038493384836738496,0.48905500000000757,0.48905999999999494,0.4990450000000237,0.5090350200000375,0.5090370000000348
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,4,1,1651,0.019997556026650477,0.0037088153730779833,0.009975999999937812,0.009979999999927713,0.01996099999996659,0.029942000000005464,0.029944000000000415
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,4,2,1650,0.04000120363636363,0.004044104650175216,0.029937000000018088,0.02994100000000799,0.03992299999993065,0.04990399999996953,0.049908000000073116
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,4,5,1647,0.09999427868852456,0.004088819540753516,0.08982099999991533,0.08982500000001892,0.09980600000005779,0.10978799999998046,0.10979100000008657
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,4,10,1642,0.19998362302070646,0.0023718905917188412,0.18963099999996302,0.19372333999997865,0.19961299999999937,0.20959400000003825,0.20959800000002815
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,4,25,1627,0.49995840503995076,0.0037443621458911253,0.4890449999999191,0.48905100000001767,0.49903200000005654,0.5090159999999742,0.5090179999999691
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,1,700,0.01998980571428571,0.003373969575520582,0.009977999999989606,0.009979999999998768,0.01996100000000922,0.029942000000005464,0.029944000000000415
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,2,699,0.0399796938483548,0.003620421428864213,0.029939999999996303,0.029941999999991253,0.03992300000000171,0.04990399999999795,0.04990600000000711
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,5,696,0.09996418821839079,0.003644922292019486,0.08982399999999302,0.0898250000000047,0.09980600000000095,0.10978799999999467,0.10979000000000383
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,10,691,0.19991621418234443,0.002159897583029592,0.18963100000000566,0.19960690000000056,0.19961299999999937,0.20959399999999562,0.20959700000000225
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,25,676,0.4997999718934911,0.003390240693412375,0.4890489999999943,0.48905099999998924,0.4990329999999972,0.5090150000000051,0.5090180000000117
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,3,1,3400,0.019998864117647057,0.0037301865102883926,0.009978999999987082,0.009979999999984557,0.01996099999999501,0.029941999999991253,0.02994300000000294
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,3,2,3399,0.03999775080906148,0.004057528224222481,0.029938999999998828,0.029940000000010514,0.03992100000002097,0.04990299999997234,0.049903000000000475
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,3,5,3396,0.09999454564193169,0.004102284238360402,0.0898210000000006,0.08982199999999807,0.09980300000000852,0.10978500000001645,0.10978799999999467
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,3,10,3391,0.1999896540843409,0.0023933904554793977,0.1896239999999807,0.18962999999999397,0.19960700000001452,0.20958899999999403,0.2095910000000032
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,3,25,3376,0.4999783803317535,0.003793309635686984,0.48903000000001384,0.4890350000000012,0.4990180000000066,0.509004000000008,0.5090070000000111
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,4,1,1606,0.019997639476961395,0.0037930375544309282,0.009977999999989606,0.009979999999984557,0.019959999999997535,0.02994100000000799,0.02994100000000799
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,4,2,1605,0.03999532461059189,0.0041379230684963336,0.02993799999998714,0.029939999999982092,0.039920999999992546,0.049901000000005524,0.049903000000000475
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,4,5,1602,0.0999948895131086,0.004175351825274264,0.08981900000000564,0.0898210000000006,0.09980199999998263,0.10978200000002403,0.10978500000001645
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,4,10,1597,0.19999099060738884,0.0025171961925519954,0.18962299999998322,0.18962400000000912,0.19960399999999368,0.20958400000000665,0.20958500000000413
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,4,25,1582,0.49997404108723137,0.003872658477929479,0.489026999999993,0.4890280000000189,0.4990090000000009,0.5089910000000089,0.5089930000000038
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,1,1145,0.019996227947598262,0.003957096008946988,0.009979999999998768,0.009979999999998768,0.01996100000000922,0.029942000000005464,0.02994499999999789
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,2,1144,0.04000124125874126,0.00432605524208014,0.029940999999993778,0.029941999999991253,0.03992300000000171,0.04990399999999795,0.04990400000001216
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,5,1141,0.1000079921121823,0.0043679164560846495,0.0898249999999905,0.0898250000000047,0.09980699999999842,0.10978800000000888,0.10978900000000635
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,10,1136,0.20002653697183098,0.002496137527960153,0.18963200000000313,0.18963435000000217,0.19961399999999685,0.20959564999999641,0.20959700000000225
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,25,1121,0.5000578947368421,0.003945695939105168,0.4890489999999943,0.48905100000000346,0.49903400000000886,0.5090199999999925,0.5090229999999991
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,3,1,3460,0.020001154046242774,0.0038837532007007956,0.009975999999994656,0.009979999999984557,0.01996099999999501,0.029942000000005464,0.029944000000000415
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,3,2,3459,0.04000233130962706,0.004210969410985592,0.029938000000015563,0.029940999999979567,0.03992199999999002,0.049903000000000475,0.0499059999999929
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,3,5,3456,0.1000031160300926,0.0042531437889907955,0.08981800000000817,0.08982199999999807,0.099804000000006,0.10978599999999972,0.10978799999999467
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,3,10,3451,0.2000097003767024,0.002470170648752417,0.1896239999999807,0.18963000000000818,0.19960799999998358,0.20959000000000572,0.20959299999999814
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,3,25,3436,0.5000329892316647,0.003910695623216906,0.48903199999998037,0.4890353500000003,0.4990200000000016,0.5090079999999944,0.509011000000001
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,4,1,1583,0.019998275426405566,0.003703429914378133,0.009977999999989606,0.009979999999984557,0.019959999999997535,0.02994100000000799,0.02994300000000294
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,4,2,1582,0.039996599241466514,0.004045281039394698,0.02993900000001304,0.029939999999982092,0.039920999999992546,0.049901999999979976,0.049903000000000475
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,4,5,1579,0.09999185877137429,0.004091885378439663,0.08982000000000312,0.08982199999999807,0.09980200000001105,0.1097830000000215,0.10978400000001898
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,4,10,1574,0.19998492249047015,0.0024090978247975686,0.1896239999999807,0.1896250000000066,0.1996040000000221,0.20958500000000413,0.20958799999999655
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,4,25,1559,0.4999714567030148,0.003796253568338194,0.48902799999999047,0.4890309999999829,0.4990109999999959,0.5089930000000038,0.5089940000000013
