split,log_id,kind,bin,n,angular_derivative_error_mean,current_error_correlation
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,tail,0,2353,25.255706613001323,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,tail,1,2405,25.019727542516183,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,tail,2,3471,26.305491973565662,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,frequency_conditioned_pack_current,0,3788,21.007804316972628,0.07250648157123141
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,frequency_conditioned_pack_current,1,2998,28.182993905802757,0.008681158002435982
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,frequency_conditioned_pack_current,2,1443,32.45689990166387,-0.043066352999649504
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,tail,0,3798,28.61310549711144,
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,tail,1,2506,25.424178834509664,
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,tail,2,2081,24.868907659323785,
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,frequency_conditioned_pack_current,0,3257,22.460906938373153,0.0463959656069331
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,frequency_conditioned_pack_current,1,2549,27.94243740272624,0.03303643447677978
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,frequency_conditioned_pack_current,2,2579,30.925675392994467,-0.005888497354711998
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,tail,0,3813,27.061608449146533,
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,tail,1,2288,24.371317596150632,
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,tail,2,2190,25.77281816699606,
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,frequency_conditioned_pack_current,0,3575,22.264655215837912,0.037110817638099994
