split,log_id,target,signal,n_points,rmse,r2,pred_vector_std,truth_vector_std
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,D0_raw,linear,8229,10.517599467523993,0.04968305425534325,2.6698155403137207,10.789029763314886
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,D0_raw,angular,8229,30.061981940580548,0.19873359900825693,12.442667961120605,33.58374653389754
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,D0_raw,linear,8385,11.002468461481456,0.029464883897931782,2.67572283744812,11.168234016147016
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,D0_raw,angular,8385,30.90187644145972,0.19935151343404345,13.354721069335938,34.53535369256307
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,D0_raw,linear,8291,10.682775854223328,0.03648786005146265,2.7462422847747803,10.883172694699914
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,D0_raw,angular,8291,30.32907635643966,0.18879708608692747,12.516509056091309,33.67397874807086
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,D0_raw,linear,6558,11.095509589823486,0.12542295190175434,2.9782590866088867,11.864466522069483
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,D0_raw,angular,6558,46.76347247486209,0.3311666952884179,21.37652587890625,57.18048139891205
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,D0_raw,linear,5556,11.090687215105214,0.12480819853293912,2.781764268875122,11.855144092550335
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,D0_raw,angular,5556,30.950714552357404,0.28570987654564495,15.562278747558594,36.62126629877483
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,D0_raw,linear,6038,10.302303707702793,0.1633795483069459,2.8604111671447754,11.263415625194968
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,D0_raw,angular,6038,32.73081478783664,0.3225932249569089,17.613039016723633,39.767844196664996
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,D1_lp4,linear,8229,6.280247850948829,0.09055040639230238,2.6698155403137207,6.585480482461769
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,D1_lp4,angular,8229,10.062034351293596,-1.0257040162691955,12.442667961120605,7.069648169292878
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,D1_lp4,linear,8385,6.097474945245959,0.04314298863486976,2.67572283744812,6.233421616274138
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,D1_lp4,angular,8385,10.920455140308382,-1.1485449809281025,13.354721069335938,7.450209992988418
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,D1_lp4,linear,8291,6.2161236749118824,0.06000935571300292,2.7462422847747803,6.411473934090933
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,D1_lp4,angular,8291,10.37313109907156,-1.28901824009094,12.516509056091309,6.856227820465036
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,D1_lp4,linear,6558,5.03787717764869,0.17268417892812982,2.9782590866088867,5.538751880553325
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,D1_lp4,angular,6558,14.790438962911718,-0.4125910570634135,21.37652587890625,12.444367767791984
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,D1_lp4,linear,5556,4.447883547544664,0.24091363342293115,2.781764268875122,5.105141835119031
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,D1_lp4,angular,5556,11.846845078951105,-1.756150658661685,15.562278747558594,7.135940700909193
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,D1_lp4,linear,6038,4.929781812550903,0.2796079865632288,2.8604111671447754,5.8082226160751596
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,D1_lp4,angular,6038,11.935974399591828,-0.5542839171993399,17.613039016723633,9.573984103376109
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,D1_lp6,linear,8229,9.464420450733789,0.06434106801109885,2.6698155403137207,9.784423485480186
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,D1_lp6,angular,8229,10.67537817598544,0.15373433717124263,12.442667961120605,11.60459288389428
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,D1_lp6,linear,8385,9.841767093118408,0.039202837427321446,2.67572283744812,10.040543620658786
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,D1_lp6,angular,8385,11.762338228337438,0.14561904595818076,13.354721069335938,12.725295739199812
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,D1_lp6,linear,8291,9.637531538410988,0.04771327349545251,2.7462422847747803,9.876019682752876
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,D1_lp6,angular,8291,10.995019176897692,0.05481762444213567,12.516509056091309,11.309364034802732
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,D1_lp6,linear,6558,9.249181622435906,0.15320923666327269,2.9782590866088867,10.051138363737557
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,D1_lp6,angular,6558,14.773133124601808,0.6901073737594986,21.37652587890625,26.537926695875598
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,D1_lp6,linear,5556,9.254138852759988,0.16301881056660938,2.781764268875122,10.11528591102423
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,D1_lp6,angular,5556,10.286707411358728,0.49755297273424626,15.562278747558594,14.512132891349635
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,D1_lp6,linear,6038,8.842641100523418,0.20214823277544247,2.8604111671447754,9.899673988338359
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,D1_lp6,angular,6038,10.01839158888599,0.6739923237878271,17.613039016723633,17.546240989109933
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,D1_lp8,linear,8229,9.777824260170492,0.05901106661875166,2.6698155403137207,10.07975484070146
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,D1_lp8,angular,8229,12.043580217063486,0.277477703319716,12.442667961120605,14.168699277845956
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,D1_lp8,linear,8385,10.245300384257487,0.03542845867230482,2.67572283744812,10.43175728765923
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,D1_lp8,angular,8385,12.970133983061036,0.25841651060064974,13.354721069335938,15.061368569852004
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,D1_lp8,linear,8291,9.983151404317967,0.043371514750603524,2.7462422847747803,10.206950376987228
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,D1_lp8,angular,8291,12.274291518732914,0.21816375146525024,12.516509056091309,13.881568252777527
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,D1_lp8,linear,6558,9.952109732890435,0.14452723036208737,2.9782590866088867,10.759994785456849
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,D1_lp8,angular,6558,18.783328644787584,0.6573746694988161,21.37652587890625,32.08949063806804
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,D1_lp8,linear,5556,9.85607675583376,0.1518709432003964,2.781764268875122,10.702201062205889
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,D1_lp8,angular,5556,11.409208673164521,0.5739779732024813,15.562278747558594,17.479922238985665
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,D1_lp8,linear,6038,9.265973575018533,0.1916069183814303,2.8604111671447754,10.305753803580837
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,D1_lp8,angular,6038,11.7435361605679,0.6722294550373119,17.613039016723633,20.512279605309992
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,D1_lp12,linear,8229,9.967096192303988,0.05451613664615096,2.6698155403137207,10.25041831453011
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,D1_lp12,angular,8229,15.575849964770768,0.3021670493144223,12.442667961120605,18.645585223429208
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,D1_lp12,linear,8385,10.4726817118387,0.03154054822183705,2.67572283744812,10.641851235140175
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,D1_lp12,angular,8385,16.39006176992923,0.29388825759980197,13.354721069335938,19.504906529855162
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,D1_lp12,linear,8291,10.187585122294006,0.03929927477872586,2.7462422847747803,10.39386786033385
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,D1_lp12,angular,8291,15.92016191899003,0.2706906507263621,12.516509056091309,18.64196078277289
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,D1_lp12,linear,6558,10.272470188718474,0.13717181013883784,2.9782590866088867,11.058920263401697
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,D1_lp12,angular,6558,30.372588887779816,0.49127806870421775,21.37652587890625,42.58352230743236
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,D1_lp12,linear,5556,10.193586621286332,0.14073985013966306,2.781764268875122,10.996758365759948
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,D1_lp12,angular,5556,17.512537053597917,0.4628255018876676,15.562278747558594,23.89413834109557
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,D1_lp12,linear,6038,9.549861461632858,0.18028982677507777,2.8604111671447754,10.547921982058636
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,D1_lp12,angular,6038,17.162392670815716,0.5523122110110845,17.613039016723633,25.650167759264182
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,D2_center2,linear,8229,9.714254491009013,0.11542413504055282,2.6698155403137207,10.328611303000587
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,D2_center2,angular,8229,19.198055924113646,0.33441669925070205,12.442667961120605,23.53184850986692
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,D2_center2,linear,8385,10.103546188278248,0.10261650631727026,2.67572283744812,10.6655877387447
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,D2_center2,angular,8385,19.78577258390195,0.3385016233462482,13.354721069335938,24.327003725684268
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,D2_center2,linear,8291,9.831111628832781,0.10840843337212358,2.7462422847747803,10.411652183286574
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,D2_center2,angular,8291,19.17534197738874,0.3202964233205271,12.516509056091309,23.258587714231616
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,D2_center2,linear,6558,9.876607551226094,0.21552269220624964,2.9782590866088867,11.15109728189272
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,D2_center2,angular,6558,32.70890204724513,0.4898380817854975,21.37652587890625,45.79435513485203
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,D2_center2,linear,5556,9.919193057450949,0.20797897398035292,2.781764268875122,11.145716377850018
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,D2_center2,angular,5556,19.91451922978023,0.449924985891494,15.562278747558594,26.850901226257008
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,D2_center2,linear,6038,9.327482003221247,0.23751933155249605,2.8604111671447754,10.681936726432784
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,D2_center2,angular,6038,21.69079677846965,0.48452548756850145,17.613039016723633,30.211473473715525
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,D2_center5,linear,8229,8.01820567798967,0.07100158116141964,2.6698155403137207,8.318972811122531
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,D2_center5,angular,8229,11.934125675952915,-0.06872775471866821,12.442667961120605,11.544019799270398
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,D2_center5,linear,8385,8.237014119450203,0.04066075690685944,2.67572283744812,8.409762001162004
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,D2_center5,angular,8385,12.896791190700686,-0.09508144476578395,13.354721069335938,12.324192072788202
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,D2_center5,linear,8291,8.099888272798692,0.0505054810486778,2.7462422847747803,8.312521801841065
