split,log_id,signal,axis,count,mean,std,min,p1,median,p99,max,rmse
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,published_angular_derivative,0,8229.0,0.059304378926754,29.965993881225586,-135.5806884765625,-66.00499938964843,-2.49749493598938,91.28322113037142,159.44000244140625,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,published_angular_derivative,1,8229.0,-0.02581385150551796,18.379072189331055,-51.22855758666992,-38.089214172363285,0.9785536527633667,34.478402557373045,54.29844665527344,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,published_angular_derivative,2,8229.0,0.022147182375192642,4.433526992797852,-18.8518009185791,-11.011729164123535,0.005636570043861866,11.240163574218753,23.024553298950195,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,angular_velocity,0,8229.0,-0.03701920807361603,0.6016190648078918,-2.4567065238952637,-1.4534017419815064,-0.06257922202348709,1.5414678192138693,2.382554769515991,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,angular_velocity,1,8229.0,0.06728982925415039,0.48594751954078674,-1.492601990699768,-0.9515765881538392,0.045213088393211365,1.1399310874938977,1.602143406867981,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,angular_velocity,2,8229.0,0.11238663643598557,0.3285747468471527,-1.294362187385559,-0.6699199914932251,0.11067797243595123,0.9181160020828248,1.211083173751831,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,published_vs_D0,vector,,,,,,,,,48.84773002347115
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,published_angular_derivative,0,8385.0,0.09090936183929443,29.231130599975586,-123.91598510742188,-63.79402465820313,-2.9151434898376465,90.39403778076165,149.85702514648438,
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,published_angular_derivative,1,8385.0,0.02055201306939125,18.603261947631836,-53.86844253540039,-37.27292617797852,0.6226305961608887,40.32134185791015,54.457183837890625,
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,published_angular_derivative,2,8385.0,-0.00023072253679856658,4.670681953430176,-24.957109451293945,-10.693264923095704,-0.11896659433841705,11.8146633529663,17.364715576171875,
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,angular_velocity,0,8385.0,-0.03323250636458397,0.6105982661247253,-2.288578748703003,-1.4835496187210082,-0.05216037482023239,1.490795850753784,2.3651185035705566,
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,angular_velocity,1,8385.0,0.04660652205348015,0.5285980105400085,-1.82200026512146,-1.0887920236587525,0.051695700734853745,1.1510837364196773,1.7289152145385742,
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,angular_velocity,2,8385.0,0.10715983062982559,0.3015141785144806,-1.1030769348144531,-0.5784167695045471,0.10867361724376678,0.8142894601821897,1.1735813617706299,
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,published_vs_D0,vector,,,,,,,,,49.21535760798243
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,published_angular_derivative,0,8291.0,-0.04774238169193268,28.57582664489746,-137.62515258789062,-65.63694381713867,-2.8373939990997314,85.30907363891643,160.88394165039062,
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,published_angular_derivative,1,8291.0,0.05858111381530762,17.907970428466797,-53.11648941040039,-36.6851505279541,0.5130738615989685,37.041843032836965,58.266387939453125,
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,published_angular_derivative,2,8291.0,-0.051163721829652786,4.22289514541626,-15.663926124572754,-10.206735420227051,-0.09971903264522552,10.325461769104027,23.526899337768555,
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,angular_velocity,0,8291.0,-0.03619702532887459,0.5731460452079773,-2.1939213275909424,-1.4157131075859068,-0.05009873956441879,1.40229595899582,2.231743097305298,
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,angular_velocity,1,8291.0,0.05814431235194206,0.5050601959228516,-1.592159390449524,-1.0646066904067992,0.054946720600128174,1.103214979171753,1.8315454721450806,
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,angular_velocity,2,8291.0,0.10858920216560364,0.29281917214393616,-0.9296682476997375,-0.594812273979187,0.11234971135854721,0.7642901539802551,1.0199792385101318,
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,published_vs_D0,vector,,,,,,,,,48.919311820997144
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,published_angular_derivative,0,6558.0,-0.08148422092199326,48.93559265136719,-253.6280517578125,-117.56315612792969,-1.830941915512085,121.00089889526376,180.07252502441406,
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,published_angular_derivative,1,6558.0,0.05476118251681328,25.994550704956055,-76.83187103271484,-60.08441402435303,2.443363666534424,63.031758575439476,81.5602035522461,
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,published_angular_derivative,2,6558.0,-0.06657542288303375,13.134465217590332,-36.662025451660156,-23.20246648788452,-2.514166831970215,44.538294868469244,65.56744384765625,
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,angular_velocity,0,6558.0,-0.03886943683028221,1.22006094455719,-3.641568899154663,-2.7770794534683225,0.1999048888683319,2.3303779006004386,3.7455596923828125,
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,angular_velocity,1,6558.0,0.04419618099927902,0.7434206008911133,-2.7463150024414062,-1.8829640233516693,0.10587409138679504,1.582734826803209,2.160440683364868,
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,angular_velocity,2,6558.0,0.17337292432785034,0.3552890717983246,-1.3708080053329468,-0.6835272771120071,0.16570916771888733,1.0208238148689288,1.51982843875885,
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,published_vs_D0,vector,,,,,,,,,68.80836536764483
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,published_angular_derivative,0,5556.0,0.3166775703430176,27.349369049072266,-132.59780883789062,-71.34211235046386,0.18298998475074768,78.72719001770014,144.87002563476562,
