split,log_id,segment_id,sample_in_segment,sample_in_log,timestamp_s,phase,frequency,airspeed,wind_n,wind_e,airdata_valid,point_index
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,25,363,706.984555,1.9773001119121858,3.769075870513916,6.262270927429199,0.039677903056144714,-0.14083066582679749,True,0
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,108,446,708.6505629999999,4.341023011179587,3.9107351303100586,7.858187198638916,0.3149249255657196,-0.8968928456306458,True,83
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,191,529,710.306709,3.8087312014941475,3.870164394378662,7.513774394989014,0.38548868894577026,-0.9235378503799438,True,166
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,274,612,711.962851,1.779327055132569,4.104695796966553,6.28139066696167,0.4663178324699402,-0.8990113139152527,True,249
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,357,695,713.628849,0.07867085677798258,4.18896484375,8.002364158630371,0.5853433012962341,-0.9482845664024353,True,332
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,440,778,715.284985,4.302971375650806,3.8245694637298584,6.499680519104004,0.6174289584159851,-1.0034106969833374,True,415
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,523,861,716.941119,3.071484077726268,4.153561115264893,7.210531711578369,0.6447003483772278,-0.9590551853179932,True,498
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,606,944,718.6071079999999,1.8436818600448746,4.157430648803711,7.817254066467285,0.6303786039352417,-0.8710134625434875,True,581
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,689,1027,720.263236,0.12169098659840927,4.218403339385986,6.750874042510986,0.5725423693656921,-0.7350526452064514,True,664
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,773,1111,721.948934,5.501942992268738,4.056987285614014,6.103092670440674,0.3375841975212097,-0.5257138609886169,True,748
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,856,1194,723.605057,3.2473610478917223,4.035289287567139,8.106142044067383,0.2094985693693161,-0.26566264033317566,True,831
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,939,1277,725.261177,1.4904588879312684,4.081897258758545,6.5898590087890625,0.2032383531332016,-0.16766658425331116,True,914
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,1022,1360,726.927151,6.253362977078609,4.221108436584473,7.526993274688721,0.05609271302819252,-0.15651464462280273,True,997
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,1105,1443,728.583266,4.532341861590872,3.858780860900879,8.442893981933594,-0.11916991323232651,0.04036765918135643,True,1080
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,1188,1526,730.249236,3.6024492888291633,3.9376089572906494,7.779702186584473,-0.30130535364151,0.08004765212535858,True,1163
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,1271,1609,731.905343,2.3659192495192727,4.278282642364502,6.8633880615234375,-0.3485417068004608,0.061662621796131134,True,1246
