model,seed,scope,log_id,trained_target,evaluation_target,signal,n,rmse,r2,pred_std,truth_std
B0,415,fit,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,D0_raw,D0_raw,linear,2856,3.5964300386282373,0.9015709869634466,10.563028058060983,11.463310371825544
B0,415,fit,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,D0_raw,D0_raw,angular,2856,20.314750474049326,0.6803626918622995,29.21876205467415,35.93211326438808
B0,415,fit,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,D0_raw,D0_raw,linear,2885,3.2269233392285694,0.924772755513239,11.189905826551986,11.76524759144045
B0,415,fit,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,D0_raw,D0_raw,angular,2885,20.078850964588845,0.6940716187727138,29.86373558172439,36.30186787858487
B0,415,fit,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,D0_raw,D0_raw,linear,2852,3.2743919329739906,0.9147292591884597,10.575945510124107,11.21322776374299
B0,415,fit,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,D0_raw,D0_raw,angular,2852,21.16627101098763,0.6278762463096971,26.938717452410177,34.69769745793926
B0,415,fit,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,D0_raw,D0_raw,linear,2245,3.6282969349961007,0.914321654612218,11.81767457537599,12.395592384422406
B0,415,fit,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,D0_raw,D0_raw,angular,2245,23.902635534911287,0.8312530872792443,53.44106827183804,58.18725523131915
B0,415,fit,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,D0_raw,D0_raw,linear,1895,3.390246727985378,0.9241540744132535,12.007466154914447,12.31020195138799
B0,415,fit,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,D0_raw,D0_raw,angular,1895,20.448935135885556,0.7078820104199042,32.84139924245085,37.83480899443313
B0,415,fit,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,D0_raw,D0_raw,linear,2063,3.502919654551675,0.9117962549969201,11.19598549191418,11.79469360725903
