split,log_id,signal,component_heldout_r2,model_phase_component_rmse,component_truth_std,component_pred_std,prediction_vs_component_rmse
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,linear,0.7454444895017083,10.494039507754826,10.524109876546202,1.5044148966998858,10.647513743926316
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,angular,0.18122224019956124,19.93069390700141,23.58761254840862,7.491215550227944,23.653608468654145
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,linear,0.7564713681024887,10.63376781389315,10.667482592749312,1.7047424736336543,10.83160441381245
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,angular,0.32222145641619215,20.280953815031605,24.177298668340818,7.909837151270449,23.803666516081467
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,linear,0.7730778879237591,10.148069602632399,10.152085683112553,1.6859123856540865,10.325194212445627
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,angular,0.34504421349335035,17.958090590096674,21.211511206550483,6.840994464820556,21.088370974112717
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,linear,0.7265821801654018,9.986753961876953,10.664212886205092,2.1396284030962294,10.190392777866641
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,angular,0.4478450752557295,28.73483964743727,39.624873625281836,17.941959490989774,31.33874180914645
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,linear,0.7526160124723775,10.481343825506231,11.172987337908902,1.9690539070769326,10.641644701407118
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,angular,0.377197904539637,18.358069221175462,24.979466928297892,12.556289173941668,21.097680852630116
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,linear,0.7266094859819965,9.738381277976208,10.626355502236416,1.944815631313867,10.111416390380215
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,angular,0.08611814687354746,25.034130312075497,33.7752570155661,16.823253739770635,28.500966662234003
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,linear,0.8193068045659482,10.232476754203915,10.442321090796396,1.908138346702281,10.185082147513867
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,angular,0.40043993270136924,18.049828948483167,22.248767769428472,7.7783475835350595,20.090953633037476
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,linear,0.7919874420859561,10.317573133933918,10.523832759216504,2.0342221119173236,10.253365359755595
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,angular,0.3750704734847179,17.086982191170158,21.659683866924983,8.276559341153385,19.471072220191264
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,linear,0.7899217735021234,9.94944509700237,10.161796444514323,1.952778446338697,9.981100950692358
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,angular,0.4089795773430466,16.968811573872035,21.544777869121855,8.321812390568352,19.29758541730502
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,linear,0.7840239938981325,10.040903835931369,10.387774069860262,1.8154063458062977,10.213165094894471
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,angular,0.41897769629285964,17.434197726415235,21.69822904499007,7.877385067738016,19.85102347904389
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,linear,0.8048004797256314,9.823044841328821,10.093994380253791,2.0704634234189934,9.937407471957746
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,angular,0.4157566888158042,17.873775055629064,23.48708299665724,10.223324290470664,20.36035279261253
