split,representation,signal,fit_r2,heldout_r2
train,t0_relative,ax_n,0.0024022507453169543,-0.00797254009163395
train,t0_relative,ay_n,0.0022019652348747878,-0.00480385882471695
train,t0_relative,az_n,0.003141102246135567,-0.002463420425601917
train,t0_relative,p,0.00201699517544265,-0.0014475310175990142
train,t0_relative,p_dot,0.0013049890318716,-0.0011472267078317386
train,t0_relative,q,0.003973796319843917,-0.003868803724742734
train,t0_relative,q_dot,0.0028921073440490333,-0.0012014074420735
train,t0_relative,r,0.0002466833044762099,-0.0102302460531913
train,t0_relative,r_dot,0.0006018247055216833,-0.0008853266368648204
train,within_log_cycle,ax_n,0.014576753392766366,-0.01646981629446655
train,within_log_cycle,ay_n,0.02207254182727525,-0.03548131471473558
train,within_log_cycle,az_n,0.9488291653708916,0.9179754778062099
train,within_log_cycle,p,0.471909149227018,0.4252380581911241
train,within_log_cycle,p_dot,0.42309533076498784,0.226087982748316
train,within_log_cycle,q,0.6575561492656975,0.4820051933708735
train,within_log_cycle,q_dot,0.742545654804245,0.6446278554344302
train,within_log_cycle,r,0.03842250259403684,0.020566583279541348
train,within_log_cycle,r_dot,0.21424535114639945,0.12288702245621735
train,within_log_native,ax_n,0.013767792282348182,-0.01339062474594905
train,within_log_native,ay_n,0.019197004482119733,-0.0303120816610566
train,within_log_native,az_n,0.9364201853805495,0.9046890339279606
train,within_log_native,p,0.4530625357727123,0.3922815540527855
train,within_log_native,p_dot,0.35133844278486137,0.1575142161647955
train,within_log_native,q,0.6548693892153438,0.45123720011057916
train,within_log_native,q_dot,0.6713266505405452,0.5746901945777244
train,within_log_native,r,0.04571121690850078,0.02507540592521443
train,within_log_native,r_dot,0.1744145616910803,0.08978016919567468
validation,t0_relative,ax_n,0.0002900832236912,-0.00351470183062936
validation,t0_relative,ay_n,0.00011889881511176485,-0.00546137676251012
validation,t0_relative,az_n,0.00074187279083224,0.0008008242472353152
validation,t0_relative,p,0.00075531064184634,-0.0002472547979714359
validation,t0_relative,p_dot,0.00063969036804676,0.00015530616790426164
validation,t0_relative,q,0.00094747658414364,-0.0048360254680888
validation,t0_relative,q_dot,0.001135591303048,0.0010893159278250598
validation,t0_relative,r,0.0001223097383558963,-0.0391172085526227
validation,t0_relative,r_dot,0.0006322671942494883,-0.00027930222884416507
validation,within_log_cycle,ax_n,0.03263675614329718,-0.12683571290207382
validation,within_log_cycle,ay_n,0.01652371889338166,-0.056948877715237156
validation,within_log_cycle,az_n,0.9581126370394463,0.9421552919972033
validation,within_log_cycle,p,0.4513722629514586,0.4727302837658243
validation,within_log_cycle,p_dot,0.432208267168747,0.3732322938247977
validation,within_log_cycle,q,0.6953038431313372,0.597375299041851
validation,within_log_cycle,q_dot,0.774048279035599,0.7029816135894237
validation,within_log_cycle,r,0.05666036836058221,0.024522693307372438
validation,within_log_cycle,r_dot,0.36006870131581065,0.3116326887904639
validation,within_log_native,ax_n,0.02710329637643652,-0.10578870539489663
validation,within_log_native,ay_n,0.01073468977020468,-0.028868853502534743
validation,within_log_native,az_n,0.9496863594604493,0.9295690173687433
validation,within_log_native,p,0.440470510158652,0.4385367476125607
validation,within_log_native,p_dot,0.33028828259962995,0.2514294033682628
validation,within_log_native,q,0.6986350295111169,0.5665862344775673
validation,within_log_native,q_dot,0.710015772340644,0.6379108690867987
validation,within_log_native,r,0.06068136980910658,0.0357704527986467
validation,within_log_native,r_dot,0.29334549502080126,0.23983943747765119
