split,log_id,topic,instance,field,rate_hz,max_gap_s,core_fresh_finite_fraction,count,mean,std,min,p1,median,p99,max
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_motors,0,control[0],50.717654815641325,0.081304,1.0,8535,0.6504414622598248,0.10514066989518218,0.10388171672821045,0.395432710647583,0.6654675602912903,0.8364841866493224,0.892138659954071
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_motors,0,control[1],50.717654815641325,0.081304,0.0,0,,,,,,,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_motors,0,control[2],50.717654815641325,0.081304,0.0,0,,,,,,,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_motors,0,control[3],50.717654815641325,0.081304,0.0,0,,,,,,,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_motors,0,control[4],50.717654815641325,0.081304,0.0,0,,,,,,,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_motors,0,control[5],50.717654815641325,0.081304,0.0,0,,,,,,,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_motors,0,control[6],50.717654815641325,0.081304,0.0,0,,,,,,,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_motors,0,control[7],50.717654815641325,0.081304,0.0,0,,,,,,,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_motors,0,control[8],50.717654815641325,0.081304,0.0,0,,,,,,,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_motors,0,control[9],50.717654815641325,0.081304,0.0,0,,,,,,,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_motors,0,control[10],50.717654815641325,0.081304,0.0,0,,,,,,,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_motors,0,control[11],50.717654815641325,0.081304,0.0,0,,,,,,,
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_motors,0,reversible_flags,50.717654815641325,0.081304,1.0,8535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_outputs,0,noutputs,9.899225880536141,0.10842399999999999,1.0,8535,8.0,0.0,8.0,8.0,8.0,8.0,8.0
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_outputs,0,output[0],9.899225880536141,0.10842399999999999,1.0,8535,1553.5473930872877,202.52022502498514,1000.0,1117.0,1549.0,1903.0,1946.0
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_outputs,0,output[1],9.899225880536141,0.10842399999999999,1.0,8535,1719.3708260105448,212.02018267152673,1223.0,1324.0,1707.0,2200.0,2200.0
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_outputs,0,output[2],9.899225880536141,0.10842399999999999,1.0,8535,1620.2432337434095,84.33310459347962,1183.0,1416.0,1632.0,1767.0,1814.0
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_outputs,0,output[3],9.899225880536141,0.10842399999999999,1.0,8535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_outputs,0,output[4],9.899225880536141,0.10842399999999999,1.0,8535,1352.7541886350323,53.42712054797267,1203.0,1235.0,1355.0,1466.0,1512.0
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_outputs,0,output[5],9.899225880536141,0.10842399999999999,1.0,8535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_outputs,0,output[6],9.899225880536141,0.10842399999999999,1.0,8535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_outputs,0,output[7],9.899225880536141,0.10842399999999999,1.0,8535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_outputs,0,output[8],9.899225880536141,0.10842399999999999,1.0,8535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_outputs,0,output[9],9.899225880536141,0.10842399999999999,1.0,8535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_outputs,0,output[10],9.899225880536141,0.10842399999999999,1.0,8535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,actuator_outputs,0,output[11],9.899225880536141,0.10842399999999999,1.0,8535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
