point_index,role
0,fit
2,fit
4,fit
6,fit
8,fit
10,fit
12,fit
14,fit
16,fit
18,fit
20,fit
22,fit
24,fit
26,fit
28,fit
30,fit
32,fit
34,fit
36,fit
38,fit
40,fit
42,fit
44,fit
46,fit
48,fit
50,fit
52,fit
54,fit
56,fit
58,fit
60,fit
62,fit
64,fit
66,fit
68,fit
70,fit
72,fit
74,fit
76,fit
78,fit
80,fit
82,fit
84,fit
86,fit
88,fit
90,fit
92,fit
94,fit
96,fit
98,fit
100,fit
102,fit
104,fit
106,fit
108,fit
110,fit
112,fit
114,fit
116,fit
118,fit
120,fit
122,fit
124,fit
126,fit
128,fit
130,fit
132,fit
134,fit
136,fit
138,fit
140,fit
142,fit
144,fit
146,fit
148,fit
150,fit
152,fit
154,fit
156,fit
158,fit
160,fit
162,fit
164,fit
166,fit
168,fit
170,fit
172,fit
174,fit
176,fit
178,fit
180,fit
182,fit
184,fit
186,fit
188,fit
190,fit
192,fit
194,fit
196,fit
198,fit
200,fit
202,fit
204,fit
206,fit
208,fit
210,fit
212,fit
214,fit
216,fit
218,fit
220,fit
222,fit
224,fit
226,fit
228,fit
230,fit
232,fit
234,fit
236,fit
238,fit
240,fit
242,fit
244,fit
246,fit
248,fit
250,fit
252,fit
254,fit
256,fit
258,fit
260,fit
262,fit
264,fit
266,fit
268,fit
270,fit
272,fit
274,fit
276,fit
278,fit
280,fit
282,fit
284,fit
286,fit
288,fit
290,fit
292,fit
294,fit
296,fit
298,fit
300,fit
302,fit
304,fit
306,fit
308,fit
310,fit
312,fit
314,fit
316,fit
318,fit
320,fit
322,fit
324,fit
326,fit
328,fit
330,fit
332,fit
334,fit
336,fit
338,fit
340,fit
342,fit
344,fit
346,fit
348,fit
350,fit
352,fit
354,fit
356,fit
358,fit
360,fit
362,fit
364,fit
366,fit
368,fit
370,fit
372,fit
374,fit
376,fit
378,fit
380,fit
382,fit
384,fit
386,fit
388,fit
390,fit
392,fit
394,fit
396,fit
398,fit
400,fit
402,fit
404,fit
406,fit
408,fit
410,fit
412,fit
414,fit
416,fit
418,fit
420,fit
422,fit
424,fit
426,fit
428,fit
430,fit
432,fit
434,fit
436,fit
438,fit
440,fit
442,fit
444,fit
446,fit
448,fit
450,fit
452,fit
454,fit
456,fit
458,fit
460,fit
462,fit
464,fit
466,fit
468,fit
470,fit
472,fit
474,fit
476,fit
478,fit
480,fit
482,fit
484,fit
486,fit
488,fit
490,fit
492,fit
494,fit
496,fit
498,fit
500,fit
502,fit
504,fit
506,fit
508,fit
510,fit
512,fit
514,fit
516,fit
518,fit
520,fit
522,fit
524,fit
526,fit
528,fit
530,fit
532,fit
534,fit
536,fit
538,fit
540,fit
542,fit
544,fit
546,fit
548,fit
550,fit
552,fit
554,fit
556,fit
558,fit
560,fit
562,fit
564,fit
566,fit
568,fit
570,fit
572,fit
574,fit
576,fit
578,fit
580,fit
582,fit
584,fit
586,fit
588,fit
590,fit
592,fit
594,fit
596,fit
598,fit
600,fit
602,fit
604,fit
606,fit
608,fit
610,fit
612,fit
614,fit
616,fit
618,fit
620,fit
622,fit
624,fit
626,fit
628,fit
630,fit
632,fit
634,fit
636,fit
638,fit
640,fit
642,fit
644,fit
646,fit
648,fit
650,fit
652,fit
654,fit
656,fit
658,fit
660,fit
662,fit
664,fit
666,fit
668,fit
670,fit
672,fit
674,fit
676,fit
678,fit
680,fit
682,fit
684,fit
686,fit
688,fit
690,fit
692,fit
694,fit
696,fit
698,fit
700,fit
702,fit
704,fit
706,fit
708,fit
710,fit
712,fit
714,fit
716,fit
718,fit
720,fit
722,fit
724,fit
726,fit
728,fit
730,fit
732,fit
734,fit
736,fit
738,fit
740,fit
742,fit
744,fit
746,fit
748,fit
750,fit
752,fit
754,fit
756,fit
758,fit
760,fit
762,fit
764,fit
766,fit
768,fit
770,fit
772,fit
774,fit
776,fit
778,fit
780,fit
782,fit
784,fit
786,fit
788,fit
790,fit
792,fit
794,fit
796,fit
798,fit
800,fit
802,fit
804,fit
806,fit
808,fit
810,fit
812,fit
814,fit
816,fit
818,fit
820,fit
822,fit
824,fit
826,fit
828,fit
830,fit
832,fit
834,fit
836,fit
838,fit
840,fit
842,fit
844,fit
846,fit
848,fit
850,fit
852,fit
854,fit
856,fit
858,fit
860,fit
862,fit
864,fit
866,fit
868,fit
870,fit
872,fit
874,fit
876,fit
878,fit
880,fit
882,fit
884,fit
886,fit
888,fit
890,fit
892,fit
894,fit
896,fit
898,fit
900,fit
902,fit
904,fit
906,fit
908,fit
910,fit
912,fit
914,fit
916,fit
918,fit
920,fit
922,fit
924,fit
926,fit
928,fit
930,fit
932,fit
934,fit
936,fit
938,fit
940,fit
942,fit
944,fit
946,fit
948,fit
950,fit
952,fit
954,fit
956,fit
958,fit
960,fit
962,fit
964,fit
966,fit
968,fit
970,fit
972,fit
974,fit
976,fit
978,fit
980,fit
982,fit
984,fit
986,fit
988,fit
990,fit
992,fit
994,fit
996,fit
998,fit
1000,fit
1002,fit
1004,fit
1006,fit
1008,fit
1010,fit
1012,fit
1014,fit
1016,fit
1018,fit
1020,fit
1022,fit
1024,fit
1026,fit
1028,fit
1030,fit
1032,fit
1034,fit
1036,fit
1038,fit
1040,fit
1042,fit
1044,fit
1046,fit
1048,fit
1050,fit
1052,fit
1054,fit
1056,fit
1058,fit
1060,fit
1062,fit
1064,fit
1066,fit
1068,fit
1070,fit
1072,fit
1074,fit
1076,fit
1078,fit
1080,fit
1082,fit
1084,fit
1086,fit
1088,fit
1090,fit
1092,fit
1094,fit
1096,fit
1098,fit
1100,fit
1102,fit
1104,fit
1106,fit
1108,fit
1110,fit
1112,fit
1114,fit
1116,fit
1118,fit
1120,fit
1122,fit
1124,fit
1126,fit
1128,fit
1130,fit
1132,fit
1134,fit
1136,fit
1138,fit
1140,fit
1142,fit
1144,fit
1146,fit
1148,fit
1150,fit
1152,fit
1154,fit
1156,fit
1158,fit
1160,fit
1162,fit
1164,fit
1166,fit
1168,fit
1170,fit
1172,fit
1174,fit
1176,fit
1178,fit
1180,fit
1182,fit
1184,fit
1186,fit
1188,fit
1190,fit
1192,fit
1194,fit
1196,fit
1198,fit
1200,fit
1202,fit
1204,fit
1206,fit
1208,fit
1210,fit
1212,fit
1214,fit
1216,fit
1218,fit
1220,fit
1222,fit
1224,fit
1226,fit
1228,fit
1230,fit
1232,fit
1234,fit
1236,fit
1238,fit
1240,fit
1242,fit
1244,fit
1246,fit
1248,fit
1250,fit
1252,fit
1254,fit
1256,fit
1258,fit
1260,fit
1262,fit
1264,fit
1266,fit
1268,fit
1270,fit
1272,fit
1274,fit
1276,fit
1278,fit
1280,fit
1282,fit
1284,fit
1286,fit
1288,fit
1290,fit
1292,fit
1294,fit
1296,fit
1298,fit
1300,fit
1302,fit
1304,fit
1306,fit
1308,fit
1310,fit
1312,fit
1314,fit
1316,fit
1318,fit
1320,fit
1322,fit
1324,fit
1326,fit
1328,fit
1330,fit
1332,fit
1334,fit
1336,fit
1338,fit
1340,fit
1342,fit
1344,fit
1346,fit
1348,fit
1350,fit
1352,fit
1354,fit
1356,fit
1358,fit
1360,fit
1362,fit
1364,fit
1366,fit
1368,fit
1370,fit
1372,fit
1374,fit
1376,fit
1378,fit
1380,fit
1382,fit
1384,fit
1386,fit
1388,fit
1390,fit
1392,fit
1394,fit
1396,fit
1398,fit
1400,fit
1402,fit
1404,fit
1406,fit
1408,fit
1410,fit
1412,fit
1414,fit
1416,fit
1418,fit
1420,fit
1422,fit
1424,fit
1426,fit
1428,fit
1430,fit
1432,fit
1434,fit
1436,fit
1438,fit
1440,fit
1442,fit
1444,fit
1446,fit
1448,fit
1450,fit
1452,fit
1454,fit
1456,fit
1458,fit
1460,fit
1462,fit
1464,fit
1466,fit
1468,fit
1470,fit
1472,fit
1474,fit
1476,fit
1478,fit
1480,fit
1482,fit
1484,fit
1486,fit
1488,fit
1490,fit
1492,fit
1494,fit
1496,fit
1498,fit
1500,fit
1502,fit
1504,fit
1506,fit
1508,fit
1510,fit
1512,fit
1514,fit
1516,fit
1518,fit
1520,fit
1522,fit
1524,fit
1526,fit
1528,fit
1530,fit
1532,fit
1534,fit
1536,fit
1538,fit
1540,fit
1542,fit
1544,fit
1546,fit
1548,fit
1550,fit
1552,fit
1554,fit
1556,fit
1558,fit
1560,fit
1562,fit
1564,fit
1566,fit
1568,fit
1570,fit
1572,fit
1574,fit
1576,fit
1578,fit
1580,fit
1582,fit
1584,fit
1586,fit
1588,fit
1590,fit
1592,fit
1594,fit
1596,fit
1598,fit
1600,fit
1602,fit
1604,fit
