case,log_id,mode,termination,duration_s,height_rmse,cross_track_rmse,speed_rmse,surface_limit_fraction,motor_limit_fraction
0,2026.9.7/log_21_2026-9-7-05-54-56.ulg,closed,height_error,16.88,2.319555283630618,4.198482230649971,1.4408657919442187,0.14691943127962084,0.0
0,2026.9.7/log_21_2026-9-7-05-54-56.ulg,open_hold,cross_track,4.36,0.4573349831060249,4.241645152438571,0.40651114006766037,0.0,0.0
1,2026.9.7/log_22_2026-9-7-06-01-40.ulg,closed,completed,20.0,0.9844085100143479,2.6960186876715313,0.6276084667535157,0.247,0.0
1,2026.9.7/log_22_2026-9-7-06-01-40.ulg,open_hold,cross_track,9.38,0.42647584635282065,4.358130046894073,0.10570910121812864,0.0,0.0
2,2026.9.7/log_23_2026-9-7-06-09-22.ulg,closed,completed,20.0,2.1679142778629217,3.664327819405267,1.1742242725464733,0.303,0.0
2,2026.9.7/log_23_2026-9-7-06-09-22.ulg,open_hold,height_error,8.96,2.5200741450830177,4.045958877779592,0.6695444967289277,0.0,0.0
3,2026.9.7/log_24_2026-9-7-06-16-04.ulg,closed,height_error,16.580000000000002,2.518988953984552,6.212594171655641,1.4922671428804697,0.10735826296743065,0.0
3,2026.9.7/log_24_2026-9-7-06-16-04.ulg,open_hold,cross_track,4.28,0.11126244280025165,4.560483654265185,0.849597576114175,0.0,0.0
4,2026.9.7/log_26_2026-9-7-06-30-26.ulg,closed,cross_track,8.16,0.8022662065585303,4.14367204655396,0.5517869741798654,0.13725490196078433,0.0
4,2026.9.7/log_26_2026-9-7-06-30-26.ulg,open_hold,cross_track,6.9,0.28479436311785383,3.2901948300685557,0.3027036391409246,0.0,0.0
5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,closed,completed,20.0,0.8797245237093572,1.5103380982598589,0.3749252515685774,0.0,0.0
5,2026.9.7/log_27_2026-9-7-06-37-24.ulg,open_hold,cross_track,11.700000000000001,1.1163840059968968,3.582038202444922,0.11298538713537899,0.0,0.0
6,2026.9.7/log_28_2026-9-7-06-44-02.ulg,closed,completed,20.0,2.210542576069956,3.868439861476272,1.2842085910788403,0.222,0.0
6,2026.9.7/log_28_2026-9-7-06-44-02.ulg,open_hold,cross_track,4.48,0.09663176173371688,4.479429187095613,0.0746434960605482,0.0,0.0
7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,closed,completed,20.0,1.6437428400843748,3.164163843066265,1.0124139517661048,0.0,0.0
7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,open_hold,cross_track,7.88,2.2563718948835914,3.917726099372399,0.20078904242974188,0.0,0.0
8,2026.9.7/log_30_2026-9-7-06-58-22.ulg,closed,completed,20.0,2.2753580220891196,2.632424445244727,1.0436466331764618,0.002,0.0
8,2026.9.7/log_30_2026-9-7-06-58-22.ulg,open_hold,height_error,6.44,2.575035716909883,0.43104361693865234,0.4488813208305282,0.0,0.0
9,9.17数据/log_10_2026-9-17-06-34-34.ulg,closed,completed,20.0,0.7761205584852293,4.234424350244798,0.45836774143611086,0.057,0.0
9,9.17数据/log_10_2026-9-17-06-34-34.ulg,open_hold,cross_track,5.1000000000000005,0.3590061695777666,3.877738956768816,0.9035741686610161,0.0,0.0
10,9.17数据/log_11_2026-9-17-06-40-30.ulg,closed,completed,20.0,1.5522292891205134,2.346129457219038,0.8970029462866884,0.024,0.0
10,9.17数据/log_11_2026-9-17-06-40-30.ulg,open_hold,cross_track,12.84,0.8406387197922979,3.1450853265808165,0.4261329611986342,0.0,0.0
11,9.17数据/log_12_2026-9-17-06-46-02.ulg,closed,cross_track,6.78,0.5537314991849304,4.167811102927366,0.24365872490091786,0.017699115044247787,0.0
11,9.17数据/log_12_2026-9-17-06-46-02.ulg,open_hold,cross_track,5.24,0.3552907465777297,3.410010817786033,0.5321509792297013,0.0,0.0
12,9.17数据/log_13_2026-9-17-06-52-30.ulg,closed,completed,20.0,0.26863384410750235,4.74457555117921,0.3791455221550255,0.0,0.0
12,9.17数据/log_13_2026-9-17-06-52-30.ulg,open_hold,cross_track,5.08,0.07744634084280756,4.8312923440800875,0.34758279269689385,0.0,0.0
13,9.17数据/log_6_2026-9-17-06-02-24.ulg,closed,completed,20.0,1.561841599323064,2.7026242062398964,0.8896821065112481,0.0,0.0
13,9.17数据/log_6_2026-9-17-06-02-24.ulg,open_hold,cross_track,4.68,0.14706508028512208,4.822202625868129,0.2714241733545122,0.0,0.0
14,9.17数据/log_7_2026-9-17-06-12-16.ulg,closed,cross_track,10.620000000000001,0.5412857058570737,4.585023743232952,0.3805334696257813,0.04143126177024482,0.0
14,9.17数据/log_7_2026-9-17-06-12-16.ulg,open_hold,cross_track,7.24,2.13733552681084,4.202283519050785,0.413164826178218,0.0,0.0
15,9.17数据/log_8_2026-9-17-06-17-52.ulg,closed,cross_track,8.64,0.6666428070772008,3.8852830919297308,0.31512318619072444,0.006944444444444444,0.0
15,9.17数据/log_8_2026-9-17-06-17-52.ulg,open_hold,cross_track,11.74,0.7482182537446461,4.334909852145075,0.42840760306495357,0.0,0.0
16,9.17数据/log_9_2026-9-17-06-28-10.ulg,closed,cross_track,8.540000000000001,0.8248329982584209,3.7827645851758245,0.4228220585059244,0.00702576112412178,0.0
16,9.17数据/log_9_2026-9-17-06-28-10.ulg,open_hold,cross_track,12.08,0.48854357155697253,4.957761234905053,0.7158576125007685,0.0,0.0
