family,horizon_s,position_rmse_m_per_log_macro_gain_percent,velocity_rmse_m_s_per_log_macro_gain_percent,attitude_rmse_deg_per_log_macro_gain_percent,body_rate_rmse_rad_s_per_log_macro_gain_percent
ridge,0.1,0.12772559082916374,-7.1634964060611885,-2.969850796842933,-7.352016278650279
ridge,0.2,-4.700090638272698,-19.19800210418624,-16.41297538000571,-4.213624054137932
ridge,0.5,-8.897149150544305,-13.41646988977501,-24.113333151165506,-0.04108632324984445
ridge,1.0,-5.795445938543519,-4.702027500187046,-26.151977523202433,3.215702977769129
ridge,2.0,-2.846286768348938,-7.103457758416871,-26.507371976351354,3.254727574637992
mlp,0.1,6.354458368289046,3.8622265962756166,-4.594878419000802,-8.480878678312425
mlp,0.2,-2.809297560580472,-6.551816313207529,-15.655990077645011,-8.937045917451135
mlp,0.5,-11.739200267235557,-5.512546916536132,-29.809361876559404,-8.579658163829734
mlp,1.0,-8.543439397007145,-12.020622482648676,-46.46403333291614,-16.96608078600079
mlp,2.0,-25.70324019602761,-72.29347137466868,-56.041795431652126,-46.819899174099454
