partition,steps,variant,log_id,axis,rmse,n
train_oof,1,history,2026.9.6/log_17_2026-9-6-18-34-06.ulg,vx,0.06037733754259441,895
train_oof,1,history,2026.9.6/log_17_2026-9-6-18-34-06.ulg,vy,0.06605266854072825,895
train_oof,1,history,2026.9.6/log_17_2026-9-6-18-34-06.ulg,vz,0.07378742003194859,895
train_oof,1,history,2026.9.6/log_17_2026-9-6-18-34-06.ulg,p,0.46316194400767063,895
train_oof,1,history,2026.9.6/log_17_2026-9-6-18-34-06.ulg,q,0.22553129072659994,895
train_oof,1,history,2026.9.6/log_17_2026-9-6-18-34-06.ulg,r,0.08174279849116838,895
train_oof,1,history,2026.9.6/log_18_2026-9-6-18-46-20.ulg,vx,0.062235558351611146,695
train_oof,1,history,2026.9.6/log_18_2026-9-6-18-46-20.ulg,vy,0.07081484857583858,695
train_oof,1,history,2026.9.6/log_18_2026-9-6-18-46-20.ulg,vz,0.07813910113734297,695
train_oof,1,history,2026.9.6/log_18_2026-9-6-18-46-20.ulg,p,0.5036979566530168,695
train_oof,1,history,2026.9.6/log_18_2026-9-6-18-46-20.ulg,q,0.23997955831575482,695
train_oof,1,history,2026.9.6/log_18_2026-9-6-18-46-20.ulg,r,0.09401084069850746,695
train_oof,1,history,2026.9.6/log_19_2026-9-6-18-52-30.ulg,vx,0.05377221967981176,774
train_oof,1,history,2026.9.6/log_19_2026-9-6-18-52-30.ulg,vy,0.05860533374671012,774
train_oof,1,history,2026.9.6/log_19_2026-9-6-18-52-30.ulg,vz,0.06615003352322506,774
train_oof,1,history,2026.9.6/log_19_2026-9-6-18-52-30.ulg,p,0.5447085227673565,774
train_oof,1,history,2026.9.6/log_19_2026-9-6-18-52-30.ulg,q,0.2290730490235726,774
train_oof,1,history,2026.9.6/log_19_2026-9-6-18-52-30.ulg,r,0.07984227996454264,774
train_oof,1,history,2026.9.6/log_20_2026-9-6-18-58-10.ulg,vx,0.06689117104105405,588
train_oof,1,history,2026.9.6/log_20_2026-9-6-18-58-10.ulg,vy,0.06184102774949093,588
train_oof,1,history,2026.9.6/log_20_2026-9-6-18-58-10.ulg,vz,0.07329737237625582,588
train_oof,1,history,2026.9.6/log_20_2026-9-6-18-58-10.ulg,p,0.5701803938118081,588
train_oof,1,history,2026.9.6/log_20_2026-9-6-18-58-10.ulg,q,0.2370347178623258,588
train_oof,1,history,2026.9.6/log_20_2026-9-6-18-58-10.ulg,r,0.08898198153388394,588
train_oof,1,history,2026.9.6/log_24_2026-9-6-06-28-38.ulg,vx,0.06205945477930195,702
train_oof,1,history,2026.9.6/log_24_2026-9-6-06-28-38.ulg,vy,0.06832991905756212,702
train_oof,1,history,2026.9.6/log_24_2026-9-6-06-28-38.ulg,vz,0.07456097242986329,702
train_oof,1,history,2026.9.6/log_24_2026-9-6-06-28-38.ulg,p,0.33667292644674446,702
train_oof,1,history,2026.9.6/log_24_2026-9-6-06-28-38.ulg,q,0.25018093617942416,702
train_oof,1,history,2026.9.6/log_24_2026-9-6-06-28-38.ulg,r,0.07024825214936174,702
train_oof,1,history,2026.9.6/log_28_2026-9-6-07-01-38.ulg,vx,0.06638191461762634,727
train_oof,1,history,2026.9.6/log_28_2026-9-6-07-01-38.ulg,vy,0.07459244174373095,727
train_oof,1,history,2026.9.6/log_28_2026-9-6-07-01-38.ulg,vz,0.08217435738580137,727
train_oof,1,history,2026.9.6/log_28_2026-9-6-07-01-38.ulg,p,0.37734364706256424,727
train_oof,1,history,2026.9.6/log_28_2026-9-6-07-01-38.ulg,q,0.25136286159578236,727
train_oof,1,history,2026.9.6/log_28_2026-9-6-07-01-38.ulg,r,0.08059627651053651,727
train_oof,1,history,9.11数据/log_13_2026-9-11-18-28-08.ulg,vx,0.05605290944271198,447
train_oof,1,history,9.11数据/log_13_2026-9-11-18-28-08.ulg,vy,0.05640129810611146,447
train_oof,1,history,9.11数据/log_13_2026-9-11-18-28-08.ulg,vz,0.07485630807412005,447
train_oof,1,history,9.11数据/log_13_2026-9-11-18-28-08.ulg,p,0.3910902379934874,447
train_oof,1,history,9.11数据/log_13_2026-9-11-18-28-08.ulg,q,0.20466421028363949,447
train_oof,1,history,9.11数据/log_13_2026-9-11-18-28-08.ulg,r,0.06661459535261192,447
train_oof,1,history,9.11数据/log_14_2026-9-11-18-34-58.ulg,vx,0.05646563967584339,592
train_oof,1,history,9.11数据/log_14_2026-9-11-18-34-58.ulg,vy,0.04535963077586813,592
train_oof,1,history,9.11数据/log_14_2026-9-11-18-34-58.ulg,vz,0.07082859970373812,592
train_oof,1,history,9.11数据/log_14_2026-9-11-18-34-58.ulg,p,0.3579961836179877,592
train_oof,1,history,9.11数据/log_14_2026-9-11-18-34-58.ulg,q,0.19460323054885506,592
train_oof,1,history,9.11数据/log_14_2026-9-11-18-34-58.ulg,r,0.0590670781162612,592
train_oof,1,history,9.11数据/log_15_2026-9-11-18-40-48.ulg,vx,0.07022617705409778,440
train_oof,1,history,9.11数据/log_15_2026-9-11-18-40-48.ulg,vy,0.06148699954519708,440
train_oof,1,history,9.11数据/log_15_2026-9-11-18-40-48.ulg,vz,0.06971979916985907,440
train_oof,1,history,9.11数据/log_15_2026-9-11-18-40-48.ulg,p,0.3964478531645535,440
train_oof,1,history,9.11数据/log_15_2026-9-11-18-40-48.ulg,q,0.2315283803712773,440
train_oof,1,history,9.11数据/log_15_2026-9-11-18-40-48.ulg,r,0.07708281919266656,440
train_oof,1,history,9.12数据/log_10_2026-9-12-06-13-40.ulg,vx,0.06123311216787142,758
train_oof,1,history,9.12数据/log_10_2026-9-12-06-13-40.ulg,vy,0.059643952363837925,758
