partition,steps,axis,history_rmse,planned_rmse,improved_fraction,macro_relative_gain
train_oof,1,p,0.4250218490478381,0.42491533425062633,0.6585365853658537,0.0002506101685133706
train_oof,1,q,0.2284378748782439,0.2276580355169759,0.9512195121951219,0.0034137918752906882
train_oof,1,r,0.07324385610940333,0.0731838411464487,0.7560975609756098,0.0008193856268979928
train_oof,1,vx,0.0616516828565899,0.06164453434674517,0.6829268292682927,0.00011594995486761907
train_oof,1,vy,0.0583949193257816,0.05839770755435667,0.6341463414634146,-4.774779393934612e-05
train_oof,1,vz,0.07270801854676268,0.07260686518391393,0.8780487804878049,0.0013912270595530846
train_oof,5,p,0.46144296574112154,0.4554278894159107,0.9024390243902439,0.01303536248634763
train_oof,5,q,0.3684710729585218,0.36047513038296575,0.975609756097561,0.021700326463499935
train_oof,5,r,0.14156999649262014,0.13502212874428238,1.0,0.04625180412912631
train_oof,5,vx,0.20020966188238246,0.20013929019823257,0.6341463414634146,0.0003514899505261166
train_oof,5,vy,0.2113661264957546,0.21135736334479713,0.4634146341463415,4.145958059954195e-05
train_oof,5,vz,0.2330784368833937,0.22879864673834088,0.8292682926829268,0.018362016676789092
train_oof,10,p,0.5002143390260861,0.48296646239757707,0.975609756097561,0.03448097202109514
train_oof,10,q,0.4161704401152327,0.4104230275823828,0.8048780487804879,0.013810237294264562
train_oof,10,r,0.1564738958204254,0.14676223493605373,0.975609756097561,0.062065693663798674
train_oof,10,vx,0.2970141860281763,0.29689518352289296,0.6341463414634146,0.0004006626985556194
train_oof,10,vy,0.324867409928433,0.32440001686711867,0.5853658536585366,0.0014387194499358676
train_oof,10,vz,0.25621602275725197,0.2522282706349356,0.8536585365853658,0.015564023199651828
train_oof,25,p,0.5433102422204126,0.5386943901472595,0.8048780487804879,0.008495794326072158
train_oof,25,q,0.507169472226466,0.4897997902759591,0.975609756097561,0.03424827972049321
train_oof,25,r,0.19015101875657986,0.18560571584206761,0.975609756097561,0.02390364744945634
train_oof,25,vx,0.6514864131798261,0.6501714513028264,0.7804878048780488,0.002018402610396101
train_oof,25,vy,0.7312555719453331,0.7295192781946489,0.7073170731707317,0.002374400712004397
train_oof,25,vz,0.4669442900854697,0.4317840798710852,1.0,0.0752985119658467
validation,1,p,0.5045712637653876,0.5044685287481215,0.6470588235294118,0.0002036085378692255
validation,1,q,0.2430232724652888,0.24285154185816935,0.5882352941176471,0.0007066426411650568
validation,1,r,0.08094399499499541,0.08090153223649738,0.7058823529411765,0.0005245943012901778
validation,1,vx,0.057317883454905155,0.05731689966945212,0.6470588235294118,1.7163673773927972e-05
validation,1,vy,0.05836049820604043,0.058367900635724855,0.4117647058823529,-0.0001268397274178409
validation,1,vz,0.07170859947716478,0.07168840729112447,0.47058823529411764,0.00028158667422783037
validation,5,p,0.5194670060966504,0.5203879051692807,0.4117647058823529,-0.0017727768305248748
validation,5,q,0.35260942052114547,0.35106008254563953,0.6470588235294118,0.0043939211074283425
validation,5,r,0.13909849784389497,0.1313992701287389,1.0,0.05535090482283016
validation,5,vx,0.19497992788657012,0.19552125686985836,0.23529411764705882,-0.0027763318468512063
validation,5,vy,0.20590019743050444,0.20590216736585165,0.5882352941176471,-9.567428160780671e-06
validation,5,vz,0.21246865128768586,0.21020039346652789,0.6470588235294118,0.010675729371890794
validation,10,p,0.5419046770147242,0.5356502800900402,0.7647058823529411,0.011541507556529267
validation,10,q,0.40546272296602043,0.4043413650325643,0.5294117647058824,0.002765625222593175
validation,10,r,0.14448349789020043,0.13708491893834632,0.8823529411764706,0.05120708634474387
validation,10,vx,0.29187399692354005,0.29222458542173374,0.35294117647058826,-0.0012011638648493051
validation,10,vy,0.31679642554479553,0.3166176977169854,0.5882352941176471,0.0005641724886977015
validation,10,vz,0.23586327757881054,0.23167229530641484,0.8235294117647058,0.01776869343721953
validation,25,p,0.5738774857050082,0.5727665950238899,0.5294117647058824,0.0019357627869884455
validation,25,q,0.49205609227648056,0.48069953122260384,0.8235294117647058,0.02307980986748073
validation,25,r,0.16693211022586632,0.16304241881452097,0.8235294117647058,0.02330103780562306
validation,25,vx,0.6399400609766749,0.6390408259514531,0.5882352941176471,0.0014051863292468558
validation,25,vy,0.722168591140919,0.7218676567595528,0.5294117647058824,0.00041670931837511135
validation,25,vz,0.44278567487131953,0.41001527666519855,1.0,0.0740096169905329
