partition,steps,min,p05,median,p95,max
train,1,0.00926,0.01,0.019929,0.029798599999999988,0.030357
validation,1,0.009439,0.00998905,0.019868,0.029610849999999998,0.030167
train,5,0.08835699999999999,0.089906,0.099767,0.10972699999999999,0.110375
validation,5,0.08843,0.0901122,0.0996335,0.10864744999999999,0.10996500000000001
train,10,0.18928999999999999,0.197067,0.19958499999999996,0.207053,0.22672
validation,10,0.189358,0.19703705000000002,0.199567,0.20708195,0.20979399999999998
train,25,0.488623,0.49279899999999993,0.49903699999999995,0.508956,0.523205
validation,25,0.488664,0.49276604999999996,0.4990945,0.50888,0.518876
