steps,fold,channel,axis,gain,bin_start,bin_stop
1,0,drive,vx,-0.0015722988346181612,,
1,0,drive,vy,-0.0022556709387086993,,
1,0,drive,vz,-0.018413263464892086,,
1,0,drive,p,-0.1997742892621055,,
1,0,drive,q,0.5870966949438091,,
1,0,drive,r,-0.018882178347789855,,
1,0,drive,vx,-0.0015722988346181612,0.0,1.0
1,0,drive,vy,-0.0022556709387086993,0.0,1.0
1,0,drive,vz,-0.018413263464892086,0.0,1.0
1,0,drive,p,-0.1997742892621055,0.0,1.0
1,0,drive,q,0.5870966949438091,0.0,1.0
1,0,drive,r,-0.018882178347789855,0.0,1.0
1,0,common,vx,-0.0763765110684958,,
1,0,common,vy,0.041983194854314176,,
1,0,common,vz,-0.17671150900236016,,
1,0,common,p,-0.32745175073730254,,
1,0,common,q,0.9493132103967079,,
1,0,common,r,0.03465765004627873,,
1,0,common,vx,-0.0763765110684958,0.0,1.0
1,0,common,vy,0.041983194854314176,0.0,1.0
1,0,common,vz,-0.17671150900236016,0.0,1.0
1,0,common,p,-0.32745175073730254,0.0,1.0
1,0,common,q,0.9493132103967079,0.0,1.0
1,0,common,r,0.03465765004627873,0.0,1.0
1,0,differential,vx,5.171322009170994e-05,,
1,0,differential,vy,0.0017106740145358186,,
1,0,differential,vz,0.04974404531880079,,
1,0,differential,p,0.07562826102656106,,
1,0,differential,q,-0.15001457405828852,,
1,0,differential,r,-0.06964095906353235,,
1,0,differential,vx,5.171322009170994e-05,0.0,1.0
1,0,differential,vy,0.0017106740145358186,0.0,1.0
1,0,differential,vz,0.04974404531880079,0.0,1.0
1,0,differential,p,0.07562826102656106,0.0,1.0
1,0,differential,q,-0.15001457405828852,0.0,1.0
1,0,differential,r,-0.06964095906353235,0.0,1.0
1,0,rudder,vx,-0.025502240302432453,,
1,0,rudder,vy,-0.07102650981800676,,
1,0,rudder,vz,-0.006804708667582571,,
1,0,rudder,p,0.3977340223791018,,
1,0,rudder,q,0.2140410013539696,,
1,0,rudder,r,-0.032061420055565434,,
1,0,rudder,vx,-0.025502240302432453,0.0,1.0
1,0,rudder,vy,-0.07102650981800676,0.0,1.0
1,0,rudder,vz,-0.006804708667582571,0.0,1.0
1,0,rudder,p,0.3977340223791018,0.0,1.0
1,0,rudder,q,0.2140410013539696,0.0,1.0
1,0,rudder,r,-0.032061420055565434,0.0,1.0
1,1,drive,vx,-0.015569119722075022,,
1,1,drive,vy,0.0008384813996968374,,
1,1,drive,vz,-0.030473145942513675,,
1,1,drive,p,-0.200979127155942,,
1,1,drive,q,0.6267661400981263,,
1,1,drive,r,-0.026042808008180547,,
1,1,drive,vx,-0.015569119722075022,0.0,1.0
1,1,drive,vy,0.0008384813996968374,0.0,1.0
1,1,drive,vz,-0.030473145942513675,0.0,1.0
1,1,drive,p,-0.200979127155942,0.0,1.0
1,1,drive,q,0.6267661400981263,0.0,1.0
1,1,drive,r,-0.026042808008180547,0.0,1.0
