steps,variant,log_id,n,rmse,target_std
5,state_past_controls,2026.9.6/log_17_2026-9-6-18-34-06.ulg,393,0.013455469250722881,0.11885894481082117
5,state_past_controls,2026.9.6/log_18_2026-9-6-18-46-20.ulg,288,0.011148663419072013,0.11202854394408342
5,state_past_controls,2026.9.6/log_19_2026-9-6-18-52-30.ulg,256,0.013280718946344491,0.11171830211760855
5,state_past_controls,2026.9.6/log_20_2026-9-6-18-58-10.ulg,260,0.014558716585497256,0.10241557488174073
5,state_past_controls,2026.9.6/log_24_2026-9-6-06-28-38.ulg,175,0.014658151159278656,0.10281932346890398
5,state_past_controls,2026.9.6/log_28_2026-9-6-07-01-38.ulg,317,0.015158458380392372,0.11576328493086897
5,state_past_controls,9.11数据/log_13_2026-9-11-18-28-08.ulg,248,0.01735367179487301,0.09464552734318227
5,state_past_controls,9.11数据/log_14_2026-9-11-18-34-58.ulg,241,0.01160688192576195,0.08038612743637676
5,state_past_controls,9.11数据/log_15_2026-9-11-18-40-48.ulg,209,0.015827082779802115,0.10382865931328086
5,state_past_controls,9.12数据/log_10_2026-9-12-06-13-40.ulg,180,0.01738933469526407,0.10696530240423881
5,state_past_controls,9.12数据/log_11_2026-9-12-06-21-12.ulg,144,0.01606734575861283,0.10503655166476264
5,state_past_controls,9.12数据/log_12_2026-9-12-06-29-44.ulg,129,0.015196627980776464,0.12890658880692074
5,state_past_controls,9.12数据/log_2_2026-9-12-18-32-54.ulg,129,0.014049148256859382,0.09726684924301668
5,state_past_controls,9.12数据/log_3_2026-9-12-18-40-02.ulg,135,0.0178178769033108,0.11939971201865482
5,state_past_controls,9.12数据/log_7_2026-9-12-05-49-02.ulg,110,0.01680783088678949,0.11049013670822334
5,state_past_controls,9.12数据/log_8_2026-9-12-05-55-30.ulg,183,0.015279770821478862,0.11136865562286777
5,state_past_controls,9.12数据/log_9_2026-9-12-06-03-32.ulg,318,0.014073108915970715,0.13148756425793023
5,state_past_controls,9.13数据/log_1_2026-9-13-06-11-06.ulg,90,0.025716314134890183,0.09295560517915183
5,state_past_controls,9.13数据/log_2_2026-9-13-06-20-06.ulg,105,0.014368334959488287,0.12215224331138125
5,state_past_controls,9.13数据/log_3_2026-9-13-06-31-26.ulg,131,0.015478659008644364,0.11741335079973061
5,state_past_controls,9.13数据/log_4_2026-9-13-06-36-26.ulg,97,0.01658558364539414,0.1375869906842576
5,state_past_controls,9.13数据/log_5_2026-9-13-06-42-40.ulg,127,0.019508941936568748,0.09401968312570728
5,state_past_controls,9.13数据/log_7_2026-9-13-18-12-52.ulg,158,0.017205357937356922,0.0758830733480595
5,state_past_controls,9.14数据/log_11_2026-9-14-18-13-22.ulg,82,0.013349480983649959,0.14732963851271483
5,state_past_controls,9.14数据/log_12_2026-9-14-18-20-30.ulg,124,0.01810108151954248,0.14704206577650625
5,state_past_controls,9.14数据/log_13_2026-9-14-18-28-32.ulg,199,0.013840871434995235,0.11341214244964927
5,state_past_controls,9.14数据/log_14_2026-9-14-18-34-22.ulg,50,0.03070812710321147,0.06262407255366985
5,state_past_controls,9.15数据/log_10_2026-9-15-17-44-04.ulg,104,0.03695855412449071,0.16291866520326057
5,state_past_controls,9.15数据/log_11_2026-9-15-17-51-56.ulg,95,0.017146435558623097,0.1162621015176031
5,state_past_controls,9.15数据/log_12_2026-9-15-18-03-58.ulg,135,0.013545598664382107,0.08725021579436233
5,state_past_controls,9.15数据/log_13_2026-9-15-18-10-58.ulg,123,0.015837158676459996,0.09153038034511018
5,state_past_controls,9.15数据/log_14_2026-9-15-18-17-26.ulg,130,0.012511522600441385,0.11593351567695688
5,state_past_controls,9.15数据/log_15_2026-9-15-18-23-44.ulg,110,0.01817325728588655,0.10548467436367963
5,state_past_controls,9.16数据/log_1_2026-9-16-18-02-34.ulg,98,0.013558779578043365,0.07812500940875623
5,state_past_controls,9.16数据/log_2_2026-9-16-18-08-46.ulg,118,0.014063238636168124,0.11691323517110767
5,state_past_controls,9.16数据/log_3_2026-9-16-18-13-58.ulg,100,0.01350083351252864,0.10365470437787895
5,state_past_controls,9.16数据/log_4_2026-9-16-18-20-50.ulg,101,0.022271812901249907,0.1392713047228136
5,state_past_controls,9.16数据/log_5_2026-9-16-18-26-48.ulg,97,0.01747236501778767,0.12966337909373632
5,state_past_controls,9.18数据/log_0_2026-9-18-18-15-06.ulg,135,0.03389215668099382,0.16919828639197462
5,state_past_controls,9.18数据/log_1_2026-9-18-18-23-36.ulg,123,0.01775019924683961,0.11210278403500709
5,state_past_controls,9.18数据/log_2_2026-9-18-18-29-40.ulg,130,0.021778483669743644,0.13032006682104247
5,plus_manual_pitch,2026.9.6/log_17_2026-9-6-18-34-06.ulg,393,0.013148885126025904,0.11885894481082117
5,plus_manual_pitch,2026.9.6/log_18_2026-9-6-18-46-20.ulg,288,0.011268309210550456,0.11202854394408342
5,plus_manual_pitch,2026.9.6/log_19_2026-9-6-18-52-30.ulg,256,0.012590357909562953,0.11171830211760855
5,plus_manual_pitch,2026.9.6/log_20_2026-9-6-18-58-10.ulg,260,0.01396467697896288,0.10241557488174073
5,plus_manual_pitch,2026.9.6/log_24_2026-9-6-06-28-38.ulg,175,0.014810449557382165,0.10281932346890398
5,plus_manual_pitch,2026.9.6/log_28_2026-9-6-07-01-38.ulg,317,0.013823311815819162,0.11576328493086897
5,plus_manual_pitch,9.11数据/log_13_2026-9-11-18-28-08.ulg,248,0.016933850133913037,0.09464552734318227
5,plus_manual_pitch,9.11数据/log_14_2026-9-11-18-34-58.ulg,241,0.011251089985866805,0.08038612743637676
5,plus_manual_pitch,9.11数据/log_15_2026-9-11-18-40-48.ulg,209,0.015446189989722199,0.10382865931328086
5,plus_manual_pitch,9.12数据/log_10_2026-9-12-06-13-40.ulg,180,0.017287117313767746,0.10696530240423881
5,plus_manual_pitch,9.12数据/log_11_2026-9-12-06-21-12.ulg,144,0.014789480322706583,0.10503655166476264
5,plus_manual_pitch,9.12数据/log_12_2026-9-12-06-29-44.ulg,129,0.015068517628902541,0.12890658880692074
5,plus_manual_pitch,9.12数据/log_2_2026-9-12-18-32-54.ulg,129,0.014260343117796143,0.09726684924301668
5,plus_manual_pitch,9.12数据/log_3_2026-9-12-18-40-02.ulg,135,0.017538290182150442,0.11939971201865482
5,plus_manual_pitch,9.12数据/log_7_2026-9-12-05-49-02.ulg,110,0.0163498398473482,0.11049013670822334
5,plus_manual_pitch,9.12数据/log_8_2026-9-12-05-55-30.ulg,183,0.015560156646416533,0.11136865562286777
5,plus_manual_pitch,9.12数据/log_9_2026-9-12-06-03-32.ulg,318,0.014047928276956908,0.13148756425793023
