model,split,window_id,log_id,segment_id,horizon_s,observed_horizon_s,position_error_m,velocity_error_m_s,attitude_error_deg,body_rate_error_rad_s,seed,cohort,delta_v_error_m_s,velocity_x_error_m_s,velocity_y_error_m_s,velocity_z_error_m_s,delta_omega_error_rad_s,body_rate_p_error_rad_s,body_rate_q_error_rad_s,body_rate_r_error_rad_s,ranking_metric
B0_ConstantVelocity,validation,validation:9.17数据/log_9_2026-9-17-06-28-10.ulg:0:75,9.17数据/log_9_2026-9-17-06-28-10.ulg,0,0.5,0.492821,1.5868187785191237,6.299695444128901,13.141532753251171,1.735418957771227,17,Sep17,6.299695444128901,4.625980079174042,3.4730236530303955,2.4949103593826294,1.735418957771227,0.7074688076972961,0.5739079969935119,1.4770905375480652,velocity_error_m_s
B0_ConstantVelocity,validation,validation:9.17数据/log_7_2026-9-17-06-12-16.ulg:0:25,9.17数据/log_7_2026-9-17-06-12-16.ulg,0,0.5,0.5090990000000001,2.050874876207979,5.702638296310944,42.42714776135925,0.925457608760945,17,Sep17,5.702638296310944,4.145923972129822,2.663307726383209,2.870224714279175,0.925457608760945,0.8929857015609741,0.242021381855011,0.0217709243297576,velocity_error_m_s
B0_ConstantVelocity,validation,validation:9.17数据/log_10_2026-9-17-06-34-34.ulg:0:25,9.17数据/log_10_2026-9-17-06-34-34.ulg,0,0.5,0.49898,1.7975213483990635,5.246141051355646,37.72492916831151,0.1578248036852151,17,Sep17,5.246141051355646,3.366235136985779,1.2517713904380798,3.8240718245506287,0.1578248036852151,0.0015721321105957,0.003665804862976,0.1577743925154209,velocity_error_m_s
B0_ConstantVelocity,validation,validation:9.17数据/log_9_2026-9-17-06-28-10.ulg:2:225,9.17数据/log_9_2026-9-17-06-28-10.ulg,2,0.5,0.502999,0.5003619503410922,1.032144465882904,68.07710435842728,2.824500445533295,17,Sep17,1.032144465882904,0.9795451164245604,0.3214912414550781,0.0495675802230834,2.824500445533295,1.201973021030426,2.499074801802635,0.5363662540912628,attitude_error_deg
B0_ConstantVelocity,validation,validation:9.17数据/log_13_2026-9-17-06-52-30.ulg:1:2425,9.17数据/log_13_2026-9-17-06-52-30.ulg,1,0.5,0.50274,0.5886704466192932,1.6781555993439194,62.7338826306786,3.196872943433821,17,Sep17,1.6781555993439194,0.3107204437255859,1.143839955329895,1.1879769265651705,3.196872943433821,3.0720375776290894,0.8792208433151245,0.097736619412899,attitude_error_deg
B0_ConstantVelocity,validation,validation:9.17数据/log_9_2026-9-17-06-28-10.ulg:1:2075,9.17数据/log_9_2026-9-17-06-28-10.ulg,1,0.5,0.4928659999999999,0.2242353212043119,0.4404825209409366,57.91502665046843,0.8207599810918269,17,Sep17,0.4404825209409366,0.2571396827697754,0.316758394241333,0.1660366058349609,0.8207599810918269,0.4990191459655761,0.5514658056199551,0.3471488207578659,attitude_error_deg
B0_ConstantVelocity,validation,validation:9.17数据/log_13_2026-9-17-06-52-30.ulg:1:2425,9.17数据/log_13_2026-9-17-06-52-30.ulg,1,0.5,0.50274,0.5886704466192932,1.6781555993439194,62.7338826306786,3.196872943433821,17,Sep17,1.6781555993439194,0.3107204437255859,1.143839955329895,1.1879769265651705,3.196872943433821,3.0720375776290894,0.8792208433151245,0.097736619412899,body_rate_error_rad_s
B0_ConstantVelocity,validation,validation:9.17数据/log_12_2026-9-17-06-46-02.ulg:2:875,9.17数据/log_12_2026-9-17-06-46-02.ulg,2,0.5,0.502648,0.3726576043368731,1.1007540233177793,47.76393389423329,3.003825234771049,17,Sep17,1.1007540233177793,0.7879652976989746,0.6285978555679321,0.4423062801361084,3.003825234771049,0.5424097627401352,2.944404602050781,0.2433911045081913,body_rate_error_rad_s
B0_ConstantVelocity,validation,validation:9.17数据/log_10_2026-9-17-06-34-34.ulg:1:4325,9.17数据/log_10_2026-9-17-06-34-34.ulg,1,0.5,0.499034,0.151498139905532,1.0724908796561872,51.932205872825406,2.9150167213479112,17,Sep17,1.0724908796561872,0.7244521975517273,0.1422324180603027,0.7779303565621376,2.9150167213479112,2.576331615447998,1.3109186887741089,0.3759389370679855,body_rate_error_rad_s
B0_ConstantVelocity,validation,validation:2026.9.7/log_29_2026-9-7-06-51-04.ulg:0:25,2026.9.7/log_29_2026-9-7-06-51-04.ulg,0,0.5,0.498868,0.768287603853001,6.384377056229666,9.48276974734174,2.2505351870307084,17,Sep7,6.384377056229666,3.2385263442993164,5.29927659034729,1.4798260480165482,2.2505351870307084,1.6932234466075895,1.3843716233968737,0.530488639138639,velocity_error_m_s
