model,seed,cohort,log_id,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_windows
B0_ConstantVelocity,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.1,0.050116292236836675,0.8086663670287096,4.106765300159635,1.2789359365905526,0.8086663670287096,1.2789359365905526,0.23252890829008788,0.2093986390712274,0.7456700409215522,0.8773389900416959,0.9083216312100637,0.20225044062068154,130
B0_ConstantVelocity,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.2,0.11951585740754748,0.7935777803986928,9.830437941431335,1.1947828827674736,0.7935777803986928,1.1947828827674736,0.3668440320333301,0.35147033353816576,0.6096390361079377,0.7912345144376798,0.8620233693791165,0.24159840802662355,130
B0_ConstantVelocity,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.5,0.42234378442974213,1.3997063436536785,23.80365778165591,1.0527768452859405,1.3997063436536785,1.0527768452859405,0.8249227011525201,0.8188155540453029,0.7798855518863415,0.7153755600298293,0.6954207131531136,0.3361055277734064,130
B0_ConstantVelocity,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,1.0,1.34726498584917,2.408769325293769,48.75373079436381,1.139929925382761,2.408769325293769,1.139929925382761,1.539609882502072,1.5272065602784226,1.0485281085506026,0.7148153916087862,0.8293687265211491,0.3172171278020976,130
B0_ConstantVelocity,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.1,0.04652726470853259,0.7721140708261401,4.079989141704888,1.2791110697397796,0.7721140708261401,1.2791110697397796,0.1728807527556353,0.19842436446993605,0.7258788847177335,0.8650475224468621,0.9222803865307088,0.1929165655410535,145
B0_ConstantVelocity,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.2,0.11884676879571958,0.7971254920652535,9.19772684630288,1.222449637949226,0.7971254920652535,1.222449637949226,0.3611541770902255,0.3671265156642008,0.6084363828427899,0.7745015898449645,0.9076710993152406,0.26582622165181274,145
B0_ConstantVelocity,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.5,0.3993078602473552,1.2656028528431522,23.575352716198946,1.112516132046902,1.2656028528431522,1.112516132046902,0.728026090175989,0.8280468707675315,0.6213428787391766,0.7622252444531765,0.7215439494810398,0.3688890751299062,145
B0_ConstantVelocity,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,1.0,1.2787341397036012,2.3585151488503078,48.28276805609424,1.141768257585141,2.3585151488503078,1.141768257585141,1.38298757035969,1.6838445640022406,0.9025555782704437,0.6994099977703102,0.8308229027530339,0.3524112843099185,145
B0_ConstantVelocity,17,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.1,0.04394447202845029,0.7831561171233621,3.73361836234518,1.0689733617921684,0.7831561171233621,1.0689733617921684,0.22990831832381595,0.21130203586391216,0.7182110543517288,0.6665882561416911,0.8155045627656795,0.18252795156793725,144
B0_ConstantVelocity,17,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.2,0.10925817742056379,0.7922104618598513,8.348703824195676,1.1178256395225643,0.7922104618598513,1.1178256395225643,0.3435502752698508,0.3817144067167055,0.6032120157516112,0.6247012252415227,0.8953120530625818,0.24020588501665574,144
