partition,nominal_horizon_s,steps,actual_min_s,actual_median_s,actual_max_s,actual_mean_s
train,0.1,5,0.08835699999999999,0.099767,0.110375,0.10002941077298272
train,0.2,10,0.18928999999999999,0.19958499999999998,0.22671999999999998,0.2000017406425617
train,0.5,25,0.488623,0.49903699999999995,0.523205,0.500023678082918
train,1.0,50,0.987649,0.998002,1.025178,0.9999954507828792
