experiment,partition,signal,source,frequency_hz,power
A1_longer_rollout,validation,velocity_n,pred,0.0,0.05915132269859071
A1_longer_rollout,validation,velocity_n,pred,0.390625,0.6015617937474218
A1_longer_rollout,validation,velocity_n,pred,0.78125,0.04696778384499766
A1_longer_rollout,validation,velocity_n,pred,1.171875,0.0015883772302325132
A1_longer_rollout,validation,velocity_n,pred,1.5625,0.00022570063239486159
A1_longer_rollout,validation,velocity_n,pred,1.953125,5.705728773841671e-05
A1_longer_rollout,validation,velocity_n,pred,2.34375,4.8377760425358e-05
A1_longer_rollout,validation,velocity_n,pred,2.734375,0.0001235047142995254
A1_longer_rollout,validation,velocity_n,pred,3.125,0.0003054135110311951
A1_longer_rollout,validation,velocity_n,pred,3.515625,0.0005571879049096753
A1_longer_rollout,validation,velocity_n,pred,3.90625,0.00045656977308305833
A1_longer_rollout,validation,velocity_n,pred,4.296875,0.0001464277664002179
A1_longer_rollout,validation,velocity_n,pred,4.6875,1.5248648144292647e-05
A1_longer_rollout,validation,velocity_n,pred,5.078125,6.656493164351864e-07
A1_longer_rollout,validation,velocity_n,pred,5.46875,1.5260511692497105e-07
A1_longer_rollout,validation,velocity_n,pred,5.859375,8.86569672582959e-08
A1_longer_rollout,validation,velocity_n,pred,6.25,6.284078937815892e-08
A1_longer_rollout,validation,velocity_n,pred,6.640625,5.6906696181739777e-08
A1_longer_rollout,validation,velocity_n,pred,7.03125,5.3652020347268516e-08
A1_longer_rollout,validation,velocity_n,pred,7.421875,4.653265865359765e-08
A1_longer_rollout,validation,velocity_n,pred,7.8125,3.6842110983679375e-08
A1_longer_rollout,validation,velocity_n,pred,8.203125,2.581703230154292e-08
A1_longer_rollout,validation,velocity_n,pred,8.59375,1.4872208427006895e-08
A1_longer_rollout,validation,velocity_n,pred,8.984375,9.159936514730658e-09
A1_longer_rollout,validation,velocity_n,pred,9.375,6.668220044959448e-09
A1_longer_rollout,validation,velocity_n,pred,9.765625,6.194011453068496e-09
A1_longer_rollout,validation,velocity_n,pred,10.15625,1.0193835487293022e-08
A1_longer_rollout,validation,velocity_n,pred,10.546875,1.8884619008791243e-08
A1_longer_rollout,validation,velocity_n,pred,10.9375,2.1408103969180973e-08
A1_longer_rollout,validation,velocity_n,pred,11.328125,1.571848560695594e-08
A1_longer_rollout,validation,velocity_n,pred,11.71875,9.028107890693213e-09
A1_longer_rollout,validation,velocity_n,pred,12.109375,5.111493318601555e-09
A1_longer_rollout,validation,velocity_n,pred,12.5,2.40820381698431e-09
A1_longer_rollout,validation,velocity_n,pred,12.890625,2.0571891719654595e-09
A1_longer_rollout,validation,velocity_n,pred,13.28125,2.9663461184303986e-09
A1_longer_rollout,validation,velocity_n,pred,13.671875,2.5878678068758783e-09
A1_longer_rollout,validation,velocity_n,pred,14.0625,1.329805372411779e-09
A1_longer_rollout,validation,velocity_n,pred,14.453125,1.5676966024175282e-09
A1_longer_rollout,validation,velocity_n,pred,14.84375,2.042483345778415e-09
A1_longer_rollout,validation,velocity_n,pred,15.234375,1.4196705983906034e-09
A1_longer_rollout,validation,velocity_n,pred,15.625,9.018143412169713e-10
A1_longer_rollout,validation,velocity_n,pred,16.015625,1.3065434365276756e-09
A1_longer_rollout,validation,velocity_n,pred,16.40625,2.2462151520694676e-09
A1_longer_rollout,validation,velocity_n,pred,16.796875,2.2540144274836358e-09
A1_longer_rollout,validation,velocity_n,pred,17.1875,2.118371361015521e-09
A1_longer_rollout,validation,velocity_n,pred,17.578125,2.9665062117136322e-09
A1_longer_rollout,validation,velocity_n,pred,17.96875,4.7986293411807606e-09
A1_longer_rollout,validation,velocity_n,pred,18.359375,5.057924982524564e-09
A1_longer_rollout,validation,velocity_n,pred,18.75,3.859141123295128e-09
A1_longer_rollout,validation,velocity_n,pred,19.140625,2.623261315234755e-09
A1_longer_rollout,validation,velocity_n,pred,19.53125,1.8224388696674253e-09
A1_longer_rollout,validation,velocity_n,pred,19.921875,7.47921540616292e-10
A1_longer_rollout,validation,velocity_n,pred,20.3125,5.594251998504609e-10
A1_longer_rollout,validation,velocity_n,pred,20.703125,1.2810647267515196e-09
A1_longer_rollout,validation,velocity_n,pred,21.09375,1.2072773456285516e-09
A1_longer_rollout,validation,velocity_n,pred,21.484375,5.293320878010416e-10
A1_longer_rollout,validation,velocity_n,pred,21.875,5.124817255160179e-10
A1_longer_rollout,validation,velocity_n,pred,22.265625,9.030267734300832e-10
A1_longer_rollout,validation,velocity_n,pred,22.65625,6.710280487650615e-10
A1_longer_rollout,validation,velocity_n,pred,23.046875,4.2695969465736486e-10
A1_longer_rollout,validation,velocity_n,pred,23.4375,6.539657192831519e-10
A1_longer_rollout,validation,velocity_n,pred,23.828125,9.312206185731907e-10
A1_longer_rollout,validation,velocity_n,pred,24.21875,1.0324208157336524e-09
A1_longer_rollout,validation,velocity_n,pred,24.609375,1.2356159295249547e-09
A1_longer_rollout,validation,velocity_n,pred,25.0,6.940842332628245e-10
A1_longer_rollout,validation,velocity_n,truth,0.0,0.15479131249045047
A1_longer_rollout,validation,velocity_n,truth,0.390625,1.628440134557062
A1_longer_rollout,validation,velocity_n,truth,0.78125,0.16266341266595305
A1_longer_rollout,validation,velocity_n,truth,1.171875,0.012897726495131254
A1_longer_rollout,validation,velocity_n,truth,1.5625,0.005262026078363976
A1_longer_rollout,validation,velocity_n,truth,1.953125,0.002314967295307607
A1_longer_rollout,validation,velocity_n,truth,2.34375,0.005205783144130253
A1_longer_rollout,validation,velocity_n,truth,2.734375,0.02408147774745802
A1_longer_rollout,validation,velocity_n,truth,3.125,0.07141354304227199
A1_longer_rollout,validation,velocity_n,truth,3.515625,0.13763271504286492
A1_longer_rollout,validation,velocity_n,truth,3.90625,0.14702831065945526
A1_longer_rollout,validation,velocity_n,truth,4.296875,0.07243508071175003
A1_longer_rollout,validation,velocity_n,truth,4.6875,0.012793301677616756
A1_longer_rollout,validation,velocity_n,truth,5.078125,0.0010705036144379686
A1_longer_rollout,validation,velocity_n,truth,5.46875,0.00016195918273411916
