experiment,horizon_s,signal,median,p10,p90
A1_longer_rollout,0.2,omega,0.40159368205739987,0.1960320761705799,0.6266191358050872
A1_longer_rollout,0.2,velocity,0.2677332541242311,0.13357917823936752,0.43081230683295224
A1_longer_rollout,0.2,frequency,0.17067093446945203,0.04019797395697042,0.3186197139929799
A1_longer_rollout,0.5,omega,0.3094327336994586,0.16699106395408883,0.4769207181332236
A1_longer_rollout,0.5,velocity,0.47515645381178306,0.23425208443498127,0.6899316795873629
A1_longer_rollout,0.5,frequency,0.24532903581968668,0.0822889428495426,0.47617257816593894
A1_longer_rollout,1.0,omega,0.2437273014465074,0.14511367118125804,0.3564102554265938
A1_longer_rollout,1.0,velocity,0.6367462043808956,0.329304890436378,0.9169727894521098
A1_longer_rollout,1.0,frequency,0.3427749326501279,0.13648778188544775,0.6359339462117468
A1_longer_rollout,2.0,omega,0.21842107488930118,0.1399499159623523,0.31223177309388783
A1_longer_rollout,2.0,velocity,0.66004348495477,0.356373924443779,1.1004267791424471
A1_longer_rollout,2.0,frequency,0.4913719994070145,0.208975545303501,0.7746200296137178
A1_longer_rollout,3.0,omega,0.2157013370404573,0.13532705666346673,0.3278224253375417
A1_longer_rollout,3.0,velocity,0.6114693717170434,0.3284647696713437,1.1048041133320603
A1_longer_rollout,3.0,frequency,0.5812109175657005,0.23811136454393617,0.8171262523606546
A1_longer_rollout,5.0,omega,0.206552461399692,0.1268231085563983,0.32019942941704366
A1_longer_rollout,5.0,velocity,0.5504117952498007,0.271014925329647,1.1552103626098773
A1_longer_rollout,5.0,frequency,0.640154952818955,0.28484548289084244,0.8204206093429628
A1_longer_rollout,5.0,omega_last1s,0.05771032525130601,0.04080404761288861,0.08767148652388032
