experiment,bin,horizon_s,n_rollouts,n_valid,n_failed,failure_pct,numerical_failure_pct,position_horizontal_m_finite_count,position_horizontal_m_median,position_horizontal_m_p90,position_horizontal_m_p95,position_horizontal_m_mean,position_horizontal_m_max,position_horizontal_m_rmse,position_horizontal_m_equal_log_rmse,position_vertical_m_finite_count,position_vertical_m_median,position_vertical_m_p90,position_vertical_m_p95,position_vertical_m_mean,position_vertical_m_max,position_vertical_m_rmse,position_vertical_m_equal_log_rmse,position_m_finite_count,position_m_median,position_m_p90,position_m_p95,position_m_mean,position_m_max,position_m_rmse,position_m_equal_log_rmse,velocity_m_s_finite_count,velocity_m_s_median,velocity_m_s_p90,velocity_m_s_p95,velocity_m_s_mean,velocity_m_s_max,velocity_m_s_rmse,velocity_m_s_equal_log_rmse,attitude_deg_finite_count,attitude_deg_median,attitude_deg_p90,attitude_deg_p95,attitude_deg_mean,attitude_deg_max,attitude_deg_rmse,attitude_deg_equal_log_rmse,body_rate_rad_s_finite_count,body_rate_rad_s_median,body_rate_rad_s_p90,body_rate_rad_s_p95,body_rate_rad_s_mean,body_rate_rad_s_max,body_rate_rad_s_rmse,body_rate_rad_s_equal_log_rmse,frequency_hz_finite_count,frequency_hz_median,frequency_hz_p90,frequency_hz_p95,frequency_hz_mean,frequency_hz_max,frequency_hz_rmse,frequency_hz_equal_log_rmse,phase_rad_finite_count,phase_rad_median,phase_rad_p90,phase_rad_p95,phase_rad_mean,phase_rad_max,phase_rad_rmse,phase_rad_equal_log_rmse,velocity_x_m_s_finite_count,velocity_x_m_s_median,velocity_x_m_s_p90,velocity_x_m_s_p95,velocity_x_m_s_mean,velocity_x_m_s_max,velocity_x_m_s_rmse,velocity_x_m_s_equal_log_rmse,velocity_y_m_s_finite_count,velocity_y_m_s_median,velocity_y_m_s_p90,velocity_y_m_s_p95,velocity_y_m_s_mean,velocity_y_m_s_max,velocity_y_m_s_rmse,velocity_y_m_s_equal_log_rmse,velocity_z_m_s_finite_count,velocity_z_m_s_median,velocity_z_m_s_p90,velocity_z_m_s_p95,velocity_z_m_s_mean,velocity_z_m_s_max,velocity_z_m_s_rmse,velocity_z_m_s_equal_log_rmse,body_rate_p_rad_s_finite_count,body_rate_p_rad_s_median,body_rate_p_rad_s_p90,body_rate_p_rad_s_p95,body_rate_p_rad_s_mean,body_rate_p_rad_s_max,body_rate_p_rad_s_rmse,body_rate_p_rad_s_equal_log_rmse,body_rate_q_rad_s_finite_count,body_rate_q_rad_s_median,body_rate_q_rad_s_p90,body_rate_q_rad_s_p95,body_rate_q_rad_s_mean,body_rate_q_rad_s_max,body_rate_q_rad_s_rmse,body_rate_q_rad_s_equal_log_rmse,body_rate_r_rad_s_finite_count,body_rate_r_rad_s_median,body_rate_r_rad_s_p90,body_rate_r_rad_s_p95,body_rate_r_rad_s_mean,body_rate_r_rad_s_max,body_rate_r_rad_s_rmse,body_rate_r_rad_s_equal_log_rmse,variable
A1_longer_rollout,0,0.2,234,233,1,0.4273504273504274,0.0,234,0.025628683894653698,0.05845346579801597,0.07577613517352629,0.03218592940152911,0.16180261796792364,0.04053890510378974,0.040247969828028266,234,0.09006977081298828,0.14158029556274418,0.15063563585281373,0.08805815022215883,0.19782376289367676,0.09718519488761564,0.09676178166116156,234,0.096898251882147,0.14761013969934836,0.15748512352657182,0.0985856716383941,0.22501605989597853,0.10530130546369262,0.1049542842157134,234,0.43526699375514777,0.7566822814095212,0.8869586771657068,0.4522152130747084,1.4060308748239345,0.5163254123981063,0.5168819571560054,234,3.1797465309134854,5.329872486129171,6.349282670517257,3.4227590201592406,9.639265434372753,3.7496037117722603,3.740596912910452,234,0.6760594632004082,1.1243221191845252,1.2513702971642553,0.682964521787506,2.0175261685895887,0.7550816226154178,0.7568881400261104,234,0.17555975914001465,0.3633760452270508,0.39564718008041383,0.18936591270642403,0.48413920402526855,0.22376216333634244,0.2241518621798469,234,0.20865153850905926,0.41165284309495376,0.47922651430461055,0.2278842710475395,0.6481765018466064,0.2682861427829007,0.26880731736471264,234,0.08652114868164062,0.22225186824798587,0.3106488227844236,0.11128377811147426,0.6684115529060364,0.14907433708993972,0.14862027860913413,234,0.09631592035293579,0.25850269794464126,0.33495848178863524,0.12316890347462434,0.8486509323120117,0.16614976335281023,0.16619600649965896,234,0.3568654991686344,0.7089257881045343,0.8408932402729987,0.3873638324479326,1.3381927609443665,0.46557816706443034,0.4653919199931618,234,0.36098356917500496,0.8257034871727228,0.9783573729917406,0.4184820378327575,1.6947966814041138,0.5268614084346078,0.5269824344181033,234,0.3191782496869564,0.8483792528510095,0.9743224643170834,0.3924358183449397,1.2109561562538147,0.48759412143193864,0.48495382523158154,234,0.14735897071659565,0.3887394085526467,0.46313313622958957,0.18245800003473067,0.7618905194103718,0.2341309160680183,0.235510997151626,vertical_speed
A1_longer_rollout,0,0.5,234,230,4,1.7094017094017095,0.0,234,0.10135600321311394,0.20442023795122374,0.26505978193036833,0.11705780858539429,0.4342880898399151,0.13787927685898893,0.13743802794591564,234,0.1292257308959961,0.2707872390747071,0.3192692756652832,0.14522114370623204,0.43805503845214844,0.1704948883819019,0.16921886613649093,234,0.18696020354711212,0.32504936619234626,0.37861769560561775,0.1990265488883762,0.5451572131684234,0.21926970139879087,0.21854393878007286,234,0.5941812731973575,1.0216887129030514,1.2850731386608003,0.6571884015961225,2.5587377636046966,0.7316555710419007,0.7308320480310465,234,5.944895091894148,10.507984530955639,12.26631200600395,6.330535416644082,17.968770846574905,7.052791820640086,7.056691085594582,234,0.6251824632231933,1.0447402723256587,1.1535186071441632,0.6485580493759344,1.6928383608486361,0.7126273737703497,0.7127028425991655,234,0.16106152534484863,0.3482618808746338,0.40379307270050047,0.17578485480740538,0.5238471031188965,0.21103582537784504,0.21012828164079292,234,0.2565778811394068,0.6442274141231399,0.7559797017465608,0.3026626900229434,0.9805314223293635,0.38335379876019965,0.3826467563638251,234,0.22122883796691895,0.4790432929992676,0.5880286693572998,0.2506262943562534,1.046512097120285,0.3059467660762693,0.3032398859202662,234,0.2087717056274414,0.49843993186950697,0.6211389899253845,0.2500126570001499,1.4501276016235352,0.3195760527690884,0.31623023290760444,234,0.43452203273773193,0.89291483014822,1.1269220873713492,0.4685203593819299,2.0825865268707275,0.5827414499249656,0.5829482310261842,234,0.3257565498352051,0.7938450882211328,1.0049774212762712,0.39139117044496197,1.5332745015621185,0.48905612998724185,0.4909631437367131,234,0.3688109125941992,0.7552216020645578,0.8114126332569866,0.3993321623489993,1.1992145329713821,0.47219090714379525,0.4689517730987592,234,0.13017697632312775,0.3625708550214769,0.4319632852450013,0.16538357137778026,0.707233127206564,0.2137700231076552,0.21164097731756834,vertical_speed
A1_longer_rollout,0,1.0,234,221,13,5.555555555555555,0.0,234,0.3730867372952382,0.6814636201544939,0.7777559534790323,0.40826535150045956,1.3837671142142256,0.4593758174407124,0.45640000783106116,234,0.17549514770507812,0.5555139541625977,0.6972793579101563,0.2366999209436596,1.3324127197265625,0.3197816485983389,0.31478824927731364,234,0.46159177962281855,0.8003831653781794,0.978383541036324,0.5031209272070073,1.7807623829036603,0.5597199696541068,0.5553209061168679,234,0.9704044822937115,1.6343247830748173,1.8908552761995374,1.0437206121914901,3.181174763707694,1.1473973847992343,1.1409040017366958,234,8.697266640914325,17.132555056793723,20.940138766439258,9.99169101640439,30.95430448715155,11.254844387850943,11.211475626300945,234,0.6902851051395321,1.0502495111910966,1.2135516054037068,0.6897157692547953,1.7028441364754876,0.7525345956472045,0.7537006877036019,234,0.14100313186645508,0.3151286125183106,0.35938498973846433,0.15858505424271283,0.4811728000640869,0.1928588214226908,0.19256615867828542,234,0.4120282054340194,1.056584764585766,1.3376563407846482,0.5260868732676325,1.6698367123984355,0.6564031828743969,0.6556988415589144,234,0.4362823963165283,0.9822284162044528,1.131370949745178,0.507646679559834,2.3534433841705322,0.6284994597217544,0.6235687309984052,234,0.40924763679504395,0.949465072154999,1.2965811796486375,0.4922805973647051,1.9585849046707153,0.6134480986722157,0.605418865779363,234,0.41779187321662903,1.2555401563644422,1.4836374998092647,0.567901961487503,2.3311238288879395,0.7383702445311756,0.7365639248196489,234,0.3464808277785778,0.8752584874629975,1.1177787572145461,0.4227013791230722,1.4101353287696838,0.5316627275633207,0.5334990623946947,234,0.3784078601747751,0.7478822361677885,0.819345356337726,0.4084684434147854,1.0235680732876062,0.4801058606519734,0.4782421945451546,234,0.14518665336072445,0.38471347028389585,0.47119023837149143,0.1787259227837014,0.6825747191905975,0.23052423806068562,0.2307469505256675,vertical_speed
A1_longer_rollout,0,2.0,234,184,50,21.367521367521366,0.0,234,1.5181333031804827,2.573035707628056,3.09778806204129,1.6217747381960865,5.049212651230494,1.819422469325051,1.8021152972937522,234,0.46076107025146484,1.2899913787841797,1.7047319412231443,0.5782561434639825,2.3376076221466064,0.7688710756526119,0.7588223424294777,234,1.7046356883696174,2.8353831771683597,3.2662917312830695,1.8022435643148045,5.0601419416241455,1.9752115969839967,1.9567907902567014,234,1.8809910102462823,3.354368233180258,3.9178131017969253,2.043733261366159,5.789267775990206,2.2651104876300154,2.250197718475749,234,14.027288954831791,31.15782586808538,35.29352907096456,17.248262570719305,58.08935422341532,19.85369580302914,19.6922366270501,234,0.7088324794744172,1.1050404292076914,1.2096543673479447,0.7301828379826556,1.6311327570741299,0.783545154573931,0.7841521036351584,234,0.14023542404174805,0.32719018459320076,0.3662436246871948,0.15642370525588337,0.523582935333252,0.19154503989462573,0.19168018409096482,234,0.7260575163228112,1.750380903992722,2.374507640509262,0.8885194563954136,3.102564647231439,1.1213464842741483,1.1122186664695823,234,0.9837719053030014,2.3679006852209574,2.9821031808853147,1.162196711385344,4.960639834403992,1.4759687436832314,1.4447108830371527,234,0.9714721441268921,2.4883073866367345,3.217551851272583,1.1757640804832754,4.203469634056091,1.4840184111161363,1.46715710915814,234,0.6114256829023361,1.3151739269495017,1.6865893498063087,0.703967898290079,2.6138582825660706,0.865985649020794,0.8627104818865418,234,0.34530034102499485,0.7911871071904901,1.0118559837341303,0.4057460346271117,1.6103993114084005,0.511892692819958,0.5116602434850799,234,0.4469466507434845,0.7905618689954281,0.8714931001886725,0.45996285169574425,1.117183856666088,0.5228067499650129,0.5226015537728331,234,0.18686162680387497,0.4774572262540461,0.5829897122457622,0.21717781671840283,0.8859089463949203,0.2803247803617052,0.27978301529729477,vertical_speed
A1_longer_rollout,0,3.0,234,138,96,41.02564102564102,0.0,234,3.3952961312608485,6.7449361733238895,8.08568981882813,3.8754797852349037,12.048778121160323,4.41610167521389,4.371614638060318,234,0.7567529678344727,2.0896320343017583,2.4757919311523433,0.9331881177221608,3.061532974243164,1.196467344624979,1.1840219179429536,234,3.616723652310697,6.809686910246243,8.13527522566345,4.087611639120785,12.113733648475733,4.575312897778782,4.531728326529392,234,2.59784609248847,5.906259739478795,6.761079823151648,3.12508111387395,11.055732175619765,3.617366750118611,3.586524151689011,234,22.31388978102739,49.38524248306663,55.79737716367287,26.163804289295893,101.49022580956407,31.103977909020852,30.746631754083033,234,0.6896323482339846,1.1728650092946358,1.314375549246754,0.7240712213726845,1.85410937320554,0.7936558401732754,0.7893818470058803,234,0.1470268964767456,0.31482248306274413,0.3583171844482422,0.16307624486776498,0.5087475776672363,0.19623551277408624,0.19643342737885222,234,1.0022067612845973,2.1631790448263293,2.4852380551602664,1.120918676151753,3.1374879901750394,1.3550117139889213,1.3367012515724925,234,1.5404627323150635,4.237426203489304,5.184822753816841,1.9045901778830676,8.198387622833252,2.500269890187909,2.4565450627029572,234,1.4766299724578857,4.045229601860047,5.075764513015747,1.8745009954899359,9.303249835968018,2.4708364707667805,2.4558088714418873,234,0.6004824172705412,1.4035532653331757,1.666610714420676,0.698703726966523,2.0102859884500504,0.8537914357805327,0.8472638872947439,234,0.37789486348629,0.8726320860907436,1.170431671105325,0.4483863866895947,1.8091707527637482,0.5686346346203758,0.5645815213779283,234,0.42604684503749013,0.7184432741254569,0.800915381964296,0.42160918437338507,1.1148123741149902,0.48617768781654835,0.4845779802280994,234,0.14730998687446117,0.42564554214477546,0.555052289366722,0.2005636647500846,0.9733401089906693,0.264906588858515,0.2613294761280369,vertical_speed
A1_longer_rollout,0,5.0,234,93,141,60.256410256410255,0.0,234,9.23134483009596,20.94789456331347,24.264749542505015,11.045695544592697,39.22252355606265,13.10140941892585,12.94194383824867,234,1.5543060302734375,3.232283759117127,3.805284023284912,1.7043567017102852,5.308925628662109,2.070535666414477,2.055088199388917,234,9.50025566098789,21.203481220437304,24.39911725914429,11.319383655766373,39.223016551541015,13.264013220296995,13.108948936129641,234,3.9716195346563583,9.748528600521933,11.120464400193786,4.891195268162941,14.807043287905762,5.796880740892746,5.721335680127467,234,35.137985067815606,84.34225992477727,99.9924315331103,43.82886490211734,158.93984489363507,53.001791105248714,52.08296338053022,234,0.7389733033437873,1.1617784282658496,1.4126253015224806,0.7552417147536719,2.065475514761009,0.8330787909533688,0.8235641610898956,234,0.15401172637939453,0.3235133647918701,0.3797014832496643,0.16725416264982304,0.45704221725463867,0.2020221496724411,0.2021544620201694,234,1.4272415366131916,2.8307837090903676,2.9287410468338715,1.553542482347444,3.117449080683486,1.8067158865753028,1.7742187764497355,234,2.236131727695465,6.708090853691101,8.271647441387177,2.970443072848213,12.055971145629883,3.9457358974147327,3.8843671809491767,234,2.2560603618621826,6.9974408030509965,8.588199031352996,3.1186782877661416,14.619746685028076,4.154457383810313,4.105009219915358,234,0.5724788065999746,1.4495469644665722,1.7030135445296763,0.7012449017542804,2.521513491868973,0.8806125130214505,0.8807513646808409,234,0.36523603554815054,0.8995566667988898,1.1819268591701984,0.4384896253560506,2.025121871381998,0.57534430305536,0.5631169297407423,234,0.42556853825226426,0.8097494274377823,0.9184696981217711,0.44923489823993135,1.276569951325655,0.5281852689797107,0.5245098782867574,234,0.19343449582811445,0.4554892357438805,0.5235128968954085,0.2341423199689175,0.9889628179371357,0.28986121939800663,0.2882725698911164,vertical_speed
A1_longer_rollout,1,0.2,265,262,3,1.1320754716981132,0.0,265,0.03292906626278543,0.07215390112132763,0.0873461583807841,0.0385031900512724,0.18045949871847514,0.04731036645631403,0.04693528460193725,265,0.07587242126464844,0.13438644409179687,0.14332246780395505,0.07452425147002598,0.17357635498046875,0.08620445729302881,0.08483393852927859,265,0.08836992973803305,0.13775681531118317,0.15897209881593458,0.09034229548324879,0.21715352674528146,0.09833351021608225,0.09702389773787093,265,0.58501157716627,0.9336075625085656,1.0118983124406717,0.577301804125548,1.2620903665566625,0.6353279406862403,0.6350020286349336,265,3.1248598034061037,5.937284060533988,7.080563143403818,3.4922701936006013,10.621294876807042,3.9618411274467302,3.9370754151535023,265,0.6216390993291137,1.0512446532024506,1.1540750429875564,0.6446158611362188,1.4629200595634753,0.7035228972125086,0.7027342527194388,265,0.1578655242919922,0.32953543663024903,0.37491345405578613,0.16977507393315153,0.5014591217041016,0.20473347529993488,0.2045583859606767,265,0.180030048545099,0.3678071133276688,0.40989882025979935,0.1961835001551475,0.637159318015577,0.23345156810965964,0.23348438329825139,265,0.12471067905426025,0.29007616043090817,0.3410292625427245,0.14744272736727065,0.5273842513561249,0.18091586420680747,0.18048568429893783,265,0.1197957992553711,0.2996310234069824,0.352252984046936,0.1476877980426235,0.6061358451843262,0.18586895000539708,0.18512573308638536,265,0.5277731567621231,0.8945153594017028,0.973092109709978,0.4951817968517612,1.205227717757225,0.5799687713306761,0.5798336989938155,265,0.330277219414711,0.841594775021076,1.0292322695255278,0.3873030143899773,1.4424170851707458,0.49309216259796973,0.4890988217404943,265,0.3541540652513504,0.7402292966842651,0.8287458643317223,0.3937043556925964,1.2537797316908836,0.4662131169345616,0.4678781408618196,265,0.12270289659500122,0.2958654452115297,0.3656561031937596,0.14689920052868438,0.6301156878471375,0.1856068847992987,0.18572426935463754,vertical_speed
A1_longer_rollout,1,0.5,265,256,9,3.3962264150943398,0.0,265,0.11478592734145199,0.2382766428688266,0.27846975613386704,0.13283306455572028,0.5176342086388748,0.15750876898956076,0.15704368036540262,265,0.14307403564453125,0.28188323974609375,0.3326419830322265,0.1493924730228928,0.41414546966552734,0.17869400022566456,0.17662925811482388,265,0.20363194955699135,0.3506329615719269,0.388016309667461,0.21786336789309166,0.6289057722862916,0.2382027666196525,0.23672537566191618,265,0.6352092457234907,1.0944360213652418,1.269827148427157,0.6867372385078878,1.9974090224267664,0.7535656766403285,0.7542837464386526,265,5.417934503937368,9.291815256119955,11.083666289507851,5.827620063175725,17.673348231657695,6.43766486332535,6.43265101764396,265,0.6852611524027844,1.144838367169883,1.2925704526251445,0.7142488526011718,1.9710264163334492,0.7811314665867144,0.782017872713449,265,0.12155795097351074,0.33782958984375,0.37875866889953613,0.14863208374887144,0.5258104801177979,0.18901300065530632,0.1869022866065212,265,0.2823807052960632,0.6236123750768557,0.7434826431451639,0.31238409237989645,1.0701316041901805,0.3820290204122531,0.3813735245230176,265,0.24004650115966797,0.47258348464965816,0.5784412860870359,0.266968786350961,1.338794231414795,0.32124360862247586,0.32112844137336566,265,0.23996591567993164,0.5463427543640136,0.6360473364591598,0.2827693290797607,1.6983178704977036,0.35467567013009443,0.35331568028977073,265,0.41629746556282043,0.9235322564840316,1.064479276537895,0.4824847466909801,1.6731068789958954,0.5821245072554273,0.5821149000719539,265,0.3926826808601618,0.987975463271141,1.1266004562377923,0.45583836329125643,1.6831232085824013,0.5789848843387913,0.5771251846969173,265,0.40296579897403717,0.7607403732836246,0.8445619598031043,0.4235410309827201,1.1471505407243967,0.4892598215397712,0.49144210218905277,265,0.11946339905261993,0.3272807627916336,0.3675748169422149,0.1481677201052113,0.6469204425811768,0.18859400527582781,0.18867142946346588,vertical_speed
A1_longer_rollout,1,1.0,265,241,24,9.056603773584905,0.0,265,0.41287826446407216,0.6976313412922657,0.8411303857482942,0.44004390508029156,1.5552707183942462,0.5005404911841799,0.4989241497576334,265,0.24961471557617188,0.615567684173584,0.725513458251953,0.2967877181071156,1.1279640197753906,0.3774965062495603,0.3761826686313514,265,0.5184954058119058,0.8763852856739528,1.0587001851862907,0.5661327336314801,1.6397114685134595,0.6269325287026702,0.6253442378790272,265,1.0401675910188493,1.699122472254115,2.005939826839545,1.1039543998203822,2.7303343283016286,1.1987984575515827,1.2018985026653801,265,8.368697141736597,15.026058328059051,17.434518793894775,9.131732404013606,27.736607443598626,10.218975812678016,10.22452725490364,265,0.6484901930304118,1.0916723140709663,1.1950249175478038,0.6719978743425795,1.7023048474216913,0.7373865133577241,0.7322355705147338,265,0.15000486373901367,0.3623149394989013,0.4318363189697265,0.1714992586171852,0.534085750579834,0.21302091010295068,0.21378759013936,265,0.46738778892494537,1.0708801238243184,1.2552610193592395,0.5300717318113655,1.7218325621854405,0.6522123075906667,0.6490085398867922,265,0.4659419059753418,0.9554695785045622,1.1576156616210924,0.5149269339426438,2.4074792861938477,0.6415046708045238,0.6402964308827238,265,0.4971886873245239,1.0533816814422605,1.3312248468399035,0.5539524174242649,2.439960077404976,0.6876192267850673,0.6822736239673706,265,0.5466766357421875,1.1976360380649567,1.3957846999168395,0.6129426919828819,1.942916750907898,0.7434845648159345,0.7474685459907622,265,0.31842650659382343,0.8897652350366115,1.0646041732281446,0.4038037593232661,1.6725129187107086,0.5243165831561925,0.5121503337734605,265,0.39175523817539215,0.747566729504615,0.8169049233198166,0.4046833099072518,1.1667889992240816,0.47096009329316196,0.47041580044007186,265,0.11743117263540626,0.3622822746634483,0.4600694302469492,0.16504461953025487,0.6659292429685593,0.21685843593130708,0.21679231279691852,vertical_speed
A1_longer_rollout,1,2.0,265,202,63,23.77358490566038,0.0,265,1.4727693161845288,2.82105167291256,3.535590243507076,1.6655058133437506,5.863671152346796,1.9003151156545144,1.8832044291508923,265,0.4820995330810547,1.3744701385498046,1.565999603271484,0.6284353087533195,2.5177783966064453,0.7993809122483252,0.7991908901548787,265,1.6522247557566083,2.9343923604691056,3.658986450774216,1.8590646375370652,5.9207100441208445,2.0616031096338583,2.048275109578005,265,1.6721226874583481,3.30732683897232,3.929127619649568,1.94207677503825,6.705802692283001,2.2115808515637294,2.1867268276028,265,14.097468895384361,29.639852084352214,32.64529338064614,16.065002455021293,68.67686960455096,18.736391088365927,18.62940857201588,265,0.6896810817964855,1.1733755426416812,1.3952650057647256,0.7144460884370477,1.839876683678719,0.7917133954703732,0.7880333444215419,265,0.14201569557189941,0.32997775077819824,0.37406778335571284,0.1658819927359527,0.50138258934021,0.2026287680451332,0.20181233373427743,265,0.6598617807619007,1.4877695112481775,1.8872000267530367,0.7497824975666592,2.7546972491727573,0.9424247569638825,0.9238403164308157,265,0.897885799407959,2.2637197077274323,2.6042847633361816,1.0630850008917305,6.691397666931152,1.4093142679930313,1.3806911091615173,265,0.9538087844848633,2.611696684360504,2.9740509033203115,1.1926454037427903,5.32999312877655,1.5333702108188494,1.5143561634625784,265,0.4942657947540283,1.2343396544456482,1.3885403752326964,0.5868374152917345,2.4260147511959076,0.7441095037747976,0.7419650406638422,265,0.3667062744498253,1.0607732385396955,1.2053777642548085,0.46373973254922707,1.737398128490895,0.5991942150054212,0.5908516553172174,265,0.3844301775097847,0.7150119403377175,0.7882259123027323,0.383321773543743,1.0576063003391027,0.45495666397672274,0.4547805936009558,265,0.15012021455913782,0.43607100993394854,0.5064967527985571,0.19125296275377415,0.7265869677066803,0.24655795905716751,0.24544282632973896,vertical_speed
