experiment,log_id,metric,n,rmse
R3-max,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,position_horizontal_m,7841,0.0063510136893259175
R3-max,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,position_vertical_m,7841,0.0025816198704605837
R3-max,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,position_m,7841,0.006855664521952787
R3-max,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_m_s,7841,0.13922809767396221
R3-max,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,attitude_deg,7841,0.5365316738913781
R3-max,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_rad_s,7841,0.516604540745016
R3-max,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,frequency_hz,7841,0.10406999333678019
R3-max,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,phase_rad,7841,0.04127726309823528
R3-max,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_x_m_s,7841,0.04808357181186307
R3-max,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_y_m_s,7841,0.051196817286400846
R3-max,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_z_m_s,7841,0.12021363983952343
R3-max,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_p_rad_s,7841,0.3917088358771797
R3-max,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_q_rad_s,7841,0.3258134928932969
R3-max,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_r_rad_s,7841,0.08538153935590026
R3-max,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,position_horizontal_m,7391,0.0023758456739896992
R3-max,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,position_vertical_m,7391,0.0035727634078136757
R3-max,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,position_m,7391,0.004290603807720768
