kind,condition,seed,group,group_rule,step,horizon_s,metric,cohort,value,n_flights,n_origins
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,attitude_error_deg,ALL,1.3845081999116717,17,2582
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,attitude_error_deg,Sep17,1.4554005293162402,8,1101
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,attitude_error_deg,Sep7,1.3214927959964997,9,1481
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,body_rate_rmse_rad_s,ALL,0.5438908711237967,17,2582
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,body_rate_rmse_rad_s,Sep17,0.5271383388882338,8,1101
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,body_rate_rmse_rad_s,Sep7,0.5587820108887416,9,1481
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,position_rmse_m,ALL,0.03536245183250302,17,2582
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,position_rmse_m,Sep17,0.018732196056148013,8,1101
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,position_rmse_m,Sep7,0.05014490141148525,9,1481
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,velocity_rmse_m_s,ALL,0.14035855362762464,17,2582
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,velocity_rmse_m_s,Sep17,0.14915633314651408,8,1101
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,velocity_rmse_m_s,Sep7,0.13253830516638956,9,1481
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,ALL,2.153924950052745,17,2582
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,Sep17,2.315408116422238,8,1101
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,Sep7,2.0103843577243063,9,1481
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,10,0.2,body_rate_rmse_rad_s,ALL,0.5642465257049663,17,2582
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,10,0.2,body_rate_rmse_rad_s,Sep17,0.5362156869348988,8,1101
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,10,0.2,body_rate_rmse_rad_s,Sep7,0.5891628268339152,9,1481
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,10,0.2,position_rmse_m,ALL,0.07037190053473638,17,2582
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,10,0.2,position_rmse_m,Sep17,0.04013913313889044,8,1101
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,10,0.2,position_rmse_m,Sep7,0.0972454715532661,9,1481
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,10,0.2,velocity_rmse_m_s,ALL,0.191337249956398,17,2582
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,10,0.2,velocity_rmse_m_s,Sep17,0.21956426359757703,8,1101
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,10,0.2,velocity_rmse_m_s,Sep7,0.16624657116423888,9,1481
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,ALL,4.033739771723627,17,2582
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,Sep17,4.526343428566672,8,1101
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,Sep7,3.59586985452981,9,1481
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,ALL,0.5987111840019169,17,2582
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,Sep17,0.5620904662494559,8,1101
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,Sep7,0.6312629331152158,9,1481
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,25,0.5,position_rmse_m,ALL,0.19181756174914597,17,2582
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,25,0.5,position_rmse_m,Sep17,0.12703654598931657,8,1101
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,25,0.5,position_rmse_m,Sep7,0.2494006868689943,9,1481
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,ALL,0.35120971804692896,17,2582
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,Sep17,0.361042288138236,8,1101
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,Sep7,0.34246965574354493,9,1481
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,50,1.0,attitude_error_deg,ALL,6.74367049469998,17,2582
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,50,1.0,attitude_error_deg,Sep17,7.675610016839577,8,1101
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,50,1.0,attitude_error_deg,Sep7,5.915279808353674,9,1481
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,50,1.0,body_rate_rmse_rad_s,ALL,0.6179617016979126,17,2582
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,50,1.0,body_rate_rmse_rad_s,Sep17,0.6087628786367514,8,1101
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,50,1.0,body_rate_rmse_rad_s,Sep7,0.6261384333078338,9,1481
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,50,1.0,position_rmse_m,ALL,0.4710118358619498,17,2582
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,50,1.0,position_rmse_m,Sep17,0.3575994088262163,8,1101
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,50,1.0,position_rmse_m,Sep7,0.5718228821159352,9,1481
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,50,1.0,velocity_rmse_m_s,ALL,0.6397393092867327,17,2582
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,50,1.0,velocity_rmse_m_s,Sep17,0.6744544644740484,8,1101
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,50,1.0,velocity_rmse_m_s,Sep7,0.6088813935646744,9,1481
endpoint,Actual,17,high,horizon_specific_train_quantiles,5,0.1,attitude_error_deg,ALL,1.615567503675407,17,608
endpoint,Actual,17,high,horizon_specific_train_quantiles,5,0.1,attitude_error_deg,Sep17,1.7979674408837363,8,294
endpoint,Actual,17,high,horizon_specific_train_quantiles,5,0.1,attitude_error_deg,Sep7,1.453434226156892,9,314
endpoint,Actual,17,high,horizon_specific_train_quantiles,5,0.1,body_rate_rmse_rad_s,ALL,0.5813509762968778,17,608
endpoint,Actual,17,high,horizon_specific_train_quantiles,5,0.1,body_rate_rmse_rad_s,Sep17,0.6134338447000084,8,294
endpoint,Actual,17,high,horizon_specific_train_quantiles,5,0.1,body_rate_rmse_rad_s,Sep7,0.5528328710496508,9,314
endpoint,Actual,17,high,horizon_specific_train_quantiles,5,0.1,position_rmse_m,ALL,0.040756671931687,17,608
endpoint,Actual,17,high,horizon_specific_train_quantiles,5,0.1,position_rmse_m,Sep17,0.0212548182462887,8,294
endpoint,Actual,17,high,horizon_specific_train_quantiles,5,0.1,position_rmse_m,Sep7,0.05809165298537438,9,314
endpoint,Actual,17,high,horizon_specific_train_quantiles,5,0.1,velocity_rmse_m_s,ALL,0.18738360302811255,17,608
endpoint,Actual,17,high,horizon_specific_train_quantiles,5,0.1,velocity_rmse_m_s,Sep17,0.2004592091342266,8,294
endpoint,Actual,17,high,horizon_specific_train_quantiles,5,0.1,velocity_rmse_m_s,Sep7,0.17576084204490006,9,314
endpoint,Actual,17,high,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,ALL,2.7038847273240285,17,503
endpoint,Actual,17,high,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,Sep17,2.9931221184265566,8,272
endpoint,Actual,17,high,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,Sep7,2.4467848241217816,9,231
endpoint,Actual,17,high,horizon_specific_train_quantiles,10,0.2,body_rate_rmse_rad_s,ALL,0.6131336194713835,17,503
endpoint,Actual,17,high,horizon_specific_train_quantiles,10,0.2,body_rate_rmse_rad_s,Sep17,0.5943835042061636,8,272
endpoint,Actual,17,high,horizon_specific_train_quantiles,10,0.2,body_rate_rmse_rad_s,Sep7,0.6298003885960233,9,231
endpoint,Actual,17,high,horizon_specific_train_quantiles,10,0.2,position_rmse_m,ALL,0.08473337280567761,17,503
endpoint,Actual,17,high,horizon_specific_train_quantiles,10,0.2,position_rmse_m,Sep17,0.0500539173998452,8,272
endpoint,Actual,17,high,horizon_specific_train_quantiles,10,0.2,position_rmse_m,Sep7,0.11555955538863974,9,231
endpoint,Actual,17,high,horizon_specific_train_quantiles,10,0.2,velocity_rmse_m_s,ALL,0.2700302795524556,17,503
endpoint,Actual,17,high,horizon_specific_train_quantiles,10,0.2,velocity_rmse_m_s,Sep17,0.3062268330317962,8,272
endpoint,Actual,17,high,horizon_specific_train_quantiles,10,0.2,velocity_rmse_m_s,Sep7,0.23785556534859736,9,231
endpoint,Actual,17,high,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,ALL,5.039307919635567,17,454
endpoint,Actual,17,high,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,Sep17,5.659066925227521,8,269
endpoint,Actual,17,high,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,Sep7,4.488411025776051,9,185
endpoint,Actual,17,high,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,ALL,0.6694277184026896,17,454
endpoint,Actual,17,high,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,Sep17,0.6263673550580322,8,269
endpoint,Actual,17,high,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,Sep7,0.7077035969312738,9,185
endpoint,Actual,17,high,horizon_specific_train_quantiles,25,0.5,position_rmse_m,ALL,0.22609865836289977,17,454
endpoint,Actual,17,high,horizon_specific_train_quantiles,25,0.5,position_rmse_m,Sep17,0.16343878699018605,8,269
endpoint,Actual,17,high,horizon_specific_train_quantiles,25,0.5,position_rmse_m,Sep7,0.281796321805312,9,185
endpoint,Actual,17,high,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,ALL,0.49258926567449396,17,454
endpoint,Actual,17,high,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,Sep17,0.47529803003389925,8,269
endpoint,Actual,17,high,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,Sep7,0.5079592529105781,9,185
endpoint,Actual,17,high,horizon_specific_train_quantiles,50,1.0,attitude_error_deg,ALL,8.101234287675867,17,468
endpoint,Actual,17,high,horizon_specific_train_quantiles,50,1.0,attitude_error_deg,Sep17,8.991034890633312,8,273
endpoint,Actual,17,high,horizon_specific_train_quantiles,50,1.0,attitude_error_deg,Sep7,7.310300418380361,9,195
endpoint,Actual,17,high,horizon_specific_train_quantiles,50,1.0,body_rate_rmse_rad_s,ALL,0.6598589623857691,17,468
endpoint,Actual,17,high,horizon_specific_train_quantiles,50,1.0,body_rate_rmse_rad_s,Sep17,0.6655303678100017,8,273
endpoint,Actual,17,high,horizon_specific_train_quantiles,50,1.0,body_rate_rmse_rad_s,Sep7,0.6548177131197845,9,195
endpoint,Actual,17,high,horizon_specific_train_quantiles,50,1.0,position_rmse_m,ALL,0.5861822148626303,17,468
endpoint,Actual,17,high,horizon_specific_train_quantiles,50,1.0,position_rmse_m,Sep17,0.44958736400820754,8,273
