step,horizon_s,group,cohort,grouping_available,n_origins,n_flights,E_mean,E_std,E_min,E_p05,E_p25,E_median,E_p75,E_p95,E_max
5,0.1,ALL,ALL,True,2582,17,0.10366905871785966,0.05919899710376978,0.017784161873161914,0.04546231737902467,0.06815555443119464,0.09122803574054347,0.12316684986961,0.19378438743356705,0.9350016963312413
5,0.1,ALL,Sep7,True,1481,9,0.09933320712931211,0.056039378445935525,0.017784161873161914,0.04335076261506518,0.06442203327134333,0.0869120244453092,0.11794064923355593,0.19373652433746236,0.9350016963312413
5,0.1,ALL,Sep17,True,1101,8,0.10950138951044724,0.06275541101789782,0.025145832490132344,0.0488738628861356,0.07398355308648076,0.09616482017228793,0.1286635900143214,0.19378690654388836,0.6735415694676972
5,0.1,low,ALL,True,684,17,0.054647832936294057,0.010337828143815302,0.017784161873161914,0.03460079731037013,0.0478910615347748,0.056057507697226165,0.06268794035546753,0.06830741067671353,0.0695011031570002
5,0.1,low,Sep7,True,456,9,0.05406763073518228,0.010592306996761277,0.017784161873161914,0.03381284356550517,0.046927842089412614,0.05557880772102523,0.0624446488354705,0.0681199114131274,0.0694435266111069
5,0.1,low,Sep17,True,228,8,0.055808237338517586,0.009728142884960529,0.025145832490132344,0.037004534780523506,0.04899930320617406,0.05713564980356492,0.06377046309770545,0.06858617710349799,0.0695011031570002
5,0.1,middle,ALL,True,1290,17,0.09420538573443009,0.01517138398131141,0.0695158993733983,0.07216998124169755,0.08154601568451798,0.09264108512552993,0.10606901309145056,0.12060076074091595,0.12587271454544527
5,0.1,middle,Sep7,True,711,9,0.09358343303945033,0.015206158530722868,0.0695158993733983,0.07223022053586944,0.0809097662300506,0.09174038344509174,0.1049998605365561,0.12054547932151385,0.12569550646553318
5,0.1,middle,Sep17,True,579,8,0.09496913075365394,0.015106665723922245,0.0695349942412733,0.0721355013201435,0.08282273097565113,0.0936907006248793,0.10666282170788316,0.12072981588066414,0.12587271454544527
5,0.1,high,ALL,True,608,17,0.17889711230867383,0.07566743498289377,0.12594909256579256,0.12802523503432242,0.1391652970678219,0.15596566424361125,0.18760877610276408,0.30453226298987657,0.9350016963312413
5,0.1,high,Sep7,True,314,9,0.17808859634464627,0.06985138326512476,0.12594909256579256,0.12794438988389417,0.1415392014731977,0.15835612779527752,0.18981647743610391,0.28991775873914943,0.9350016963312413
5,0.1,high,Sep17,True,294,8,0.17976062935868967,0.08153385237883129,0.12595562269339003,0.1284304915741178,0.13669481436145725,0.15331530167742047,0.1847602703612054,0.3164568098206753,0.6735415694676972
10,0.2,ALL,ALL,True,2582,17,0.1562123748217214,0.09203584508002144,0.0257251813105653,0.07101105116770937,0.10327283475717752,0.13474562057311418,0.18007962133121486,0.30478530363778533,1.090834291298004
10,0.2,ALL,Sep7,True,1481,9,0.14611968606161208,0.08721472667397126,0.0257251813105653,0.06503869619374465,0.09610831008070833,0.1264870570841259,0.1690820150674511,0.28295277080785675,1.090834291298004
10,0.2,ALL,Sep17,True,1101,8,0.1697884620639756,0.09653704894918215,0.04317022574437613,0.08614031473071718,0.11339372823795942,0.146105026319303,0.19262433861828276,0.31402450846791846,0.9757634682554164
10,0.2,low,ALL,True,787,17,0.0877681987543407,0.01608109865040663,0.0257251813105653,0.05777851001740597,0.07732529907733585,0.09076213487430669,0.10108444124025348,0.10842650237093596,0.11005369881157138
10,0.2,low,Sep7,True,547,9,0.08529033637723842,0.01640415948807712,0.0257251813105653,0.055506117507434005,0.07471404915903096,0.08734064532822436,0.09867117773692144,0.10740958225376293,0.11005369881157138
10,0.2,low,Sep17,True,240,8,0.09341566008881967,0.013770581937049775,0.04317022574437613,0.06422769770214116,0.08734405814777231,0.09617864082045108,0.10419092217392902,0.10895198990772424,0.10995868216408868
10,0.2,middle,ALL,True,1292,17,0.14588558436458568,0.023645513899066377,0.1104324197839043,0.11305214470235771,0.12556616945200946,0.1432101041761713,0.165498001744823,0.18740486306246823,0.19349850889474532
10,0.2,middle,Sep7,True,703,9,0.1450818824293381,0.023555646490152717,0.1104324197839043,0.11320004313537076,0.12480765792565292,0.14233291327793396,0.16344460248984394,0.1884560074112758,0.19326797456375802
