step,horizon_s,group,flight_id,cohort,n_origins
5,0.1,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168
5,0.1,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182
5,0.1,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160
5,0.1,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161
5,0.1,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150
5,0.1,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155
5,0.1,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140
5,0.1,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201
5,0.1,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164
5,0.1,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130
5,0.1,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145
5,0.1,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144
5,0.1,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153
5,0.1,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138
5,0.1,ALL,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131
5,0.1,ALL,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146
5,0.1,ALL,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114
5,0.1,low,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,72
5,0.1,low,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,60
5,0.1,low,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,43
5,0.1,low,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,46
5,0.1,low,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,39
5,0.1,low,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,44
5,0.1,low,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,42
5,0.1,low,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,54
5,0.1,low,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,56
5,0.1,low,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,24
5,0.1,low,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,33
5,0.1,low,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,36
5,0.1,low,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,25
5,0.1,low,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,24
5,0.1,low,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,30
5,0.1,low,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,30
5,0.1,low,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,26
5,0.1,middle,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,80
5,0.1,middle,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,91
5,0.1,middle,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,85
5,0.1,middle,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,84
5,0.1,middle,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,74
5,0.1,middle,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,66
5,0.1,middle,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,70
5,0.1,middle,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,90
5,0.1,middle,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,71
5,0.1,middle,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,77
5,0.1,middle,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,82
5,0.1,middle,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,82
5,0.1,middle,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,72
5,0.1,middle,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,72
