kind,cohort,group,step,condition,attitude_error_deg,body_rate_rmse_rad_s,position_rmse_m,velocity_rmse_m_s
endpoint,ALL,ALL,5,Actual,1.40739 ± 0.02065,0.54533 ± 0.00264,0.03534 ± 0.00016,0.14493 ± 0.00456
endpoint,ALL,ALL,5,Hold,1.52534 ± 0.01911,0.54439 ± 0.00123,0.03538 ± 0.00016,0.14837 ± 0.00472
endpoint,ALL,ALL,10,Actual,2.19649 ± 0.03851,0.56628 ± 0.00285,0.07038 ± 0.00050,0.19543 ± 0.00377
endpoint,ALL,ALL,10,Hold,2.39426 ± 0.02490,0.58221 ± 0.00539,0.07096 ± 0.00053,0.20832 ± 0.00436
endpoint,ALL,ALL,25,Actual,4.07840 ± 0.04607,0.59658 ± 0.00281,0.19240 ± 0.00186,0.35729 ± 0.00716
endpoint,ALL,ALL,25,Hold,4.70068 ± 0.06310,0.64385 ± 0.00929,0.20259 ± 0.00228,0.43269 ± 0.00802
endpoint,ALL,ALL,50,Actual,6.69249 ± 0.13211,0.62107 ± 0.01084,0.47401 ± 0.00635,0.64775 ± 0.00702
endpoint,ALL,ALL,50,Hold,8.10351 ± 0.15571,0.79634 ± 0.00729,0.53543 ± 0.00758,0.84772 ± 0.00877
endpoint,ALL,high,5,Actual,1.63623 ± 0.02169,0.58600 ± 0.00405,0.04069 ± 0.00022,0.19277 ± 0.00564
endpoint,ALL,high,5,Hold,1.86780 ± 0.01228,0.58372 ± 0.00499,0.04076 ± 0.00021,0.19644 ± 0.00563
endpoint,ALL,high,10,Actual,2.76887 ± 0.06452,0.61515 ± 0.00193,0.08478 ± 0.00087,0.27384 ± 0.00363
endpoint,ALL,high,10,Hold,3.10241 ± 0.05121,0.63367 ± 0.00339,0.08565 ± 0.00086,0.28617 ± 0.00414
endpoint,ALL,high,25,Actual,5.06294 ± 0.02050,0.66879 ± 0.00277,0.22688 ± 0.00220,0.50810 ± 0.01441
endpoint,ALL,high,25,Hold,6.14294 ± 0.00360,0.72290 ± 0.00826,0.24185 ± 0.00245,0.61156 ± 0.00777
endpoint,ALL,high,50,Actual,8.10050 ± 0.06090,0.65913 ± 0.00792,0.59410 ± 0.00697,0.83303 ± 0.02669
endpoint,ALL,high,50,Hold,10.49564 ± 0.08554,0.87891 ± 0.00530,0.67903 ± 0.00299,1.13170 ± 0.02197
endpoint,ALL,low,5,Actual,1.24759 ± 0.03171,0.51550 ± 0.00209,0.02989 ± 0.00009,0.11578 ± 0.00396
endpoint,ALL,low,5,Hold,1.26962 ± 0.02997,0.51802 ± 0.00094,0.02989 ± 0.00009,0.11742 ± 0.00381
endpoint,ALL,low,10,Actual,1.91262 ± 0.03495,0.56635 ± 0.00359,0.06654 ± 0.00032,0.15708 ± 0.00237
endpoint,ALL,low,10,Hold,1.97321 ± 0.02730,0.57666 ± 0.00617,0.06693 ± 0.00037,0.16584 ± 0.00193
endpoint,ALL,low,25,Actual,3.40530 ± 0.04863,0.55851 ± 0.00483,0.18298 ± 0.00320,0.29291 ± 0.01103
endpoint,ALL,low,25,Hold,3.76577 ± 0.10836,0.58094 ± 0.01154,0.18998 ± 0.00422,0.33363 ± 0.01735
endpoint,ALL,low,50,Actual,5.76448 ± 0.19380,0.59792 ± 0.01318,0.45336 ± 0.00980,0.57435 ± 0.01559
endpoint,ALL,low,50,Hold,6.84211 ± 0.28934,0.67043 ± 0.01960,0.49201 ± 0.01750,0.67576 ± 0.03970
endpoint,ALL,middle,5,Actual,1.35065 ± 0.02717,0.53126 ± 0.00337,0.03442 ± 0.00014,0.12096 ± 0.00441
endpoint,ALL,middle,5,Hold,1.44281 ± 0.02889,0.52785 ± 0.00178,0.03446 ± 0.00015,0.12487 ± 0.00469
endpoint,ALL,middle,10,Actual,2.06117 ± 0.02038,0.54110 ± 0.00471,0.06321 ± 0.00051,0.16759 ± 0.00651
endpoint,ALL,middle,10,Hold,2.23834 ± 0.00629,0.55804 ± 0.00672,0.06374 ± 0.00056,0.18259 ± 0.00670
endpoint,ALL,middle,25,Actual,3.97694 ± 0.04722,0.57555 ± 0.00416,0.18354 ± 0.00133,0.32167 ± 0.00384
endpoint,ALL,middle,25,Hold,4.51025 ± 0.06788,0.62876 ± 0.00960,0.19231 ± 0.00185,0.39621 ± 0.00539
endpoint,ALL,middle,50,Actual,6.63321 ± 0.15117,0.61010 ± 0.01353,0.41895 ± 0.00589,0.60572 ± 0.00632
endpoint,ALL,middle,50,Hold,7.73444 ± 0.17421,0.81754 ± 0.00417,0.47777 ± 0.00729,0.80278 ± 0.01068
endpoint,Sep17,ALL,5,Actual,1.46983 ± 0.01253,0.52739 ± 0.00274,0.01878 ± 0.00029,0.15328 ± 0.00483
endpoint,Sep17,ALL,5,Hold,1.61630 ± 0.01134,0.53535 ± 0.00073,0.01888 ± 0.00030,0.15992 ± 0.00562
endpoint,Sep17,ALL,10,Actual,2.37616 ± 0.05668,0.53703 ± 0.00071,0.04038 ± 0.00083,0.22053 ± 0.00090
endpoint,Sep17,ALL,10,Hold,2.68623 ± 0.04133,0.55581 ± 0.00320,0.04160 ± 0.00091,0.24609 ± 0.00336
endpoint,Sep17,ALL,25,Actual,4.56951 ± 0.10540,0.56092 ± 0.00459,0.12928 ± 0.00402,0.37361 ± 0.01431
endpoint,Sep17,ALL,25,Hold,5.32337 ± 0.09602,0.63659 ± 0.01228,0.14690 ± 0.00449,0.48722 ± 0.01366
endpoint,Sep17,ALL,50,Actual,7.56542 ± 0.35082,0.61737 ± 0.01608,0.36817 ± 0.01415,0.68817 ± 0.01189
endpoint,Sep17,ALL,50,Hold,8.82203 ± 0.20027,0.87253 ± 0.00481,0.46170 ± 0.01386,0.96991 ± 0.01129
