kind,condition,seed,group,group_rule,step,horizon_s,flight_id,cohort,n_origins,metric,value
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,attitude_error_deg,1.259540986268535
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,body_rate_rmse_rad_s,0.5528062519712668
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,position_rmse_m,0.059075009979905155
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,velocity_rmse_m_s,0.09883831951477882
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,attitude_error_deg,1.2146077739879366
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,body_rate_rmse_rad_s,0.5445749022317898
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,position_rmse_m,0.08520116605069258
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,velocity_rmse_m_s,0.11586115213308812
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,attitude_error_deg,1.2225402637720633
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,body_rate_rmse_rad_s,0.5449412823835681
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,position_rmse_m,0.0392252047248909
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,velocity_rmse_m_s,0.09883087135281901
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,attitude_error_deg,1.2962024433458859
