kind,seed,group,group_rule,step,horizon_s,metric,cohort,actual,n_flights,n_origins,hold,absolute_gain,relative_gain_pct,level,flight_id,seeds_improved,seeds_worse,n_seeds,flights_improved,flights_worse,flights_tied
endpoint,,high,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,ALL,0.6687925217397872,17.0,454,0.7228969522664789,0.0541044305266916,7.484390459395291,macro,,3.0,0.0,3.0,14.0,3.0,0.0
endpoint,,high,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,Sep17,0.6269487031941505,8.0,269,0.7090763626603743,0.0821276594662238,11.582343424633436,macro,,3.0,0.0,3.0,7.0,1.0,0.0
endpoint,,high,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,Sep7,0.7059870271136863,9.0,185,0.7351819208052383,0.0291948936915519,3.97111148483834,macro,,3.0,0.0,3.0,7.0,2.0,0.0
endpoint,,high,horizon_specific_train_quantiles,25,0.5,position_rmse_m,ALL,0.2268758693142784,17.0,454,0.2418486835420481,0.0149728142277697,6.190984382665269,macro,,3.0,0.0,3.0,14.0,3.0,0.0
endpoint,,high,horizon_specific_train_quantiles,25,0.5,position_rmse_m,Sep17,0.1679558414576638,8.0,269,0.1945357318088035,0.0265798903511396,13.663243304455415,macro,,3.0,0.0,3.0,8.0,0.0,0.0
endpoint,,high,horizon_specific_train_quantiles,25,0.5,position_rmse_m,Sep7,0.2792492274090468,9.0,185,0.2839046406382655,0.0046554132292186,1.6397806033577127,macro,,3.0,0.0,3.0,6.0,3.0,0.0
endpoint,,high,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,ALL,0.5080968531719824,17.0,454,0.6115640354859735,0.1034671823139911,16.91845437440936,macro,,3.0,0.0,3.0,15.0,2.0,0.0
endpoint,,high,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,Sep17,0.506142872395544,8.0,269,0.6675328180902614,0.1613899456947174,24.17708033538133,macro,,3.0,0.0,3.0,8.0,0.0,0.0
endpoint,,high,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,Sep7,0.509833724973261,9.0,185,0.5618140065043842,0.0519802815311232,9.252222431146809,macro,,3.0,0.0,3.0,7.0,2.0,0.0
endpoint,,low,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,ALL,3.405298040524684,17.0,888,3.7657719627954567,0.3604739222707729,9.57237787715593,macro,,3.0,0.0,3.0,17.0,0.0,0.0
endpoint,,low,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,Sep17,3.4612998319076085,8.0,201,3.7940841222882056,0.3327842903805971,8.771136317870978,macro,,3.0,0.0,3.0,8.0,0.0,0.0
endpoint,,low,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,Sep7,3.355518670406528,9.0,687,3.7406055988019022,0.3850869283953742,10.294774956192004,macro,,3.0,0.0,3.0,9.0,0.0,0.0
endpoint,,low,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,ALL,0.5585118319023715,17.0,888,0.580942611792049,0.0224307798896774,3.861100810024012,macro,,3.0,0.0,3.0,14.0,3.0,0.0
endpoint,,low,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,Sep17,0.4989256438884084,8.0,201,0.5237629260122297,0.0248372821238213,4.742084804078213,macro,,3.0,0.0,3.0,6.0,2.0,0.0
endpoint,,low,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,Sep7,0.6114773323592279,9.0,687,0.6317689991518881,0.0202916667926602,3.21188073803884,macro,,3.0,0.0,3.0,8.0,1.0,0.0
endpoint,,low,horizon_specific_train_quantiles,25,0.5,position_rmse_m,ALL,0.1829775615797006,17.0,888,0.189980545543992,0.0070029839642914,3.686158466509824,macro,,3.0,0.0,3.0,16.0,1.0,0.0
endpoint,,low,horizon_specific_train_quantiles,25,0.5,position_rmse_m,Sep17,0.1168505530588047,8.0,201,0.1283229992667069,0.0114724462079022,8.940288392151661,macro,,3.0,0.0,3.0,8.0,0.0,0.0
endpoint,,low,horizon_specific_train_quantiles,25,0.5,position_rmse_m,Sep7,0.2417571247093859,9.0,687,0.2447872533460232,0.0030301286366372,1.2378621007499937,macro,,3.0,0.0,3.0,8.0,1.0,0.0
