step,group,cohort,n_origins,elapsed_mean_s,elapsed_std_s,elapsed_min_s,elapsed_p05_s,elapsed_p25_s,elapsed_median_s,elapsed_p75_s,elapsed_p95_s,elapsed_max_s
1,ALL,ALL,2582,0.01999577226955848,0.0038324252398375643,0.009439,0.00998905,0.019708,0.019868,0.019981,0.029610849999999998,0.030167
1,ALL,Sep7,1481,0.020014180958811613,0.0038015821789325723,0.009439,0.010022999999999999,0.019705999999999998,0.019864,0.019984,0.029637,0.030167
1,ALL,Sep17,1101,0.019971009990917346,0.0038751207785154137,0.009629,0.009972,0.019711,0.019871,0.019978,0.029575999999999998,0.030149
1,low,ALL,888,0.019993362612612614,0.0035977685820909083,0.009439,0.010060699999999999,0.019714,0.019895,0.019986999999999998,0.02964225,0.030167
1,low,Sep7,687,0.020028928675400293,0.0036005107079245227,0.009439,0.0100821,0.019712999999999998,0.019891,0.0199885,0.0296191,0.030167
1,low,Sep17,201,0.019871800995024873,0.0035946848137491843,0.00979,0.010043,0.019715999999999997,0.019908,0.019982,0.029708,0.029996
1,middle,ALL,1240,0.01994331129032258,0.003933652340093301,0.009524,0.009966,0.01970375,0.019837,0.019974,0.02958715,0.030157
1,middle,Sep7,609,0.01992666338259442,0.00392870870961302,0.009524,0.009977199999999999,0.019698999999999998,0.019813,0.019978,0.029630599999999997,0.030157
1,middle,Sep17,631,0.019959378763866876,0.003941467599619448,0.009692,0.009964,0.019711,0.019854999999999998,0.019972499999999997,0.0295665,0.030149
1,high,ALL,454,0.02014377092511013,0.003998328113120312,0.009555,0.009987300000000001,0.019705999999999998,0.019823,0.019982999999999997,0.0296428,0.030053
1,high,Sep7,185,0.02024751351351351,0.0041024263699352735,0.009555,0.010123,0.019704,0.019811,0.019976,0.0296802,0.030001
1,high,Sep17,269,0.020072423791821566,0.003931256288554272,0.009629,0.0099784,0.019709,0.019826,0.019986,0.029617599999999997,0.030053
2,ALL,ALL,2582,0.04004786444616576,0.004066960812606996,0.029095,0.02995105,0.039425,0.0397,0.039936,0.049379,0.050233
2,ALL,Sep7,1481,0.040026689399054696,0.003944689981748948,0.029095,0.02998,0.039418999999999996,0.039654999999999996,0.039928,0.04936,0.050233
2,ALL,Sep17,1101,0.04007634786557675,0.004227503574512491,0.029311999999999998,0.029933999999999995,0.039430999999999994,0.03981899999999999,0.039941,0.049520999999999996,0.050169
2,low,ALL,888,0.03997556981981982,0.003885426837396528,0.029095,0.0299906,0.03942475,0.03967949999999999,0.0399435,0.049400099999999995,0.050233
2,low,Sep7,687,0.03999915866084425,0.003800577007693452,0.029095,0.0300676,0.039424,0.039639999999999995,0.039941500000000005,0.04933669999999999,0.050233
2,low,Sep17,201,0.03989494527363184,0.004171387746540718,0.029496,0.029963999999999998,0.039430999999999994,0.039837,0.039944999999999994,0.04982399999999999,0.049990999999999994
2,middle,ALL,1240,0.04001800564516129,0.004063381785443002,0.0292,0.029939900000000002,0.039428,0.039724499999999996,0.039930999999999994,0.04935414999999999,0.050186999999999996
2,middle,Sep7,609,0.04007569622331691,0.0039560796734768745,0.0292,0.0300004,0.039418999999999996,0.039678,0.039923,0.049349199999999996,0.050186999999999996
2,middle,Sep17,631,0.0399623264659271,0.00416670289255643,0.02944,0.02991,0.0394355,0.039819999999999994,0.039936,0.049347999999999996,0.050004999999999994
2,high,ALL,454,0.04027082158590308,0.004411007288502702,0.029311999999999998,0.029907599999999996,0.039414250000000005,0.039608,0.0399425,0.04983,0.050169
2,high,Sep7,185,0.0399676,0.0044248770926188005,0.029379000000000002,0.029877799999999996,0.039396,0.039472,0.039895,0.049470999999999994,0.050163
2,high,Sep17,269,0.040479356877323416,0.00439753661102414,0.029311999999999998,0.0299752,0.039427,0.039750999999999995,0.039971999999999994,0.049852799999999996,0.050169
3,ALL,ALL,2582,0.05995851936483345,0.0028065699670008853,0.049598,0.058936,0.059135,0.0596015,0.05987999999999999,0.068976,0.07012199999999999
3,ALL,Sep7,1481,0.059968416610398374,0.002809105213402864,0.049699,0.058933,0.059136999999999995,0.05956299999999999,0.059868,0.06898099999999999,0.069969
3,ALL,Sep17,1101,0.059945206176203455,0.002804377124198073,0.049598,0.058968,0.05913399999999999,0.059741999999999996,0.059896,0.06897,0.07012199999999999
3,low,ALL,888,0.05993487837837838,0.0028344734966532733,0.049699,0.0589347,0.059134,0.05960649999999999,0.05987999999999999,0.06897495,0.069996
3,low,Sep7,687,0.05996934788937408,0.002909283953524783,0.049699,0.0589242,0.05913499999999999,0.05955,0.059876,0.06898989999999999,0.069969
3,low,Sep17,201,0.059817064676616905,0.002565644763172801,0.049918000000000004,0.058982999999999994,0.05913199999999999,0.059792,0.059893,0.060146,0.069996
3,middle,ALL,1240,0.05986921370967741,0.0026462845615930447,0.049598,0.05895245,0.059139,0.05963449999999999,0.05987699999999999,0.0689312,0.06997
3,middle,Sep7,609,0.059979364532019706,0.0026881749149705258,0.049816,0.0589464,0.05914399999999999,0.059626,0.059864,0.06898339999999999,0.069947
3,middle,Sep17,631,0.05976290332805071,0.0026029272035820814,0.049598,0.0589725,0.059136999999999995,0.059711,0.059889,0.0601605,0.06997
3,high,ALL,454,0.06024867841409691,0.003144298092163131,0.049657999999999994,0.0588871,0.05912825,0.059359,0.05989599999999999,0.0690211,0.07012199999999999
3,high,Sep7,185,0.05992891891891892,0.002834747022858922,0.049907999999999994,0.058870799999999994,0.05912799999999999,0.059227999999999996,0.059836,0.0689326,0.06992
3,high,Sep17,269,0.060468587360594794,0.003327926109611462,0.049657999999999994,0.05897319999999999,0.059133000000000005,0.059731000000000006,0.059928,0.0690498,0.07012199999999999
4,ALL,ALL,2582,0.07994549535243996,0.003531387589300781,0.06862,0.07855909999999999,0.078854,0.0796505,0.079858,0.088748,0.090048
4,ALL,Sep7,1481,0.0799503484132343,0.0035333054585842604,0.06862,0.07855899999999999,0.078855,0.079592,0.079842,0.088753,0.090031
4,ALL,Sep17,1101,0.07993896730245231,0.003530400992009894,0.06888,0.078561,0.07885199999999999,0.07975399999999999,0.079882,0.088733,0.090048
4,low,ALL,888,0.07985920270270269,0.0034053445498800003,0.068699,0.0785597,0.078853,0.07969,0.07985424999999999,0.0887385,0.089973
4,low,Sep7,687,0.07991105240174672,0.0035381576027277034,0.068699,0.0785555,0.07885249999999999,0.07963799999999999,0.079847,0.0887654,0.089973
