kind,seed,group,group_rule,step,horizon_s,metric,cohort,actual,n_flights,n_origins,hold,absolute_gain,relative_gain_pct,level,flight_id,seeds_improved,seeds_worse,n_seeds,flights_improved,flights_worse,flights_tied
endpoint,17.0,ALL,horizon_specific_train_quantiles,5,0.1,attitude_error_deg,ALL,1.3845081999116717,17.0,2582,1.5072386176396606,0.12273041772798887,8.142733094258492,seed,,,,,,,
endpoint,17.0,ALL,horizon_specific_train_quantiles,5,0.1,attitude_error_deg,Sep17,1.4554005293162402,8.0,1101,1.6067839279155747,0.15138339859933447,9.421515610734229,seed,,,,,,,
endpoint,17.0,ALL,horizon_specific_train_quantiles,5,0.1,attitude_error_deg,Sep7,1.3214927959964997,9.0,1481,1.4187538973944038,0.09726110139790412,6.8553891958660245,seed,,,,,,,
endpoint,17.0,ALL,horizon_specific_train_quantiles,5,0.1,body_rate_rmse_rad_s,ALL,0.5438908711237967,17.0,2582,0.5431750351083459,-0.000715836015450888,-0.13178735567405117,seed,,,,,,,
endpoint,17.0,ALL,horizon_specific_train_quantiles,5,0.1,body_rate_rmse_rad_s,Sep17,0.5271383388882338,8.0,1101,0.5356954513761325,0.0085571124878987,1.5973838243196916,seed,,,,,,,
endpoint,17.0,ALL,horizon_specific_train_quantiles,5,0.1,body_rate_rmse_rad_s,Sep7,0.5587820108887416,9.0,1481,0.5498235539814245,-0.008958456907317114,-1.6293330546584353,seed,,,,,,,
endpoint,17.0,ALL,horizon_specific_train_quantiles,5,0.1,position_rmse_m,ALL,0.03536245183250302,17.0,2582,0.035405058676828055,4.260684432503409e-05,0.12034112049903045,seed,,,,,,,
endpoint,17.0,ALL,horizon_specific_train_quantiles,5,0.1,position_rmse_m,Sep17,0.018732196056148013,8.0,1101,0.018830436494935675,9.82404387876619e-05,0.5217108950930746,seed,,,,,,,
endpoint,17.0,ALL,horizon_specific_train_quantiles,5,0.1,position_rmse_m,Sep7,0.05014490141148525,9.0,1481,0.0501380561718435,-6.845239641749268e-06,-0.013652782266404285,seed,,,,,,,
endpoint,17.0,ALL,horizon_specific_train_quantiles,5,0.1,velocity_rmse_m_s,ALL,0.14035855362762464,17.0,2582,0.14394612080975824,0.0035875671821335997,2.4922986197557853,seed,,,,,,,
endpoint,17.0,ALL,horizon_specific_train_quantiles,5,0.1,velocity_rmse_m_s,Sep17,0.14915633314651408,8.0,1101,0.15563852481800636,0.006482191671492277,4.164901767780267,seed,,,,,,,
endpoint,17.0,ALL,horizon_specific_train_quantiles,5,0.1,velocity_rmse_m_s,Sep7,0.13253830516638956,9.0,1481,0.13355287280242661,0.0010145676360370504,0.7596748873668676,seed,,,,,,,
endpoint,17.0,ALL,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,ALL,2.153924950052745,17.0,2582,2.366843919135648,0.21291896908290298,8.995902406638594,seed,,,,,,,
endpoint,17.0,ALL,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,Sep17,2.315408116422238,8.0,1101,2.6392608335716323,0.3238527171493941,12.27058398434739,seed,,,,,,,
endpoint,17.0,ALL,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,Sep7,2.0103843577243063,9.0,1481,2.1246955507481062,0.11431119302379988,5.380121071160095,seed,,,,,,,
endpoint,17.0,ALL,horizon_specific_train_quantiles,10,0.2,body_rate_rmse_rad_s,ALL,0.5642465257049663,17.0,2582,0.5806009860306424,0.016354460325676112,2.8168158027917944,seed,,,,,,,
endpoint,17.0,ALL,horizon_specific_train_quantiles,10,0.2,body_rate_rmse_rad_s,Sep17,0.5362156869348988,8.0,1101,0.5557974169112563,0.01958172997635743,3.5231775788342734,seed,,,,,,,
