kind,condition,group,group_rule,step,horizon_s,metric,cohort,mean,std,min,max,n_seeds,n_flights,n_origins
interval,Actual,ALL,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,ALL,1.5257258872352633,0.02402741670809655,1.4980386337152183,1.5411118330453166,3,17,2582
interval,Actual,ALL,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,Sep17,1.612411097250968,0.026784103309953115,1.5836816960803572,1.6366931725595468,3,8,1101
interval,Actual,ALL,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,Sep7,1.4486723672213033,0.023915371564427437,1.421911467168428,1.467954992129481,3,9,1481
interval,Actual,ALL,horizon_specific_train_quantiles,10,0.2,body_rate_rmse_rad_s,ALL,0.551645302711648,0.0014849358203243275,0.5502662841425284,0.5532172887551086,3,17,2582
interval,Actual,ALL,horizon_specific_train_quantiles,10,0.2,body_rate_rmse_rad_s,Sep17,0.522352043787102,0.001277029483630517,0.521360679006193,0.5237930838905104,3,8,1101
interval,Actual,ALL,horizon_specific_train_quantiles,10,0.2,body_rate_rmse_rad_s,Sep7,0.5776837550890225,0.0019975117294295072,0.5754786536340182,0.5793721375236403,3,9,1481
interval,Actual,ALL,horizon_specific_train_quantiles,10,0.2,position_rmse_m,ALL,0.043880526311718265,0.00026928675653524936,0.043610460316361115,0.04414902700533518,3,17,2582
interval,Actual,ALL,horizon_specific_train_quantiles,10,0.2,position_rmse_m,Sep17,0.02435249621073926,0.0004708044601214312,0.023961218317260315,0.024874988407770422,3,8,1101
interval,Actual,ALL,horizon_specific_train_quantiles,10,0.2,position_rmse_m,Sep7,0.061238775290366275,0.00014573350248282664,0.061076453204450716,0.06135836690792202,3,9,1481
interval,Actual,ALL,horizon_specific_train_quantiles,10,0.2,velocity_rmse_m_s,ALL,0.14943329663747082,0.003734718502492926,0.1456001902655794,0.15306116333916608,3,17,2582
interval,Actual,ALL,horizon_specific_train_quantiles,10,0.2,velocity_rmse_m_s,Sep17,0.16379600589156615,0.002163048842964567,0.16225793553392814,0.1662693107022999,3,8,1101
interval,Actual,ALL,horizon_specific_train_quantiles,10,0.2,velocity_rmse_m_s,Sep7,0.13666644396716385,0.005368461499410159,0.13079330558260277,0.14132058790526933,3,9,1481
interval,Actual,ALL,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,ALL,2.720764101536181,0.029621182555089727,2.6878141172982706,2.745185058669094,3,17,2582
interval,Actual,ALL,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,Sep17,3.008982860778756,0.050056888230732774,2.9688090045722424,3.0650592042352502,3,8,1101
interval,Actual,ALL,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,Sep7,2.464569648876115,0.02856929183374732,2.438040884165852,2.4948155776299834,3,9,1481
interval,Actual,ALL,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,ALL,0.566536976734411,0.0006607508530826285,0.5657999593957922,0.5670763531062886,3,17,2582
interval,Actual,ALL,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,Sep17,0.5440815749211052,0.001399816587222369,0.5426081487798768,0.5453938295042287,3,8,1101
interval,Actual,ALL,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,Sep7,0.5864973339017939,0.00020188530601481959,0.5863497074192308,0.5867273921206563,3,9,1481
interval,Actual,ALL,horizon_specific_train_quantiles,25,0.5,position_rmse_m,ALL,0.11040512402556497,0.0009087276950485385,0.10958481301193758,0.11138193939900011,3,17,2582
interval,Actual,ALL,horizon_specific_train_quantiles,25,0.5,position_rmse_m,Sep17,0.0703964956666917,0.0018683543404534844,0.06913315337138969,0.07254267089989916,3,8,1101
interval,Actual,ALL,horizon_specific_train_quantiles,25,0.5,position_rmse_m,Sep7,0.14596834923345234,0.0004610135526184048,0.14554184380353574,0.14645747027639805,3,9,1481
interval,Actual,ALL,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,ALL,0.23936994372152023,0.0043425164973425745,0.23524000656620814,0.2438976676361052,3,17,2582
interval,Actual,ALL,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,Sep17,0.2637952776070986,0.006061002564974392,0.2586624908043639,0.27048194124485586,3,8,1101
interval,Actual,ALL,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,Sep7,0.21765853582322836,0.002974040256108499,0.2144200205767364,0.22026720220610463,3,9,1481
interval,Actual,ALL,horizon_specific_train_quantiles,50,1.0,attitude_error_deg,ALL,4.3271798589126815,0.04633788357343221,4.2833469643426,4.375670870526626,3,17,2582
interval,Actual,ALL,horizon_specific_train_quantiles,50,1.0,attitude_error_deg,Sep17,4.8571757428090185,0.13785939003710088,4.7140759148059415,4.989116391534675,3,8,1101
interval,Actual,ALL,horizon_specific_train_quantiles,50,1.0,attitude_error_deg,Sep7,3.856072406560383,0.03861284397445408,3.830385962963918,3.9004767861529634,3,9,1481
interval,Actual,ALL,horizon_specific_train_quantiles,50,1.0,body_rate_rmse_rad_s,ALL,0.5847679401739309,0.002968358354240487,0.5818226804206029,0.5877588701060052,3,17,2582
interval,Actual,ALL,horizon_specific_train_quantiles,50,1.0,body_rate_rmse_rad_s,Sep17,0.5675800569091276,0.004522424501720268,0.5633880126787938,0.5723728172859642,3,8,1101
interval,Actual,ALL,horizon_specific_train_quantiles,50,1.0,body_rate_rmse_rad_s,Sep7,0.6000460586315338,0.0016590954831983533,0.5982090517466555,0.6014353615015974,3,9,1481
interval,Actual,ALL,horizon_specific_train_quantiles,50,1.0,position_rmse_m,ALL,0.25252746633911527,0.003201467758686922,0.25024539676131813,0.2561871346149431,3,17,2582
interval,Actual,ALL,horizon_specific_train_quantiles,50,1.0,position_rmse_m,Sep17,0.184361398122596,0.007156507831901532,0.17941845466249629,0.19256794498822702,3,8,1101
interval,Actual,ALL,horizon_specific_train_quantiles,50,1.0,position_rmse_m,Sep7,0.31311952697602125,0.0016344268101876728,0.3117099319117656,0.31491112362205187,3,9,1481
interval,Actual,ALL,horizon_specific_train_quantiles,50,1.0,velocity_rmse_m_s,ALL,0.39847278299464245,0.006299301886698342,0.3920586808832183,0.404650637786371,3,17,2582
interval,Actual,ALL,horizon_specific_train_quantiles,50,1.0,velocity_rmse_m_s,Sep17,0.42525401927302964,0.011345667282429356,0.41360273740892756,0.43626713447258525,3,8,1101
interval,Actual,ALL,horizon_specific_train_quantiles,50,1.0,velocity_rmse_m_s,Sep7,0.374667239636076,0.0018223543813105701,0.3729084084159213,0.37654708517640273,3,9,1481
