kind,condition,group,group_rule,step,horizon_s,metric,cohort,mean,std,min,max,n_seeds,n_flights,n_origins,elapsed_mean_s,elapsed_std_s,elapsed_min_s,elapsed_p05_s,elapsed_p25_s,elapsed_median_s,elapsed_p75_s,elapsed_p95_s,elapsed_max_s
evolution,Actual,ALL,fixed_500ms_train_quantiles,1,0.02,attitude_error_deg,ALL,0.38248437984033123,0.0013335376015908718,0.38116788204150065,0.38383432787529054,3,17,2582,0.0199957722695584,0.0038324252398375,0.009439,0.00998905,0.019708,0.019868,0.019981,0.0296108499999999,0.030167
evolution,Actual,ALL,fixed_500ms_train_quantiles,1,0.02,attitude_error_deg,Sep17,0.3675452500045613,0.0025787753676401464,0.36593253788778435,0.3705194280385853,3,8,1101,0.0199710099909173,0.0038751207785154,0.009629,0.009972,0.019711,0.019871,0.019978,0.0295759999999999,0.030149
evolution,Actual,ALL,fixed_500ms_train_quantiles,1,0.02,attitude_error_deg,Sep7,0.3957636063610157,0.001103098040462343,0.39471041017813735,0.39691061450810333,3,9,1481,0.0200141809588116,0.0038015821789325,0.009439,0.0100229999999999,0.0197059999999999,0.019864,0.019984,0.029637,0.030167
evolution,Actual,ALL,fixed_500ms_train_quantiles,1,0.02,body_rate_rmse_rad_s,ALL,0.5064967954192475,0.0035659950515976534,0.5028783411100951,0.5100079074164177,3,17,2582,0.0199957722695584,0.0038324252398375,0.009439,0.00998905,0.019708,0.019868,0.019981,0.0296108499999999,0.030167
evolution,Actual,ALL,fixed_500ms_train_quantiles,1,0.02,body_rate_rmse_rad_s,Sep17,0.4664903311301434,0.002232914320662601,0.4640044522263745,0.46832590109108707,3,8,1101,0.0199710099909173,0.0038751207785154,0.009629,0.009972,0.019711,0.019871,0.019978,0.0295759999999999,0.030149
evolution,Actual,ALL,fixed_500ms_train_quantiles,1,0.02,body_rate_rmse_rad_s,Sep7,0.5420580970095624,0.004823797122683402,0.5374329090067358,0.5470585797056002,3,9,1481,0.0200141809588116,0.0038015821789325,0.009439,0.0100229999999999,0.0197059999999999,0.019864,0.019984,0.029637,0.030167
evolution,Actual,ALL,fixed_500ms_train_quantiles,1,0.02,position_rmse_m,ALL,0.008603064861377798,4.273092218323925e-06,0.008599089327520437,0.008607583569834454,3,17,2582,0.0199957722695584,0.0038324252398375,0.009439,0.00998905,0.019708,0.019868,0.019981,0.0296108499999999,0.030167
evolution,Actual,ALL,fixed_500ms_train_quantiles,1,0.02,position_rmse_m,Sep17,0.005291476080598455,4.238928907787021e-06,0.0052868701038126424,0.0052952133812557214,3,8,1101,0.0199710099909173,0.0038751207785154,0.009629,0.009972,0.019711,0.019871,0.019978,0.0295759999999999,0.030149
evolution,Actual,ALL,fixed_500ms_train_quantiles,1,0.02,position_rmse_m,Sep7,0.011546699333181658,4.586663391993484e-06,0.011543284193038475,0.011551912626348885,3,9,1481,0.0200141809588116,0.0038015821789325,0.009439,0.0100229999999999,0.0197059999999999,0.019864,0.019984,0.029637,0.030167
evolution,Actual,ALL,fixed_500ms_train_quantiles,1,0.02,velocity_rmse_m_s,ALL,0.05133327424146109,0.0007968627063960226,0.05066389423543039,0.05221471645388172,3,17,2582,0.0199957722695584,0.0038324252398375,0.009439,0.00998905,0.019708,0.019868,0.019981,0.0296108499999999,0.030167
evolution,Actual,ALL,fixed_500ms_train_quantiles,1,0.02,velocity_rmse_m_s,Sep17,0.052803981909776504,0.0014308742242709204,0.05190211483143795,0.05445382239922996,3,8,1101,0.0199710099909173,0.0038751207785154,0.009629,0.009972,0.019711,0.019871,0.019978,0.0295759999999999,0.030149
evolution,Actual,ALL,fixed_500ms_train_quantiles,1,0.02,velocity_rmse_m_s,Sep7,0.050025978536291836,0.0005289960878847157,0.04942645933478043,0.05042707621607846,3,9,1481,0.0200141809588116,0.0038015821789325,0.009439,0.0100229999999999,0.0197059999999999,0.019864,0.019984,0.029637,0.030167
evolution,Actual,ALL,fixed_500ms_train_quantiles,2,0.04,attitude_error_deg,ALL,0.73037599999246,0.001565787850485127,0.7293552183547349,0.7321787511437334,3,17,2582,0.0400478644461657,0.0040669608126069,0.029095,0.02995105,0.039425,0.0397,0.039936,0.049379,0.050233
evolution,Actual,ALL,fixed_500ms_train_quantiles,2,0.04,attitude_error_deg,Sep17,0.7038931742871388,0.003416813239415088,0.7002670112022504,0.7070526653788609,3,8,1101,0.0400763478655767,0.0042275035745124,0.0293119999999999,0.0299339999999999,0.0394309999999999,0.0398189999999999,0.039941,0.0495209999999999,0.050169
evolution,Actual,ALL,fixed_500ms_train_quantiles,2,0.04,attitude_error_deg,Sep7,0.7539162895083008,0.0058219963952236145,0.7496307994567342,0.7605447422028294,3,9,1481,0.0400266893990546,0.0039446899817489,0.029095,0.02998,0.0394189999999999,0.0396549999999999,0.039928,0.04936,0.050233
evolution,Actual,ALL,fixed_500ms_train_quantiles,2,0.04,body_rate_rmse_rad_s,ALL,0.529042117774521,0.004156805609914403,0.5245872246692269,0.5328169745649259,3,17,2582,0.0400478644461657,0.0040669608126069,0.029095,0.02995105,0.039425,0.0397,0.039936,0.049379,0.050233
evolution,Actual,ALL,fixed_500ms_train_quantiles,2,0.04,body_rate_rmse_rad_s,Sep17,0.5007679687131225,0.002602052042860517,0.497775126325807,0.5024942717618069,3,8,1101,0.0400763478655767,0.0042275035745124,0.0293119999999999,0.0299339999999999,0.0394309999999999,0.0398189999999999,0.039941,0.0495209999999999,0.050169
evolution,Actual,ALL,fixed_500ms_train_quantiles,2,0.04,body_rate_rmse_rad_s,Sep7,0.5541746947179864,0.005883467309453395,0.5484202009744892,0.5601791670210791,3,9,1481,0.0400266893990546,0.0039446899817489,0.029095,0.02998,0.0394189999999999,0.0396549999999999,0.039928,0.04936,0.050233
evolution,Actual,ALL,fixed_500ms_train_quantiles,2,0.04,position_rmse_m,ALL,0.015676265358232435,1.996497753660565e-05,0.015653217403994744,0.01568822999636628,3,17,2582,0.0400478644461657,0.0040669608126069,0.029095,0.02995105,0.039425,0.0397,0.039936,0.049379,0.050233
evolution,Actual,ALL,fixed_500ms_train_quantiles,2,0.04,position_rmse_m,Sep17,0.008650523195873982,3.7552690805335084e-05,0.008612530813658757,0.008687620181354503,3,8,1101,0.0400763478655767,0.0042275035745124,0.0293119999999999,0.0299339999999999,0.0394309999999999,0.0398189999999999,0.039941,0.0495209999999999,0.050169
evolution,Actual,ALL,fixed_500ms_train_quantiles,2,0.04,position_rmse_m,Sep7,0.021921369502551063,1.7443774491135845e-05,0.021910994276376747,0.021941508746983043,3,9,1481,0.0400266893990546,0.0039446899817489,0.029095,0.02998,0.0394189999999999,0.0396549999999999,0.039928,0.04936,0.050233
evolution,Actual,ALL,fixed_500ms_train_quantiles,2,0.04,velocity_rmse_m_s,ALL,0.07910991617805639,0.0017871354917314798,0.07749573231014246,0.08103040880189599,3,17,2582,0.0400478644461657,0.0040669608126069,0.029095,0.02995105,0.039425,0.0397,0.039936,0.049379,0.050233
evolution,Actual,ALL,fixed_500ms_train_quantiles,2,0.04,velocity_rmse_m_s,Sep17,0.0819438524596946,0.002690769404390938,0.08018261030155666,0.08504117368377745,3,8,1101,0.0400763478655767,0.0042275035745124,0.0293119999999999,0.0299339999999999,0.0394309999999999,0.0398189999999999,0.039941,0.0495209999999999,0.050169
evolution,Actual,ALL,fixed_500ms_train_quantiles,2,0.04,velocity_rmse_m_s,Sep7,0.07659086170548911,0.0016129912603669145,0.07472947356915827,0.07757782708486323,3,9,1481,0.0400266893990546,0.0039446899817489,0.029095,0.02998,0.0394189999999999,0.0396549999999999,0.039928,0.04936,0.050233
evolution,Actual,ALL,fixed_500ms_train_quantiles,3,0.06,attitude_error_deg,ALL,1.032070847972844,0.010846990065946877,1.0208710855180565,1.0425267753499359,3,17,2582,0.0599585193648334,0.0028065699670008,0.049598,0.058936,0.059135,0.0596015,0.0598799999999999,0.068976,0.0701219999999999
evolution,Actual,ALL,fixed_500ms_train_quantiles,3,0.06,attitude_error_deg,Sep17,1.0147809854059435,0.007906111786765334,1.0067623447680891,1.0225695457709043,3,8,1101,0.0599452061762034,0.002804377124198,0.049598,0.058968,0.0591339999999999,0.0597419999999999,0.059896,0.06897,0.0701219999999999
evolution,Actual,ALL,fixed_500ms_train_quantiles,3,0.06,attitude_error_deg,Sep7,1.0474396146989777,0.017453479126870453,1.033412188406916,1.066985183946468,3,9,1481,0.0599684166103983,0.0028091052134028,0.049699,0.058933,0.0591369999999999,0.0595629999999999,0.059868,0.0689809999999999,0.069969
evolution,Actual,ALL,fixed_500ms_train_quantiles,3,0.06,body_rate_rmse_rad_s,ALL,0.5589675165266045,0.0016037360515437308,0.5579206629098792,0.5608138350357057,3,17,2582,0.0599585193648334,0.0028065699670008,0.049598,0.058936,0.059135,0.0596015,0.0598799999999999,0.068976,0.0701219999999999
evolution,Actual,ALL,fixed_500ms_train_quantiles,3,0.06,body_rate_rmse_rad_s,Sep17,0.5295642822071404,0.00309818233881223,0.5260097708776656,0.531691995730978,3,8,1101,0.0599452061762034,0.002804377124198,0.049598,0.058968,0.0591339999999999,0.0597419999999999,0.059896,0.06897,0.0701219999999999
evolution,Actual,ALL,fixed_500ms_train_quantiles,3,0.06,body_rate_rmse_rad_s,Sep7,0.5851037248105728,0.00299098917791775,0.5817023235482294,0.5873229506116422,3,9,1481,0.0599684166103983,0.0028091052134028,0.049699,0.058933,0.0591369999999999,0.0595629999999999,0.059868,0.0689809999999999,0.069969
evolution,Actual,ALL,fixed_500ms_train_quantiles,3,0.06,position_rmse_m,ALL,0.022336742593945264,5.3391131870925994e-05,0.02227541525131463,0.02237286801835433,3,17,2582,0.0599585193648334,0.0028065699670008,0.049598,0.058936,0.059135,0.0596015,0.0598799999999999,0.068976,0.0701219999999999
evolution,Actual,ALL,fixed_500ms_train_quantiles,3,0.06,position_rmse_m,Sep17,0.011906919013151995,9.377197005058757e-05,0.011810207477102564,0.011997445167271551,3,8,1101,0.0599452061762034,0.002804377124198,0.049598,0.058968,0.0591339999999999,0.0597419999999999,0.059896,0.06897,0.0701219999999999
evolution,Actual,ALL,fixed_500ms_train_quantiles,3,0.06,position_rmse_m,Sep7,0.03160769688798373,3.751642894502867e-05,0.03157782216172536,0.03164980239402015,3,9,1481,0.0599684166103983,0.0028091052134028,0.049699,0.058933,0.0591369999999999,0.0595629999999999,0.059868,0.0689809999999999,0.069969
evolution,Actual,ALL,fixed_500ms_train_quantiles,3,0.06,velocity_rmse_m_s,ALL,0.10543538669184292,0.002885452903951663,0.1027893350311606,0.10851187949298031,3,17,2582,0.0599585193648334,0.0028065699670008,0.049598,0.058936,0.059135,0.0596015,0.0598799999999999,0.068976,0.0701219999999999
evolution,Actual,ALL,fixed_500ms_train_quantiles,3,0.06,velocity_rmse_m_s,Sep17,0.10828357477028887,0.0037801729867657998,0.10602389732787398,0.11264762146286347,3,8,1101,0.0599452061762034,0.002804377124198,0.049598,0.058968,0.0591339999999999,0.0597419999999999,0.059896,0.06897,0.0701219999999999
evolution,Actual,ALL,fixed_500ms_train_quantiles,3,0.06,velocity_rmse_m_s,Sep7,0.10290366395544649,0.0027334509979039284,0.09977611681874411,0.10483566440863973,3,9,1481,0.0599684166103983,0.0028091052134028,0.049699,0.058933,0.0591369999999999,0.0595629999999999,0.059868,0.0689809999999999,0.069969
evolution,Actual,ALL,fixed_500ms_train_quantiles,4,0.08,attitude_error_deg,ALL,1.2349136006871522,0.019520739702594467,1.2148717589201583,1.253867757964954,3,17,2582,0.0799454953524399,0.0035313875893007,0.06862,0.0785590999999999,0.078854,0.0796505,0.079858,0.088748,0.090048
evolution,Actual,ALL,fixed_500ms_train_quantiles,4,0.08,attitude_error_deg,Sep17,1.242139787089968,0.012709435440480196,1.2274989025908343,1.2503337996160475,3,8,1101,0.0799389673024523,0.0035304009920098,0.06888,0.078561,0.0788519999999999,0.0797539999999999,0.079882,0.088733,0.090048
evolution,Actual,ALL,fixed_500ms_train_quantiles,4,0.08,attitude_error_deg,Sep7,1.2284903238846494,0.026869970371917833,1.2036476312128908,1.2570090542750934,3,9,1481,0.0799503484132343,0.0035333054585842,0.06862,0.0785589999999999,0.078855,0.079592,0.079842,0.088753,0.090031
evolution,Actual,ALL,fixed_500ms_train_quantiles,4,0.08,body_rate_rmse_rad_s,ALL,0.5441516199227657,0.002907582439956266,0.5408693692099161,0.5464044301152301,3,17,2582,0.0799454953524399,0.0035313875893007,0.06862,0.0785590999999999,0.078854,0.0796505,0.079858,0.088748,0.090048
evolution,Actual,ALL,fixed_500ms_train_quantiles,4,0.08,body_rate_rmse_rad_s,Sep17,0.5188742911218478,0.005050627931798008,0.5130426253193925,0.5218410944244218,3,8,1101,0.0799389673024523,0.0035304009920098,0.06888,0.078561,0.0788519999999999,0.0797539999999999,0.079882,0.088733,0.090048
evolution,Actual,ALL,fixed_500ms_train_quantiles,4,0.08,body_rate_rmse_rad_s,Sep7,0.5666203566346928,0.0014165688416422672,0.5656042526681593,0.5682385062848374,3,9,1481,0.0799503484132343,0.0035333054585842,0.06862,0.0785589999999999,0.078855,0.079592,0.079842,0.088753,0.090031
evolution,Actual,ALL,fixed_500ms_train_quantiles,4,0.08,position_rmse_m,ALL,0.028654103319311664,9.47842780961788e-05,0.028549406220613846,0.028734073373279406,3,17,2582,0.0799454953524399,0.0035313875893007,0.06862,0.0785590999999999,0.078854,0.0796505,0.079858,0.088748,0.090048
evolution,Actual,ALL,fixed_500ms_train_quantiles,4,0.08,position_rmse_m,Sep17,0.015161813407297877,0.00017573814754247804,0.014995076949386597,0.015345347057952133,3,8,1101,0.0799389673024523,0.0035304009920098,0.06888,0.078561,0.0788519999999999,0.0797539999999999,0.079882,0.088733,0.090048
evolution,Actual,ALL,fixed_500ms_train_quantiles,4,0.08,position_rmse_m,Sep7,0.040647249907768364,5.657103221962499e-05,0.04059769890614918,0.04070888738580782,3,9,1481,0.0799503484132343,0.0035333054585842,0.06862,0.0785589999999999,0.078855,0.079592,0.079842,0.088753,0.090031
evolution,Actual,ALL,fixed_500ms_train_quantiles,4,0.08,velocity_rmse_m_s,ALL,0.1270658719723364,0.0038473892105097027,0.1233440973692109,0.13102763982495244,3,17,2582,0.0799454953524399,0.0035313875893007,0.06862,0.0785590999999999,0.078854,0.0796505,0.079858,0.088748,0.090048
evolution,Actual,ALL,fixed_500ms_train_quantiles,4,0.08,velocity_rmse_m_s,Sep17,0.1312936742401459,0.004437165554307553,0.12806522804927217,0.13635337111299103,3,8,1101,0.0799389673024523,0.0035304009920098,0.06888,0.078561,0.0788519999999999,0.0797539999999999,0.079882,0.088733,0.090048
evolution,Actual,ALL,fixed_500ms_train_quantiles,4,0.08,velocity_rmse_m_s,Sep7,0.1233078255120613,0.0037150060582482186,0.11914753676471197,0.12629365645780707,3,9,1481,0.0799503484132343,0.0035333054585842,0.06862,0.0785589999999999,0.078855,0.079592,0.079842,0.088753,0.090031
evolution,Actual,ALL,fixed_500ms_train_quantiles,5,0.1,attitude_error_deg,ALL,1.4073877652708784,0.02064625836209928,1.3845081999116717,1.4246294529035894,3,17,2582,0.1000015565453137,0.0041711375293488,0.08843,0.0901122,0.098564,0.0996335,0.0998449999999999,0.1086474499999999,0.109965
evolution,Actual,ALL,fixed_500ms_train_quantiles,5,0.1,attitude_error_deg,Sep17,1.4698279819084552,0.012525797846849263,1.4554005293162402,1.4779260556898177,3,8,1101,0.1000191262488646,0.0042632688377743,0.088437,0.0898839999999999,0.0985579999999999,0.099713,0.099835,0.109706,0.109965
evolution,Actual,ALL,fixed_500ms_train_quantiles,5,0.1,attitude_error_deg,Sep7,1.3518853504819213,0.028822407939506266,1.3214927959964997,1.3788268681785063,3,9,1481,0.0999884949358541,0.0041027051336474,0.08843,0.09696,0.0985699999999999,0.09956,0.0998639999999999,0.108552,0.109951
evolution,Actual,ALL,fixed_500ms_train_quantiles,5,0.1,body_rate_rmse_rad_s,ALL,0.545328817446893,0.0026433547186965247,0.5437161480655596,0.5483794331513229,3,17,2582,0.1000015565453137,0.0041711375293488,0.08843,0.0901122,0.098564,0.0996335,0.0998449999999999,0.1086474499999999,0.109965
evolution,Actual,ALL,fixed_500ms_train_quantiles,5,0.1,body_rate_rmse_rad_s,Sep17,0.5273914212369101,0.0027367945889366454,0.5247899582661589,0.5302459665563375,3,8,1101,0.1000191262488646,0.0042632688377743,0.088437,0.0898839999999999,0.0985579999999999,0.099713,0.099835,0.109706,0.109965
evolution,Actual,ALL,fixed_500ms_train_quantiles,5,0.1,body_rate_rmse_rad_s,Sep7,0.5612731696335446,0.0029278176189402203,0.5587820108887416,0.5644980701246433,3,9,1481,0.0999884949358541,0.0041027051336474,0.08843,0.09696,0.0985699999999999,0.09956,0.0998639999999999,0.108552,0.109951
evolution,Actual,ALL,fixed_500ms_train_quantiles,5,0.1,position_rmse_m,ALL,0.03533975990047323,0.00015990873590763545,0.035169717334037454,0.03548711053487921,3,17,2582,0.1000015565453137,0.0041711375293488,0.08843,0.0901122,0.098564,0.0996335,0.0998449999999999,0.1086474499999999,0.109965
evolution,Actual,ALL,fixed_500ms_train_quantiles,5,0.1,position_rmse_m,Sep17,0.01878042327859422,0.00028830242078524,0.01851927580398196,0.019089797975652693,3,8,1101,0.1000191262488646,0.0042632688377743,0.088437,0.0898839999999999,0.0985579999999999,0.099713,0.099835,0.109706,0.109965
