partition,cohort,step,horizon_s,mean,std,min,p05,p25,median,p75,p95,max
train,ALL,5,0.1,0.1075007592557366,0.0652793104303525,0.004427398083007096,0.04559897555769848,0.06950414396874295,0.09284628479982206,0.12593747445590264,0.2158805672034883,1.14750297969713
train,train,5,0.1,0.1075007592557366,0.0652793104303525,0.004427398083007096,0.04559897555769848,0.06950414396874295,0.09284628479982206,0.12593747445590264,0.2158805672034883,1.14750297969713
validation,ALL,5,0.1,0.10366905871785966,0.05919899710376978,0.017784161873161914,0.04546231737902467,0.06815555443119464,0.09122803574054347,0.12316684986961,0.19378438743356705,0.9350016963312413
validation,Sep17,5,0.1,0.10950138951044724,0.06275541101789782,0.025145832490132344,0.0488738628861356,0.07398355308648076,0.09616482017228793,0.1286635900143214,0.19378690654388836,0.6735415694676972
validation,Sep7,5,0.1,0.09933320712931211,0.056039378445935525,0.017784161873161914,0.04335076261506518,0.06442203327134333,0.0869120244453092,0.11794064923355593,0.19373652433746236,0.9350016963312413
train,ALL,10,0.2,0.16846644692537094,0.10331494832305287,0.023350639012018077,0.0764497303327239,0.11008872426089766,0.14186920103788617,0.19360557083697622,0.3435846235856376,1.7070844010245358
train,train,10,0.2,0.16846644692537094,0.10331494832305287,0.023350639012018077,0.0764497303327239,0.11008872426089766,0.14186920103788617,0.19360557083697622,0.3435846235856376,1.7070844010245358
validation,ALL,10,0.2,0.1562123748217214,0.09203584508002144,0.0257251813105653,0.07101105116770937,0.10327283475717752,0.13474562057311418,0.18007962133121486,0.30478530363778533,1.090834291298004
validation,Sep17,10,0.2,0.1697884620639756,0.09653704894918215,0.04317022574437613,0.08614031473071718,0.11339372823795942,0.146105026319303,0.19262433861828276,0.31402450846791846,0.9757634682554164
validation,Sep7,10,0.2,0.14611968606161208,0.08721472667397126,0.0257251813105653,0.06503869619374465,0.09610831008070833,0.1264870570841259,0.1690820150674511,0.28295277080785675,1.090834291298004
train,ALL,25,0.5,0.2765878946555588,0.16915240710983787,0.03921013688584246,0.11510898846514156,0.1735699983872748,0.23436133512020005,0.32167677718527243,0.5862444494724711,2.395056489832884
train,train,25,0.5,0.2765878946555588,0.16915240710983787,0.03921013688584246,0.11510898846514156,0.1735699983872748,0.23436133512020005,0.32167677718527243,0.5862444494724711,2.395056489832884
validation,ALL,25,0.5,0.2433198617881932,0.14896461462289937,0.053857729126991064,0.10010824382613978,0.14814012242588748,0.21148541997735845,0.28340492660973116,0.5304457599704352,1.385651985024288
validation,Sep17,25,0.5,0.2812959581376221,0.15736601136180978,0.08410936615602753,0.12700222344691922,0.19105129080101763,0.24115208698367627,0.32053824908680517,0.5740792460173141,1.385651985024288
validation,Sep7,25,0.5,0.21508780096393854,0.13572833033342677,0.053857729126991064,0.09127333760609259,0.12970768921759795,0.18113493691035823,0.2524468327126173,0.4886350342072079,1.356099989955131
train,ALL,50,1.0,0.41565047056548243,0.23622244977497972,0.05582630192319374,0.1588568707625326,0.25416430741475465,0.36368411078273405,0.5027411687346327,0.874034112498702,2.784929349453658
train,train,50,1.0,0.41565047056548243,0.23622244977497972,0.05582630192319374,0.1588568707625326,0.25416430741475465,0.36368411078273405,0.5027411687346327,0.874034112498702,2.784929349453658
validation,ALL,50,1.0,0.3643643953204639,0.21798111564799494,0.06075839939660719,0.1288233423970142,0.21068567840982105,0.3191472909903096,0.44802423345413156,0.7915118166695974,1.852893281485258
validation,Sep17,50,1.0,0.4326155436173736,0.22599373477459112,0.09604764738723767,0.18210346918755665,0.2836409974927903,0.3846949950730658,0.5007882511234717,0.8805119544013261,1.852893281485258
validation,Sep7,50,1.0,0.31362535799777813,0.19713531054459849,0.06075839939660719,0.11562829858674481,0.1774188586351349,0.26025012229042244,0.40042975705065126,0.6822018705096886,1.7688957239932954
