cohort,horizon_s,metric,mean,std,min,max,n_seeds
ALL,0.1,attitude_error_deg,1.4073877652708784,0.020646258362099334,1.3845081999116715,1.4246294529035894,3
ALL,0.1,body_rate_rmse_rad_s,0.545328817446893,0.0026433547186964926,0.5437161480655596,0.5483794331513228,3
ALL,0.1,position_rmse_m,0.03533975990047317,0.00015990873590764995,0.0351697173340374,0.0354871105348792,3
ALL,0.1,velocity_rmse_m_s,0.14492896236407943,0.004558853008184936,0.1403585536276246,0.149476171094933,3
ALL,0.2,attitude_error_deg,2.196485009819066,0.038513408516639334,2.153924950052745,2.2289348033561684,3
ALL,0.2,body_rate_rmse_rad_s,0.5662829067172568,0.0028450703929824867,0.5642465257049663,0.5695336495342366,3
ALL,0.2,position_rmse_m,0.0703758747361203,0.0004976476671811344,0.0698802260714745,0.0708754976021501,3
ALL,0.2,velocity_rmse_m_s,0.19543232868331303,0.003772095483271525,0.191337249956398,0.1987649563706586,3
ALL,0.5,attitude_error_deg,4.078397323464926,0.04607174281450127,4.033739771723627,4.125763726825424,3
ALL,0.5,body_rate_rmse_rad_s,0.5965765681119546,0.0028140650971415606,0.5933875807324946,0.5987111840019169,3
ALL,0.5,position_rmse_m,0.19239547622942155,0.0018568135301971639,0.1908963429723979,0.1944725239667208,3
ALL,0.5,velocity_rmse_m_s,0.3572876015314527,0.007164943745699898,0.3512097180469291,0.3651877075519981,3
ALL,1.0,attitude_error_deg,6.692491015924361,0.1321126322577559,6.542445487935679,6.791357065137423,3
ALL,1.0,body_rate_rmse_rad_s,0.6210730627049943,0.010836732534806002,0.6121323463723045,0.6331251400447657,3
ALL,1.0,position_rmse_m,0.474013589738189,0.0063451990926995895,0.4697262323362134,0.4813027010164039,3
ALL,1.0,velocity_rmse_m_s,0.6477484181435842,0.007016072072846807,0.6397393092867328,0.6528093336943108,3
Sep17,0.1,attitude_error_deg,1.4698279819084552,0.012525797846849184,1.4554005293162402,1.4779260556898175,3
Sep17,0.1,body_rate_rmse_rad_s,0.5273914212369101,0.002736794588936573,0.5247899582661589,0.5302459665563374,3
Sep17,0.1,position_rmse_m,0.018780423278594135,0.0002883024207852256,0.0185192758039819,0.0190897979756526,3
Sep17,0.1,velocity_rmse_m_s,0.15328337006033144,0.004828245157538859,0.149156333146514,0.15859305949784,3
Sep17,0.2,attitude_error_deg,2.376163835792054,0.05667804461582944,2.315408116422238,2.4276119983785844,3
Sep17,0.2,body_rate_rmse_rad_s,0.5370344702811892,0.0007091605500894133,0.5362156869348987,0.5374540629190476,3
Sep17,0.2,position_rmse_m,0.04037588761176287,0.0008328714661950995,0.0396870254977688,0.0413015041986294,3
Sep17,0.2,velocity_rmse_m_s,0.22052783181036187,0.0008974636379997057,0.219564263597577,0.2213399085234148,3
Sep17,0.5,attitude_error_deg,4.56950906185081,0.10540376893244352,4.4925398588152055,4.689643898170552,3
Sep17,0.5,body_rate_rmse_rad_s,0.5609187370666632,0.004592958152190303,0.5558534135091175,0.5648123314414162,3
Sep17,0.5,position_rmse_m,0.1292848576220216,0.00401823799393514,0.1268940372396516,0.1339239896370967,3
Sep17,0.5,velocity_rmse_m_s,0.3736101737272393,0.014307360556249909,0.3610422881382361,0.3891804912154968,3
Sep17,1.0,attitude_error_deg,7.565419632078857,0.3508166860743171,7.172736071181631,7.847912808215363,3
Sep17,1.0,body_rate_rmse_rad_s,0.6173651306076728,0.01607850137069214,0.6074177776532983,0.635914735532969,3
Sep17,1.0,position_rmse_m,0.3681691488196273,0.014146390467115686,0.3575994088262163,0.3842396949936463,3
Sep17,1.0,velocity_rmse_m_s,0.6881681494601164,0.011886375648105635,0.6744544644740484,0.6955118791321241,3
Sep7,0.1,attitude_error_deg,1.3518853504819213,0.028822407939506318,1.3214927959964995,1.3788268681785063,3
Sep7,0.1,body_rate_rmse_rad_s,0.5612731696335446,0.0029278176189401896,0.5587820108887416,0.5644980701246431,3
Sep7,0.1,position_rmse_m,0.0500591702310323,8.744334916527223e-05,0.0499701098051978,0.0501449014114852,3
Sep7,0.1,velocity_rmse_m_s,0.13750282218963325,0.004517645063215615,0.1325383051663896,0.141372270292349,3
Sep7,0.2,attitude_error_deg,2.0367704978430776,0.022973567441240322,2.0103843577243063,2.052332852225132,3
Sep7,0.2,body_rate_rmse_rad_s,0.5922815168826502,0.005015444449187387,0.5891628268339152,0.5980669726850055,3
Sep7,0.2,position_rmse_m,0.09704252995777136,0.00028348760185256384,0.0967186265814352,0.097245471553266,3
Sep7,0.2,velocity_rmse_m_s,0.17312521479260293,0.006327707911004046,0.1662465711642388,0.1786983322348753,3
Sep7,0.5,attitude_error_deg,3.641853556010805,0.05666260393713822,3.59586985452981,3.7051539056506297,3
Sep7,0.5,body_rate_rmse_rad_s,0.6282724179299914,0.002589991378642911,0.6267512849310521,0.6312629331152156,3
Sep7,0.5,position_rmse_m,0.2484938038804437,0.0008251530470098932,0.2477872814015057,0.2494006868689943,3
Sep7,0.5,velocity_rmse_m_s,0.3427786484685312,0.0009654691087388179,0.3420055009220494,0.3438607887399991,3
Sep7,1.0,attitude_error_deg,5.9165544682314755,0.06500476713780902,5.852196404623697,5.982187191717056,3
Sep7,1.0,body_rate_rmse_rad_s,0.6243690023470577,0.007323327960054259,0.6163230741225322,0.6306454996108073,3
Sep7,1.0,position_rmse_m,0.568097537221355,0.0034957879998853453,0.5648888009559414,0.5718228821159352,3
Sep7,1.0,velocity_rmse_m_s,0.6118197680844445,0.0035172979400426357,0.6088813935646745,0.6157170927344298,3
