model,seed,cohort,log_id,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_windows
B2_StandardGRU,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.1,0.01853939189092232,0.13067711940661134,1.4410999360178014,0.5619771453138035,0.13067711940661134,0.5619771453138035,0.058291971834207854,0.051318091243944625,0.10509523808036136,0.4970242826503458,0.22595597409562837,0.1331505617016189,130
B2_StandardGRU,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.2,0.03867769552026107,0.1975644321531554,2.3960610729695992,0.5316276862954696,0.1975644321531554,0.5316276862954696,0.0920663710177921,0.07285222451687876,0.15889632331352188,0.46622199270665915,0.21322426971454347,0.14071411143593845,130
B2_StandardGRU,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.5,0.13107758997422356,0.38397355688232554,4.985910059134662,0.6061456647058073,0.38397355688232554,0.6061456647058073,0.17334710967730504,0.19697926537580177,0.28033130571414655,0.5312025042737144,0.2290236012062069,0.18106533733854124,130
B2_StandardGRU,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,1.0,0.4025489010780478,0.7903291329319034,8.853941372264952,0.6932807119455628,0.7903291329319034,0.6932807119455628,0.4444415492913846,0.5155169735309735,0.40166416024563784,0.5560433984091466,0.3557228351817772,0.21193194466996138,130
B2_StandardGRU,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.1,0.020477508605037165,0.15217442089129157,1.6259623537931107,0.5437917577858278,0.15217442089129157,0.5437917577858278,0.06108696951920964,0.06451754306470583,0.12354320363926512,0.4931478409373068,0.18719650004309624,0.13218227258709178,145
B2_StandardGRU,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.2,0.04212449116997084,0.23575164100411014,2.329150837533536,0.554091411948374,0.23575164100411014,0.554091411948374,0.08291295476976847,0.10865236889547117,0.19209097037830694,0.4853676472424532,0.21379445441125666,0.16039785244279706,145
B2_StandardGRU,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.5,0.12367400627447614,0.3590129320489538,4.505579050261945,0.5822998166571918,0.3590129320489538,0.5822998166571918,0.15521319268172254,0.19861228635316797,0.25564097853337286,0.5039272661737739,0.2369753493898945,0.17021477805162186,145
B2_StandardGRU,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,1.0,0.3554838635661094,0.6463293235582406,7.415776127747257,0.6291595462385188,0.6463293235582406,0.6291595462385188,0.36940366253280704,0.39251358414696397,0.3566729802756373,0.5146852866472263,0.30158695733447943,0.19996524072361244,145
B2_StandardGRU,17,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.1,0.01577274263192388,0.13086222058661023,1.372988414283706,0.4493565761941317,0.13086222058661023,0.4493565761941317,0.06123690069976087,0.049392847453606205,0.10457202967319244,0.3822281169794774,0.2004893402822789,0.12500809410758984,144
B2_StandardGRU,17,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.2,0.034232690006334394,0.19705070468957156,2.0131216708758846,0.511005679256703,0.19705070468957156,0.511005679256703,0.085480891357182,0.08344664303915991,0.1567120135692647,0.43594313836305176,0.22311542941763446,0.14594481663478875,144
