model,seed,cohort,horizon_s,position_rmse_m_mean_across_flights,position_rmse_m_std_across_flights,velocity_rmse_m_s_mean_across_flights,velocity_rmse_m_s_std_across_flights,attitude_error_deg_mean_across_flights,attitude_error_deg_std_across_flights,body_rate_rmse_rad_s_mean_across_flights,body_rate_rmse_rad_s_std_across_flights,delta_v_rmse_m_s_mean_across_flights,delta_v_rmse_m_s_std_across_flights,delta_omega_rmse_rad_s_mean_across_flights,delta_omega_rmse_rad_s_std_across_flights,velocity_x_rmse_m_s_mean_across_flights,velocity_x_rmse_m_s_std_across_flights,velocity_y_rmse_m_s_mean_across_flights,velocity_y_rmse_m_s_std_across_flights,velocity_z_rmse_m_s_mean_across_flights,velocity_z_rmse_m_s_std_across_flights,body_rate_p_rmse_rad_s_mean_across_flights,body_rate_p_rmse_rad_s_std_across_flights,body_rate_q_rmse_rad_s_mean_across_flights,body_rate_q_rmse_rad_s_std_across_flights,body_rate_r_rmse_rad_s_mean_across_flights,body_rate_r_rmse_rad_s_std_across_flights,n_flights,n_windows
B2_StandardGRU,17,ALL,0.1,0.035362451832502986,0.03105323200958622,0.14035855362762464,0.04327515119659911,1.3845081999116717,0.10864069919470068,0.5438908711237967,0.04145908686877214,0.14035855362762464,0.04327515119659911,0.5438908711237967,0.04145908686877214,0.06245899928869085,0.024847093177655304,0.06368893881046389,0.04258321064943235,0.1039646517113139,0.020854311251730304,0.4762783239684384,0.04805625836045181,0.2220844076613292,0.02583974556704358,0.13502715242563715,0.015908570599575306,17,2582
B2_StandardGRU,17,ALL,0.2,0.07037190053473635,0.06211503116501214,0.191337249956398,0.04460741796100837,2.153924950052745,0.26241403836589605,0.5642465257049663,0.046850041858933746,0.191337249956398,0.04460741796100837,0.5642465257049663,0.046850041858933746,0.08804070146912818,0.02984194678289065,0.08925993193624204,0.028393314599395328,0.14163087663505067,0.0343110137629603,0.4988074968435311,0.05352783391749993,0.21699200547669906,0.016449112950488898,0.1456706482653244,0.019940246322479684,17,2582
B2_StandardGRU,17,ALL,0.5,0.19181756174914597,0.14778883110223534,0.3512097180469291,0.050400119237956044,4.033739771723627,0.6150780796678202,0.5987111840019169,0.0560066518923006,0.3512097180469291,0.050400119237956044,0.5987111840019169,0.0560066518923006,0.18695265610987355,0.03516631182788322,0.18616324680223692,0.04905497104714858,0.22673953078944797,0.037041882511940974,0.5234362960146132,0.06174840869210497,0.24350756552482727,0.025956387274485588,0.15348245796622753,0.019181161015437678,17,2582
B2_StandardGRU,17,ALL,1.0,0.4710118358619498,0.2749746257661886,0.6397393092867328,0.0671950140906704,6.743670494699981,1.1179055823474402,0.6179617016979126,0.05557926686825446,0.6397393092867328,0.0671950140906704,0.6179617016979126,0.05557926686825446,0.3841710713506121,0.0410417941582098,0.40668320924807055,0.05175905670641078,0.306596792816769,0.05080128878599139,0.5146079867613828,0.05642340427913952,0.294705714091293,0.038950578998966465,0.16743041035874964,0.026360415922697288,17,2582
B2_StandardGRU,17,Sep17,0.1,0.018732196056147968,0.0027664859677758837,0.14915633314651408,0.024929874368537174,1.4554005293162402,0.09417673241631755,0.5271383388882338,0.04869792151722187,0.14915633314651408,0.024929874368537174,0.5271383388882338,0.04869792151722187,0.0646648400734976,0.015506293457683756,0.06041526430527262,0.01246234923553134,0.11964479797643533,0.018476665252797182,0.45525084061902554,0.05235605863720926,0.22912816309620085,0.03153239836507206,0.12985899294251352,0.008616329339599807,8,1101
B2_StandardGRU,17,Sep17,0.2,0.04013913313889041,0.003501762737138763,0.21956426359757708,0.04230602481948037,2.315408116422238,0.22504596639293833,0.5362156869348987,0.04659885006402018,0.21956426359757708,0.04230602481948037,0.5362156869348987,0.04659885006402018,0.10107149512043376,0.03855713514391774,0.09271941313819362,0.022886960554004725,0.16912293677929507,0.02619659181925549,0.4633663733843764,0.04794054269130005,0.22220707228510672,0.013657963676703997,0.1517490893710403,0.012689158586582726,8,1101
B2_StandardGRU,17,Sep17,0.5,0.12703654598931655,0.008689380852057066,0.36104228813823613,0.031456575907388026,4.526343428566673,0.3530073823874462,0.5620904662494558,0.045614803201018225,0.36104228813823613,0.031456575907388026,0.5620904662494558,0.045614803201018225,0.18169251153466995,0.035461502297772146,0.17479359161586447,0.025558583585333913,0.255984017775043,0.022744802215374046,0.48269437832588835,0.04828351110997069,0.23367331655829943,0.011811287723431787,0.16700034361350172,0.011620856249390308,8,1101
B2_StandardGRU,17,Sep17,1.0,0.3575994088262163,0.027277653352022983,0.6744544644740484,0.060225318259962086,7.675610016839577,0.7418844110960654,0.6087628786367513,0.07580478336120283,0.6744544644740484,0.060225318259962086,0.6087628786367513,0.07580478336120283,0.3970528246407614,0.041466431468267395,0.4167900037458592,0.048977984901292744,0.34945116963397477,0.033432837605745676,0.49870986576381826,0.07227633388270992,0.2930436391331126,0.037084015212698954,0.18682440245442547,0.0201889331536785,8,1101
B2_StandardGRU,17,Sep7,0.1,0.050144901411485227,0.03741000331144307,0.1325383051663896,0.05527625502367168,1.3214927959964997,0.07969926028619588,0.5587820108887416,0.028853916851259393,0.1325383051663896,0.05527625502367168,0.5587820108887416,0.028853916851259393,0.060498251924418184,0.03186182282903957,0.06659887170396722,0.05891112085698959,0.09002674392009487,0.01032837895656751,0.49496942027902757,0.037217118322486156,0.2158232917192211,0.0192785635757784,0.13962107196619147,0.019767454714371496,9,1481
B2_StandardGRU,17,Sep7,0.2,0.09724547155326607,0.07732620511616205,0.16624657116423885,0.030142486188783096,2.0103843577243063,0.21012157569967457,0.5891628268339152,0.031712440439742896,0.16624657116423885,0.030142486188783096,0.5891628268339152,0.031712440439742896,0.07645777377907878,0.01263036678417448,0.08618483753450731,0.03363655813904406,0.1171934898401667,0.018065577967494886,0.5303107176961129,0.03669968060910318,0.21235639053589225,0.01807075524059447,0.14026758950468804,0.024177454862503743,9,1481
B2_StandardGRU,17,Sep7,0.5,0.2494006868689943,0.18891833337773922,0.34246965574354504,0.06349724940309923,3.59586985452981,0.43502869731984134,0.6312629331152156,0.04381464640795408,0.34246965574354504,0.06349724940309923,0.6312629331152156,0.04381464640795408,0.19162834017672117,0.036342078957555,0.19626960696790133,0.06322198536914066,0.2007444312466968,0.02600170141355333,0.5596513339601464,0.04950224980261324,0.25224912016174084,0.032291187657340945,0.1414665596130949,0.01650779637225162,9,1481
B2_StandardGRU,17,Sep7,1.0,0.5718228821159352,0.35535253484512425,0.6088813935646745,0.059835254365537036,5.915279808353674,0.6142565174940801,0.6261384333078338,0.03146753287648143,0.6088813935646745,0.059835254365537036,0.6261384333078338,0.03146753287648143,0.37272062398159045,0.039381271033048504,0.39769939191670284,0.055372081253220067,0.2685040134236973,0.026731379473257738,0.528739649870329,0.0363166501078232,0.29618311405411996,0.042728866177359374,0.15019130627370447,0.017962104089385325,9,1481
B2_StandardGRU,23,ALL,0.1,0.03548711053487921,0.031026399777040463,0.14947617109493305,0.044726477323731965,1.4246294529035894,0.10880574139758484,0.5437161480655596,0.04186188606717785,0.14947617109493305,0.044726477323731965,0.5437161480655596,0.04186188606717785,0.06403325724353347,0.02588848492536145,0.06676385468005826,0.042460593998358505,0.1131897208717341,0.023700864418136205,0.47308855901810576,0.04928662580956621,0.22675002666110888,0.024768404321016516,0.1379027053172075,0.01333659736978075,17,2582
B2_StandardGRU,23,ALL,0.2,0.07087549760215012,0.06205227251570415,0.1987649563706586,0.04814248289935144,2.2065952760482856,0.2801251696541765,0.5695336495342366,0.047705558117947154,0.1987649563706586,0.04814248289935144,0.5695336495342366,0.047705558117947154,0.08996049495969739,0.03309475020489337,0.09259848730423609,0.030287431391155438,0.1479007870167562,0.0364821278953167,0.49911492450230904,0.05852431805671319,0.22928845980118928,0.02192822425192912,0.14448680356521168,0.01690608126880886,17,2582
B2_StandardGRU,23,ALL,0.5,0.19447252396672085,0.1469652833601075,0.3651877075519981,0.04941944613742196,4.075688471845725,0.5793946081832568,0.5976309396014523,0.0505782562249737,0.3651877075519981,0.04941944613742196,0.5976309396014523,0.0505782562249737,0.200318157529241,0.04055181029324976,0.1935584268430023,0.03884351841962352,0.23137129699868625,0.040816559008382505,0.5170257647813447,0.05962518454112865,0.25558301366481967,0.02322851433714555,0.15092699245631358,0.017832263607584588,17,2582
B2_StandardGRU,23,ALL,1.0,0.48130270101640393,0.27172688421001123,0.6528093336943108,0.07966784360025787,6.542445487935679,0.9019152545483594,0.6331251400447657,0.053649182500920024,0.6528093336943108,0.07966784360025787,0.6331251400447657,0.053649182500920024,0.39383235323585736,0.04971864617663152,0.4092846997892653,0.06465653441978157,0.31410014086085647,0.06987843944389804,0.5141008205211635,0.0533646060784355,0.32710857783312036,0.051270048914025576,0.16288493862009606,0.024629587568335557,17,2582
B2_StandardGRU,23,Sep17,0.1,0.019089797975652693,0.0027605185361843725,0.15859305949784008,0.029355705978118745,1.4761573607193075,0.08632782397920341,0.5247899582661589,0.046641474282591355,0.15859305949784008,0.029355705978118745,0.5247899582661589,0.046641474282591355,0.0659883568706487,0.01919192027971948,0.06394067509547491,0.018582131063089667,0.1285006581911121,0.01930452963758813,0.4464973891431706,0.05125237624618944,0.23533550863290878,0.028745534687991802,0.13952249183706567,0.009397890966126143,8,1101
B2_StandardGRU,23,Sep17,0.2,0.04130150419862946,0.0034384445412216913,0.2213399085234148,0.052232185617587135,2.3854713925753384,0.21350718683029155,0.5374336609896214,0.04538271570405732,0.2213399085234148,0.052232185617587135,0.5374336609896214,0.04538271570405732,0.10223209497055838,0.044756446503474476,0.09656293410948864,0.02965447230996259,0.16813897174706896,0.030421881862144156,0.45423989288750205,0.04801840792111615,0.24445205630779174,0.01876318932790394,0.14877804494115898,0.009907603563396063,8,1101
B2_StandardGRU,23,Sep17,0.5,0.13392398963709679,0.008037369411055444,0.38918049121549686,0.03818890954288545,4.4925398588152055,0.3338888695258142,0.5648123314414162,0.03755461665007196,0.38918049121549686,0.03818890954288545,0.5648123314414162,0.03755461665007196,0.20416696624930963,0.05194427620969497,0.19089365486271864,0.03344253405468201,0.2665216199312714,0.01655130336306127,0.4727473411431826,0.036564847172419895,0.26281609828509844,0.01883544722517574,0.16153115436609952,0.011317221448945812,8,1101
B2_StandardGRU,23,Sep17,1.0,0.3842396949936463,0.024306972154492592,0.6945381047741769,0.06194837914230187,7.172736071181631,0.4975881971195906,0.635914735532969,0.07676399798144687,0.6945381047741769,0.06194837914230187,0.635914735532969,0.07676399798144687,0.41013788944536805,0.04789047590047483,0.4129710278264238,0.06103002937610392,0.3745629514644847,0.040279392287938594,0.4950106325132614,0.06641081846624239,0.3550117024049657,0.05586065505286996,0.17759286559566992,0.019889807336890226,8,1101
B2_StandardGRU,23,Sep7,0.1,0.0500624994764139,0.03755979225412232,0.14137227029234906,0.05558666876954073,1.3788268681785065,0.11018716137097845,0.5605394278872491,0.030409456260827313,0.14137227029234906,0.05558666876954073,0.5605394278872491,0.030409456260827313,0.062295390908319925,0.03179494627397909,0.06927334764413234,0.057346450174584715,0.09957999881006477,0.018830236027543534,0.4967251544624926,0.034989607247282506,0.21911848713062007,0.019097099662992972,0.13646289507733358,0.016537637525803797,9,1481
B2_StandardGRU,23,Sep7,0.2,0.09716349173861293,0.07770818463621593,0.1786983322348753,0.03585512114615556,2.0475942835797944,0.23793890445320168,0.5980669726850055,0.028340252570414257,0.1786983322348753,0.03585512114615556,0.5980669726850055,0.028340252570414257,0.07905240606115431,0.012382489487583135,0.08907453458845604,0.03217926936718323,0.12991128947870043,0.03283942572505757,0.5390038414932485,0.03207585030297771,0.215809707350876,0.014809554367582684,0.1406723667865919,0.021235753199142917,9,1481
B2_StandardGRU,23,Sep7,0.5,0.24829344337083115,0.1903054435293627,0.34386078873999915,0.05021079351399458,3.7051539056506297,0.49560744776753013,0.6268030357437067,0.042986227953723845,0.34386078873999915,0.05021079351399458,0.6268030357437067,0.042986227953723845,0.19689699422251336,0.029999767537559324,0.19592711304769886,0.04500691202023589,0.20012656550305502,0.027540387372949175,0.556384363570822,0.047298469421242356,0.2491536051134608,0.025882010629715086,0.14150107075872612,0.017649573293502467,9,1481
