seed,cohort,metric,ratio_1s_to_100ms,ratio_1s_to_500ms
17,ALL,position_rmse_m,13.319546905088346,2.455519878195131
17,ALL,velocity_rmse_m_s,4.557893286532292,1.8215307732494181
17,ALL,attitude_error_deg,4.8708057454121345,1.6718159515328364
17,ALL,body_rate_rmse_rad_s,1.1361869347449598,1.0321532622245688
17,Sep17,position_rmse_m,19.09009534997112,2.8149333409638646
17,Sep17,velocity_rmse_m_s,4.521795690777287,1.868076085912166
17,Sep17,attitude_error_deg,5.27388156196813,1.6957639511834748
17,Sep17,body_rate_rmse_rad_s,1.154844627542494,1.0830336310429116
17,Sep7,position_rmse_m,11.403410237535432,2.292787920092231
17,Sep7,velocity_rmse_m_s,4.594003166105679,1.7779134102924123
17,Sep7,attitude_error_deg,4.476210408618332,1.6450205507026465
17,Sep7,body_rate_rmse_rad_s,1.120541501169592,0.991882146822572
23,ALL,position_rmse_m,13.56274697381592,2.4749136340656896
23,ALL,velocity_rmse_m_s,4.367313725742337,1.787599418584918
23,ALL,attitude_error_deg,4.592383987710827,1.605236890191672
23,ALL,body_rate_rmse_rad_s,1.1644405675595744,1.0593915041731001
23,Sep17,position_rmse_m,20.128012642339698,2.8690878761515974
23,Sep17,velocity_rmse_m_s,4.379372634422482,1.784616959100341
23,Sep17,attitude_error_deg,4.85905924534121,1.5965881876612353
23,Sep17,body_rate_rmse_rad_s,1.2117509596295488,1.125886777135509
23,Sep7,position_rmse_m,11.337446881963906,2.2859279765374043
23,Sep7,velocity_rmse_m_s,4.355288993104272,1.7905998965179695
23,Sep7,attitude_error_deg,4.338606484815458,1.614558354133086
23,Sep7,body_rate_rmse_rad_s,1.125068939374698,1.006130257270598
42,ALL,position_rmse_m,13.355985431296327,2.460635049484065
42,ALL,velocity_rmse_m_s,4.48904383909911,1.830548486293156
42,ALL,attitude_error_deg,4.8062518177173965,1.6460848256967553
42,ALL,body_rate_rmse_rad_s,1.1162569370164352,1.0315894134768895
42,Sep17,position_rmse_m,19.58328967491486,2.8580408546233365
42,Sep17,velocity_rmse_m_s,4.572706101564437,1.876679304381452
42,Sep17,attitude_error_deg,5.310084884153675,1.6734560189691297
42,Sep17,body_rate_rmse_rad_s,1.1455396475679964,1.0927661194318363
42,Sep7,position_rmse_m,11.3045339135353,2.2797328327785142
42,Sep7,velocity_rmse_m_s,4.407432270875615,1.7861140136849951
42,Sep7,attitude_error_deg,4.31789219236434,1.614605273282183
42,Sep7,body_rate_rmse_rad_s,1.091807229715499,0.983361484756003
