x_mid_m,c_m,dhat
0.001666667,0.300083212,0.250000
0.005000000,0.300083212,0.250000
0.008333333,0.300083212,0.250000
0.011666667,0.300083212,0.250000
0.015000000,0.300083212,0.250000
0.018333333,0.300083212,0.250000
0.021666667,0.300083212,0.250000
0.025000000,0.300083212,0.250000
0.028333333,0.300083212,0.250000
0.031666667,0.300083212,0.250000
0.035000000,0.300083212,0.250000
0.038333333,0.300083212,0.250000
0.041666667,0.300083212,0.250000
0.045000000,0.300083212,0.250000
0.048333333,0.300083212,0.250000
0.051625000,0.300083212,0.250000
0.054875000,0.300222011,0.250000
0.058125000,0.300325481,0.250000
0.061375000,0.300395394,0.250000
0.064625000,0.300433479,0.250000
0.067875000,0.300441429,0.250000
0.071125000,0.300420896,0.250000
0.074375000,0.300373493,0.250000
0.077625000,0.300300794,0.250000
0.080875000,0.300204336,0.250000
0.084125000,0.300085617,0.250000
0.087375000,0.299946095,0.250000
0.090625000,0.299787194,0.250000
0.093875000,0.299610298,0.250000
0.097125000,0.299416754,0.250000
0.100375000,0.299207873,0.250000
0.103625000,0.298984928,0.250000
0.106875000,0.298749156,0.250000
0.110125000,0.298501757,0.250000
0.113375000,0.298243897,0.250000
0.116625000,0.297976704,0.250000
0.119875000,0.297701271,0.250000
0.123125000,0.297418656,0.250000
0.126375000,0.297129882,0.250000
0.129625000,0.296835937,0.250000
0.132875000,0.296537773,0.250000
0.136125000,0.296236311,0.250000
0.139375000,0.295932435,0.250000
0.142625000,0.295626996,0.250000
0.145875000,0.295320810,0.250000
0.149125000,0.295014663,0.250000
0.152375000,0.294709304,0.250000
0.155625000,0.294405451,0.250000
0.158875000,0.294103791,0.250000
0.162125000,0.293804974,0.250000
0.165375000,0.293509622,0.250000
0.168625000,0.293218324,0.250000
0.171875000,0.292931635,0.250000
0.175125000,0.292650083,0.250000
0.178375000,0.292374159,0.250000
0.181625000,0.292104329,0.250000
0.184875000,0.291841024,0.250000
0.188125000,0.291584646,0.250000
0.191375000,0.291335566,0.250000
0.194625000,0.291094127,0.250000
0.197875000,0.290860640,0.250000
0.201125000,0.290635388,0.250000
0.204375000,0.290418623,0.250000
0.207625000,0.290210570,0.250000
0.210875000,0.290011423,0.250000
0.214125000,0.289821350,0.250000
0.217375000,0.289640488,0.250000
0.220625000,0.289468948,0.250000
0.223875000,0.289306811,0.250000
0.227125000,0.289154134,0.250000
0.230375000,0.289010942,0.250000
0.233625000,0.288877237,0.250000
0.236875000,0.288752991,0.250000
0.240125000,0.288638152,0.250000
0.243375000,0.288532639,0.250000
0.246625000,0.288436348,0.250000
0.249875000,0.288349145,0.250000
0.253125000,0.288270875,0.250000
0.256375000,0.288201353,0.250000
0.259625000,0.288140372,0.250000
0.262875000,0.288087699,0.250000
0.266125000,0.288043076,0.250000
0.269375000,0.288006222,0.250000
0.272625000,0.287976829,0.250000
0.275875000,0.287954568,0.250000
0.279125000,0.287939085,0.250000
0.282375000,0.287930001,0.250000
0.285625000,0.287926916,0.250000
0.288875000,0.287929407,0.250000
0.292125000,0.287937026,0.250000
0.295375000,0.287949305,0.250000
0.298625000,0.287965752,0.250000
0.301875000,0.287985854,0.250000
0.305125000,0.288009075,0.250000
0.308375000,0.288034859,0.250000
0.311625000,0.288062627,0.250000
0.314875000,0.288091781,0.250000
0.318125000,0.288121700,0.250000
0.321375000,0.288151744,0.250000
0.324625000,0.288181251,0.250000
0.327875000,0.288209541,0.250000
0.331125000,0.288235912,0.250000
0.334375000,0.288259644,0.250000
0.337625000,0.288279998,0.250000
0.340875000,0.288296213,0.250000
0.344125000,0.288307511,0.250000
0.347375000,0.288313097,0.250000
0.350625000,0.288312155,0.250000
0.353875000,0.288303851,0.250000
0.357125000,0.288287335,0.250000
0.360375000,0.288261738,0.250000
0.363625000,0.288226172,0.250000
0.366875000,0.288179735,0.250000
0.370125000,0.288121506,0.250000
0.373375000,0.288050547,0.250000
0.376625000,0.287965905,0.250000
0.379875000,0.287866610,0.250000
0.383125000,0.287751676,0.250000
0.386375000,0.287620101,0.250000
0.389625000,0.287470867,0.250000
0.392875000,0.287302942,0.250000
0.396125000,0.287115279,0.250000
0.399375000,0.286906815,0.250000
0.402625000,0.286676473,0.250000
0.405875000,0.286423161,0.250000
0.409125000,0.286145775,0.250000
0.412375000,0.285843195,0.250000
0.415625000,0.285514288,0.250000
0.418875000,0.285157909,0.250000
0.422125000,0.284772898,0.250000
0.425375000,0.284358082,0.250000
0.428625000,0.283912278,0.250000
0.431875000,0.283434288,0.250000
0.435125000,0.282922902,0.250000
0.438375000,0.282376901,0.250000
0.441625000,0.281795050,0.250000
0.444875000,0.281176106,0.250000
0.448125000,0.280518814,0.250000
0.451375000,0.279821906,0.250000
0.454625000,0.279084107,0.250000
0.457875000,0.278304128,0.250000
0.461125000,0.277480673,0.250000
0.464375000,0.276612433,0.250000
0.467625000,0.275698091,0.250000
0.470875000,0.274736320,0.250000
0.474125000,0.273725785,0.250000
0.477375000,0.272665140,0.250000
0.480625000,0.271553032,0.250000
0.483875000,0.270388098,0.250000
0.487125000,0.269168967,0.250000
0.490375000,0.267894262,0.250000
0.493625000,0.266562595,0.250000
0.496875000,0.265172573,0.250000
0.500125000,0.263722794,0.250000
0.503375000,0.262211850,0.250000
0.506625000,0.260638327,0.250000
0.509875000,0.259000802,0.250000
0.513125000,0.257297847,0.250000
0.516375000,0.255528029,0.250000
0.519625000,0.253689907,0.250000
0.522875000,0.251782035,0.250000
0.526125000,0.249802963,0.250000
0.529375000,0.247751235,0.250000
0.532625000,0.245625389,0.250000
0.535875000,0.243423960,0.250000
0.539125000,0.241145478,0.250000
0.542375000,0.238788468,0.250000
0.545625000,0.236351453,0.250000
0.548875000,0.233832951,0.250000
0.552125000,0.231231476,0.250000
0.555375000,0.228545540,0.250000
0.558625000,0.225773652,0.250000
0.561875000,0.222914318,0.250000
0.565125000,0.219966040,0.250000
