relative_path,folder,filename_date,bytes,sha256,ulog_magic_valid,existing_qgclogs_matches,registered_role,role,flight_id,current_status
9.11数据/log_13_2026-9-11-18-28-08.ulg,9.11数据,2026-09-11,17405401,0ad472f5e6d2fdd7f5a94c403a49e07e089f7d16de603f5703d4e2260938cc5b,True,/home/zn/QgcLogs/9.11数据/log_13_2026-9-11-18-28-08.ulg,not_registered_in_current_trajectory_manifest,train,9.11数据/log_13_2026-9-11-18-28-08.ulg,admitted
9.11数据/log_14_2026-9-11-18-34-58.ulg,9.11数据,2026-09-11,20565401,65c8b8b39c7ac62f8abcc600c7676294c46c99a1d1d19a1d6e3c588608eb834b,True,/home/zn/QgcLogs/9.11数据/log_14_2026-9-11-18-34-58.ulg,not_registered_in_current_trajectory_manifest,train,9.11数据/log_14_2026-9-11-18-34-58.ulg,admitted
9.11数据/log_15_2026-9-11-18-40-48.ulg,9.11数据,2026-09-11,15182480,91d881515e157525f6527c8f148973cfd995ee64a2523f74d8896f9876f323c3,True,/home/zn/QgcLogs/9.11数据/log_15_2026-9-11-18-40-48.ulg,not_registered_in_current_trajectory_manifest,train,9.11数据/log_15_2026-9-11-18-40-48.ulg,admitted
9.12数据/log_10_2026-9-12-06-13-40.ulg,9.12数据,2026-09-12,31278032,531a4f5ad9f0770e3a369375c0113cffc3f1ec6ea7070378ce84b234546fb2d9,True,/home/zn/QgcLogs/9.12数据/log_10_2026-9-12-06-13-40.ulg,not_registered_in_current_trajectory_manifest,train,9.12数据/log_10_2026-9-12-06-13-40.ulg,admitted
9.12数据/log_11_2026-9-12-06-21-12.ulg,9.12数据,2026-09-12,27455467,782597332cc8092c8efde5db2630b46f194dde68f603c6550458d5b6a3d6659a,True,/home/zn/QgcLogs/9.12数据/log_11_2026-9-12-06-21-12.ulg,not_registered_in_current_trajectory_manifest,train,9.12数据/log_11_2026-9-12-06-21-12.ulg,admitted
9.12数据/log_12_2026-9-12-06-29-44.ulg,9.12数据,2026-09-12,26039512,bfa039195c11191d289e8734be1ee330bf4dbdf3648ae474932471f408425a18,True,/home/zn/QgcLogs/9.12数据/log_12_2026-9-12-06-29-44.ulg,not_registered_in_current_trajectory_manifest,train,9.12数据/log_12_2026-9-12-06-29-44.ulg,admitted
9.12数据/log_2_2026-9-12-18-32-54.ulg,9.12数据,2026-09-12,27533715,a978956f5f191a4daabd24086ef734b611060f7467063c838c8c78bc898a5a68,True,/home/zn/QgcLogs/9.12数据/log_2_2026-9-12-18-32-54.ulg | /home/zn/QgcLogs/9.12数据/归档/log_2_2026-9-12-18-32-54.ulg,not_registered_in_current_trajectory_manifest,train,9.12数据/log_2_2026-9-12-18-32-54.ulg,admitted
9.12数据/log_3_2026-9-12-18-40-02.ulg,9.12数据,2026-09-12,27262976,6c5b344e087a1a7ab333f75405589cdf20fdd2ad091eba2768e27de76b076dc3,True,/home/zn/QgcLogs/9.12数据/log_3_2026-9-12-18-40-02.ulg | /home/zn/QgcLogs/9.12数据/归档/log_3_2026-9-12-18-40-02.ulg,not_registered_in_current_trajectory_manifest,train,9.12数据/log_3_2026-9-12-18-40-02.ulg,admitted
9.12数据/log_7_2026-9-12-05-49-02.ulg,9.12数据,2026-09-12,24494214,ae5e395aee6f5c69eb5590a2acf890ae400c9328975f6f91444fca5cc4a7c496,True,/home/zn/QgcLogs/9.12数据/log_7_2026-9-12-05-49-02.ulg,not_registered_in_current_trajectory_manifest,train,9.12数据/log_7_2026-9-12-05-49-02.ulg,admitted
9.12数据/log_8_2026-9-12-05-55-30.ulg,9.12数据,2026-09-12,27609565,e4e166c6cda3c88bd0030f598b72b425c082fcdf1eac351c5083943b804c0d02,True,/home/zn/QgcLogs/9.12数据/log_8_2026-9-12-05-55-30.ulg,not_registered_in_current_trajectory_manifest,train,9.12数据/log_8_2026-9-12-05-55-30.ulg,admitted
