partition,channel,flight_id,window_id,origin_timestamp_us,end_us,sign,persistence
train,drive,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:1:25,145354237,146352040.0,-1.0,0.8572437424748192
train,drive,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:25,201511379,202519342.0,1.0,0.8488907516963565
train,drive,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:865,218317616,219315647.0,-1.0,0.8511612715972595
train,drive,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:1045,221910495,222918329.0,-1.0,0.8575277128135546
train,drive,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:1215,225313542,226311623.0,1.0,0.8765173891907331
train,drive,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:1565,232319531,233317477.0,1.0,0.8436746499085631
train,drive,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:3:2015,241311504,242309506.0,1.0,0.8848011689561809
train,drive,2026.9.6/log_18_2026-9-6-18-46-20.ulg,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:5:85,438987200,439982708.0,1.0,0.85393160274783
train,drive,2026.9.6/log_18_2026-9-6-18-46-20.ulg,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:5:485,446991381,447986972.0,1.0,0.8509400920957317
train,drive,2026.9.6/log_18_2026-9-6-18-46-20.ulg,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:5:715,451584947,452590484.0,-1.0,0.8925581970656091
train,drive,2026.9.6/log_18_2026-9-6-18-46-20.ulg,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:5:1555,468381903,469387395.0,-1.0,0.8586563291639058
train,drive,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train:2026.9.6/log_19_2026-9-6-18-52-30.ulg:1:25,97491411,98499457.0,-1.0,0.8572379583405749
train,drive,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train:2026.9.6/log_19_2026-9-6-18-52-30.ulg:1:75,98499457,99497380.0,-1.0,0.8458693133700926
train,drive,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train:2026.9.6/log_19_2026-9-6-18-52-30.ulg:1:145,99896626,100894600.0,1.0,0.8586901203053054
train,drive,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train:2026.9.6/log_19_2026-9-6-18-52-30.ulg:1:255,102092218,103090221.0,1.0,0.8580200243151674
train,drive,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train:2026.9.6/log_19_2026-9-6-18-52-30.ulg:1:365,104298005,105295821.0,1.0,0.8514952359634439
train,drive,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train:2026.9.6/log_19_2026-9-6-18-52-30.ulg:1:545,107890603,108898646.0,1.0,0.8583772383071797
train,drive,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train:2026.9.6/log_19_2026-9-6-18-52-30.ulg:1:1175,120495316,121493357.0,-1.0,0.8571420039473119
train,drive,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train:2026.9.6/log_19_2026-9-6-18-52-30.ulg:1:1325,123499221,124497286.0,1.0,0.8595660954815221
train,drive,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train:2026.9.6/log_19_2026-9-6-18-52-30.ulg:1:1455,126094083,127092149.0,1.0,0.8430600362720798
train,drive,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train:2026.9.6/log_19_2026-9-6-18-52-30.ulg:1:1595,128888599,129896488.0,1.0,0.906324297893984
train,drive,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train:2026.9.6/log_19_2026-9-6-18-52-30.ulg:1:1715,131293663,132291689.0,1.0,0.8570646081956964
train,drive,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train:2026.9.6/log_19_2026-9-6-18-52-30.ulg:1:1875,134497194,135495207.0,-1.0,0.8724797486925542
train,drive,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train:2026.9.6/log_19_2026-9-6-18-52-30.ulg:1:2095,138898403,139896435.0,-1.0,0.8681423441266259
train,drive,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train:2026.9.6/log_19_2026-9-6-18-52-30.ulg:1:2245,141892409,142890472.0,1.0,0.81742296720168
train,drive,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train:2026.9.6/log_19_2026-9-6-18-52-30.ulg:1:3165,160295582,161293626.0,-1.0,0.8684231767039409
train,drive,2026.9.6/log_20_2026-9-6-18-58-10.ulg,train:2026.9.6/log_20_2026-9-6-18-58-10.ulg:5:735,110380772,111388814.0,1.0,0.8717013547299478
train,drive,2026.9.6/log_20_2026-9-6-18-58-10.ulg,train:2026.9.6/log_20_2026-9-6-18-58-10.ulg:5:855,112785899,113783896.0,1.0,0.8648732490621536
train,drive,2026.9.6/log_20_2026-9-6-18-58-10.ulg,train:2026.9.6/log_20_2026-9-6-18-58-10.ulg:5:1075,117187098,118185063.0,-1.0,0.8498976863804639
train,drive,2026.9.6/log_20_2026-9-6-18-58-10.ulg,train:2026.9.6/log_20_2026-9-6-18-58-10.ulg:5:1125,118185063,119183062.0,1.0,0.8247328981358389
train,drive,2026.9.6/log_24_2026-9-6-06-28-38.ulg,train:2026.9.6/log_24_2026-9-6-06-28-38.ulg:1:1155,140799306,141804751.0,-1.0,0.8647047309887578
train,drive,2026.9.6/log_24_2026-9-6-06-28-38.ulg,train:2026.9.6/log_24_2026-9-6-06-28-38.ulg:1:1405,145796833,146802220.0,-1.0,0.8941898393580963
train,drive,2026.9.6/log_24_2026-9-6-06-28-38.ulg,train:2026.9.6/log_24_2026-9-6-06-28-38.ulg:1:2075,159202080,160207664.0,1.0,0.853672318166388
train,drive,2026.9.6/log_24_2026-9-6-06-28-38.ulg,train:2026.9.6/log_24_2026-9-6-06-28-38.ulg:1:3545,188604539,189600096.0,1.0,0.8633208566642109
train,drive,2026.9.6/log_24_2026-9-6-06-28-38.ulg,train:2026.9.6/log_24_2026-9-6-06-28-38.ulg:3:35,203142970,204138827.0,-1.0,0.8042247065591148
train,drive,2026.9.6/log_28_2026-9-6-07-01-38.ulg,train:2026.9.6/log_28_2026-9-6-07-01-38.ulg:3:65,471881593,472879892.0,-1.0,0.8513251028465677
train,drive,2026.9.6/log_28_2026-9-6-07-01-38.ulg,train:2026.9.6/log_28_2026-9-6-07-01-38.ulg:3:585,482271419,483279437.0,1.0,0.8414431387034662
train,drive,2026.9.6/log_28_2026-9-6-07-01-38.ulg,train:2026.9.6/log_28_2026-9-6-07-01-38.ulg:5:245,501872691,502880427.0,1.0,0.8621727592505678
train,drive,9.11数据/log_14_2026-9-11-18-34-58.ulg,train:9.11数据/log_14_2026-9-11-18-34-58.ulg:3:955,206653833,207659201.0,-1.0,0.8573200408008148
train,drive,9.11数据/log_14_2026-9-11-18-34-58.ulg,train:9.11数据/log_14_2026-9-11-18-34-58.ulg:3:1315,213859034,214854570.0,1.0,0.8485155290674632
train,drive,9.11数据/log_15_2026-9-11-18-40-48.ulg,train:9.11数据/log_15_2026-9-11-18-40-48.ulg:0:295,121445319,122453264.0,-1.0,0.8518128167205865
train,drive,9.12数据/log_10_2026-9-12-06-13-40.ulg,train:9.12数据/log_10_2026-9-12-06-13-40.ulg:5:1365,345052270,346057609.0,-1.0,0.8542220515374612
train,drive,9.12数据/log_11_2026-9-12-06-21-12.ulg,train:9.12数据/log_11_2026-9-12-06-21-12.ulg:1:3795,163528520,164523933.0,1.0,0.8497902175787482
train,drive,9.12数据/log_12_2026-9-12-06-29-44.ulg,train:9.12数据/log_12_2026-9-12-06-29-44.ulg:3:905,116613446,117608998.0,-1.0,0.8502436588425429
train,drive,9.12数据/log_12_2026-9-12-06-29-44.ulg,train:9.12数据/log_12_2026-9-12-06-29-44.ulg:4:755,202371321,203366754.0,1.0,0.9008620002233064
train,drive,9.12数据/log_12_2026-9-12-06-29-44.ulg,train:9.12数据/log_12_2026-9-12-06-29-44.ulg:4:1165,210571372,211566789.0,1.0,0.9549605135483915
train,drive,9.12数据/log_2_2026-9-12-18-32-54.ulg,train:9.12数据/log_2_2026-9-12-18-32-54.ulg:2:505,75782357,76790290.0,-1.0,0.8554210192847175
train,drive,9.12数据/log_2_2026-9-12-18-32-54.ulg,train:9.12数据/log_2_2026-9-12-18-32-54.ulg:2:1295,91589966,92587938.0,-1.0,0.878062337537809
train,drive,9.12数据/log_2_2026-9-12-18-32-54.ulg,train:9.12数据/log_2_2026-9-12-18-32-54.ulg:2:1715,99992898,100990771.0,1.0,0.8507244391167289
train,drive,9.12数据/log_2_2026-9-12-18-32-54.ulg,train:9.12数据/log_2_2026-9-12-18-32-54.ulg:2:5005,165788979,166786893.0,-1.0,0.841078090697625
train,drive,9.12数据/log_3_2026-9-12-18-40-02.ulg,train:9.12数据/log_3_2026-9-12-18-40-02.ulg:3:1085,177922848,178918867.0,1.0,0.8483058330997038
